Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
PTPW;PT Pratama Widya Tbk;07-Feb-20;Infrastructures;Heavy Constructions & Civil Engineering; 114.164 ; 878.187.500 ; 650 ;50%;37%;9%;158%;96%;26%;-44%;3%;-34%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ANRA & PARTNERS;;;;;;11-Apr-19;18-Apr-19;10-May-19;10-Oct-19;09-Apr-20;; 194 ; 177 ; 86 ; 54 ; 50 ; 50 ; 50 ;31-May-23;1;;2019;; 158.641.454.933 ; 239.924.357.521 ;  ;  ;  ;; 32.007.274.210 ; 45.870.796.118 ;  ;  ;  ;; 1.417.086.696 ; 2.357.258.200 ;  ;  ;  ;;-43.566.696.859 ;-13.631.914.320 ;  ;  ;  ;;
TAMA;PT Lancartama Sejati Tbk;10-Feb-20;Infrastructures;Heavy Constructions & Civil Engineering; 35.000 ; 1.000.000.000 ; 175 ;69%;137%;33%;-7%;-50%;23%;4%;-39%;-355%;NH KORINDO SEKURITAS INDONESIA (XA);KANAKA PURADIREDJA, SUHARTONO;ERY YUNASRI & PARTNERS;;;;;;12-Apr-19;22-Apr-19;10-May-19;11-Oct-19;09-Apr-20;; 178 ; 466 ; 292 ; 1.060 ; 374 ; 50 ; 50 ;31-May-23;1;;2019;; 927.653.772.933 ; 946.772.913.289 ;  ;  ;  ;; 239.949.158.315 ; 232.957.822.710 ;  ;  ;  ;; 43.230.615.083 ; 50.602.697.520 ;  ;  ;  ;;-14.711.578.417 ;-5.519.202.525 ;  ;  ;  ;;
IKAN;PT Era Mandiri Cemerlang Tbk;12-Feb-20;Consumer Non-Cyclicals;Agricultural Products; 40.000 ; 833.333.000 ; 120 ;70%;87%;30%;400%;-39%;38%;2%;-23%;-123%;UOB KAY HIAN SEKURITAS (AI);JAMALUDIN, ARDI, SUKIMTO & PARTNERS;ANRA & PARTNERS;;;;;;10-May-19;16-May-19;31-May-19;08-Nov-19;08-May-20;; 254 ; 370 ; 302 ; 51 ; 50 ; 50 ; 50 ;31-May-22;"1;5;7";;2019;; 974.902.004.049 ; 1.218.704.401.744 ;  ;  ;  ;; 813.217.783.696 ; 861.810.224.162 ;  ;  ;  ;; 33.936.899.594 ; 34.511.774.925 ;  ;  ;  ;;-53.478.215.792 ;-54.551.343.474 ;  ;  ;  ;;
AYLS;PT Agro Yasa Lestari Tbk;12-Feb-20;Basic Materials;Construction Materials; 25.870 ; 853.423.200 ; 100 ;70%;172%;-38%;-50%;-50%;18%;-19%;-75%;-990%;NH KORINDO SEKURITAS INDONESIA (XA);JUNAEDI, CHAIRUL DAN PARTNERS;BAKHRIATIN & PARTNERS LAW FIRM;;;;;;16-May-19;22-May-19;14-Jun-19;15-Nov-19;15-May-20;; 368 ; 650 ; 555 ; 2.240 ; 162 ; 60 ; 61 ;;;;2019;; 86.916.165.514 ; 135.700.491.180 ;  ;  ;  ;; 49.085.498.628 ; 47.229.773.614 ;  ;  ;  ;; 61.409.315.353 ; 43.515.164.233 ;  ;  ;  ;; 7.660.013.465 ; 602.002.480 ;  ;  ;  ;;
DADA;PT Diamond Citra Propertindo Tbk;14-Feb-20;Properties & Real Estate;Real Estate Management & Development; 218.994 ; 7.177.000.000 ; 102 ;70%;59%;145%;-23%;-51%;139%;74%;-18%;108%;"SHINHAN SEKURITAS INDONESIA (AH); UOB KAY HIAN SEKURITAS (AI)";GIDEON ADI & PARTNERS;MS LAW OFFICES;;;;;;11-Jun-19;17-Jun-19;10-Jul-19;10-Dec-19;10-Jun-20;; 173 ; 173 ; 98 ; 50 ; 54 ; 625 ; 605 ;;;;2019;; 47.067.881.152 ; 64.450.741.794 ;  ;  ;  ;; 23.434.278.997 ; 23.987.868.169 ;  ;  ;  ;; 3.585.359.656 ; 4.055.020.504 ;  ;  ;  ;;-1.690.044.695 ;-3.452.471.865 ;  ;  ;  ;;
ASPI;PT Andalan Sakti Primaindo Tbk;17-Feb-20;Properties & Real Estate;Real Estate Management & Development; 34.650 ; 680.000.000 ; 105 ;70%;178%;271%;55%;-37%;112%;163%;-75%;4%;"INVESTINDO NUSANTARA SEKURITAS (IN); NH KORINDO SEKURITAS INDONESIA (XA); PANCA GLOBAL SEKURITAS (PG); KB VALBURY SEKURITAS (CP)";HELIANTONO & PARTNERS;YOHANES APLES & PARTNERS;;;;;;17-Jun-19;21-Jun-19;16-Jul-19;16-Dec-19;16-Jun-20;; 296 ; 386 ; 370 ; 322 ; 176 ; 204 ; 204 ;;;;2019;; 146.764.201.764 ; 500.484.959.672 ;  ;  ;  ;; 28.394.895.959 ; 37.001.415.553 ;  ;  ;  ;; 51.693.829.926 ; 72.646.502.348 ;  ;  ;  ;; 6.856.875.693 ; 7.198.756.833 ;  ;  ;  ;;
BESS;PT Batulicin Nusantara Maritim Tbk;09-Mar-20;Energy;Coal; 73.500 ; 3.400.000.000 ; 105 ;70%;90%;129%;161%;119%;9%;-18%;23%;415%;"JASA UTAMA CAPITAL SEKURITAS (YB); ERDIKHA ELIT SEKURITAS (AO); EKUATOR SWARNA SEKURITAS (MK); PACIFIC SEKURITAS INDONESIA (AP); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS (MEMBER CROWE GLOBAL);INFINITI & CO,;;;;;;18-Jun-19;24-Jun-19;17-Jul-19;17-Dec-19;17-Jun-20;; 246 ; 232 ; 230 ; 252 ; 266 ; 640 ; 645 ;;;;2019;; 347.465.023.000 ; 391.938.134.000 ;  ;  ;  ;; 124.274.295.000 ; 96.408.517.000 ;  ;  ;  ;; 226.282.203.000 ; 189.130.919.000 ;  ;  ;  ;; 36.808.411.000 ; 29.477.542.000 ;  ;  ;  ;;
ESTA;PT Esta Multi Usaha Tbk;09-Mar-20;Consumer Cyclicals;Tourism & Recreation; 24.000 ; 630.000.000 ; 120 ;70%;75%;-3%;-15%;-13%;42%;-6%;8%;-13%;"JASA UTAMA CAPITAL SEKURITAS (YB); ERDIKHA ELIT SEKURITAS (AO); EKUATOR SWARNA SEKURITAS (MK); PACIFIC SEKURITAS INDONESIA (AP); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO DAN PARTNERS (MEMBER CROWE GLOBAL);UMBRA PARTNERSHIP;;;;;;19-Jun-19;25-Jun-19;18-Jul-19;18-Dec-19;18-Jun-20;; 318 ; 600 ; 605 ; 975 ; 655 ; 1.855 ; 1.795 ;;;;2019;; 161.258.906.274 ; 233.489.048.952 ;  ;  ;  ;; 30.800.545.810 ; 78.367.482.200 ;  ;  ;  ;; 12.906.143.002 ; 12.483.230.369 ;  ;  ;  ;; 72.643.833.987 ; 12.307.705.004 ;  ;  ;  ;;
CARE;PT Metro Healthcare Indonesia Tbk;13-Mar-20;Healthcare;Healthcare Providers; 1.030.000 ; 33.250.000.000 ; 103 ;35%;29%;207%;224%;234%;41%;-12%;40%;-158%;"JASA UTAMA CAPITAL SEKURITAS (YB); ERDIKHA ELIT SEKURITAS (AO); EKUATOR SWARNA SEKURITAS (MK); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG); PACIFIC SEKURITAS INDONESIA (AP)";DRS, PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS;ADAMS & CO,, COUNSELLORS-AT-LAW;;;;;;26-Jun-19;02-Jul-19;25-Jul-19;23-Dec-19;25-Jun-20;; 432 ; 1.050 ; 1.800 ; 2.400 ; 795 ; 256 ; 250 ;;;;2019;; 315.720.787.437 ; 338.356.155.784 ;  ;  ;  ;; 203.427.744.297 ; 176.911.180.538 ;  ;  ;  ;; 321.353.564.356 ; 374.163.959.580 ;  ;  ;  ;; 15.722.843.710 ; 9.278.935.995 ;  ;  ;  ;;
AMAN;PT Makmur Berkah Amanda Tbk;13-Mar-20;Properties & Real Estate;Real Estate Management & Development; 64.350 ; 3.873.500.000 ; 110 ;35%;72%;93%;135%;165%;10%;-3%;-7%;36%;"KGI SEKURITAS INDONESIA (HD); PANIN SEKURITAS TBK. (GR); AARTHA SEKURITAS INDONESIA (SH); PROFINDO SEKURITAS INDONESIA (RG); MINNA PADI INVESTAMA SEKURITAS TBK (MU)";RAMA WENDRA;IVAN ALMAIDA BAELY & FIRMANSYAH LAW FIRM;;;;;;01-Jul-19;05-Jul-19;31-Jul-19;30-Dec-19;30-Jun-20;; 302 ; 730 ; 1.400 ; 2.060 ; 1.100 ; 134 ; 126 ;;;;2019;; 39.342.424.864 ; 68.147.476.022 ;  ;  ;  ;; 2.139.332.576 ; 1.966.385.648 ;  ;  ;  ;; 3.884.843.412 ; 9.502.424.479 ;  ;  ;  ;;-176.440.468 ; 938.135.051 ;  ;  ;  ;;
