Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,03/31/2022,Dec,U,0,14068.38,9908.06,4160.33,2615.08,1561.86,1210.79,1198.27,80.27,101.76,27.78,21.91,2.38,9.0,29.0,46.0
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,03/31/2022,Dec,U,0,109542.8,39053.72,70489.08,17582.62,8778.17,6317.28,5743.8,563.32,2203.75,5.8,1.48,0.55,5.0,8.0,33.0
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,03/31/2022,Dec,U,0,28.77,11.71,17.06,10.75,1.67,1.67,1.67,18.68,77.57,13.49,3.25,0.69,14.0,24.0,38.0
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk,S,03/31/2022,Dec,U,0,25263.44,13537.52,11725.92,10134.25,533.42,420.89,427.98,61.49,584.15,16.75,1.76,1.15,5.0,11.0,12.0
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,03/31/2022,Dec,U,0,5081.53,3186.41,1895.11,346.13,15.33,10.81,10.81,17.29,677.6,19.89,0.51,1.68,1.0,3.0,14.0
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,03/31/2022,Dec,U,0,5056.74,4438.14,618.6,546.4,34.03,34.03,22.47,-2.18,197.57,-108.34,1.19,7.17,0.0,-1.0,-1.0
ARTI,Energy,A132,"Oil, Gas & Coal Equipment & Services",Ratu Prabu Energi Tbk,S,03/31/2022,Dec,U,0,637.2,741.61,-104.41,1.52,-6.55,-6.04,-5.99,-14.02,-13.32,-3.57,-3.75,-7.1,-17.0,0.0,-7227.0
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,03/31/2022,Dec,U,0,522.71,166.46,356.25,22.8,-4.15,-4.46,-4.46,1.33,42.01,37.5,1.19,0.47,2.0,3.0,50.0
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,03/31/2022,Dec,U,0,723.15,270.75,452.4,101.96,20.6,19.94,19.94,31.15,132.57,12.84,3.02,0.6,15.0,23.0,104.0
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,03/31/2022,Dec,U,0,13716.73,7862.12,5854.61,201.15,52.42,34.49,17.2,2.58,115.94,44.66,0.99,1.34,1.0,2.0,65.0
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,03/31/2022,Dec,U,0,576.47,650.98,-74.51,55.6,3.5,3.5,3.5,-118.12,-53.22,-0.44,-0.98,-8.74,-22.0,0.0,-228.0
BSML,Energy,A122,Coal Distribution,Bintang Samudera Mandiri Lines Tbk,S,03/31/2022,Dec,U,0,250.47,152.66,97.81,36.08,3.57,3.25,3.25,0.0,52.86,0.0,23.55,1.56,0.0,0.0,0.0
BSSR,Energy,A121,Coal Production,Baramulti Suksessarana Tbk,S,03/31/2022,Dec,U,0,5778.27,1797.17,3981.1,1690.25,461.29,355.34,355.33,1201.63,1521.54,3.0,2.37,0.45,6.0,9.0,21.0
BULL,Energy,A112,Oil & Gas Storage & Distribution,Buana Lintas Lautan Tbk,S,09/30/2021,Dec,U,0,11960.09,6873.55,5086.55,1973.93,42.35,40.87,43.81,-4.08,360.29,-38.01,0.43,1.35,0.0,-1.0,-3.0
BUMI,Energy,A121,Coal Production,Bumi Resources Tbk,S,03/31/2022,Dec,U,0,59861.15,49019.66,10841.49,5023.21,834.11,671.0,620.98,18.61,84.13,3.12,0.69,4.52,4.0,22.0,48.0
BYAN,Energy,A121,Coal Production,Bayan Resources Tbk,S,03/31/2022,Dec,U,0,42205.67,9371.29,32834.38,11253.47,6947.18,5458.12,5291.48,6053.83,9850.31,8.88,5.46,0.29,13.0,16.0,47.0
CANI,Energy,A122,Coal Distribution,Capitol Nusantara Indonesia Tbk,S,12/31/2021,Jun,U,0,323.38,692.04,-368.65,18.91,-21.04,-21.13,-21.13,-33.91,-442.33,-3.24,-0.25,-1.88,-9.0,0.0,-149.0
CNKO,Energy,A122,Coal Distribution,Exploitasi Energi Indonesia Tbk,S,03/31/2022,Dec,U,0,1295.96,2531.62,-1235.66,343.93,-10.87,-10.66,-10.59,-6.94,-137.96,-7.21,-0.36,-2.05,-1.0,0.0,-3.0
DEWA,Energy,A132,"Oil, Gas & Coal Equipment & Services",Darma Henwa Tbk,S,03/31/2022,Dec,U,0,9174.95,5333.24,3841.72,1387.09,-56.93,-45.17,-45.21,-1.94,175.79,-27.78,0.31,1.39,0.0,-1.0,-3.0
DOID,Energy,A132,"Oil, Gas & Coal Equipment & Services",Delta Dunia Makmur Tbk,S,03/31/2022,Dec,U,0,23442.44,19690.22,3752.22,4770.24,24.72,-6.63,-6.63,42.83,435.23,10.18,1.0,5.25,0.0,0.0,0.0
DSSA,Energy,A121,Coal Production,Dian Swastatika Sentosa Tbk,S,03/31/2022,Dec,U,0,52434.66,21182.81,31251.85,10751.7,3354.72,2554.67,1373.44,2822.34,40557.72,12.42,0.86,0.68,4.0,7.0,20.0
DWGL,Energy,A122,Coal Distribution,Dwi Guna Laksana Tbk,S,03/31/2022,Dec,U,0,1603.26,1419.99,183.26,885.83,46.78,46.88,46.88,12.84,19.82,15.89,10.29,7.75,7.0,65.0,13.0
ELSA,Energy,A131,Oil & Gas Drilling Service,Elnusa Tbk,S,03/31/2022,Dec,U,0,7442.37,3589.3,3853.07,2445.44,105.92,74.94,74.93,24.95,527.93,12.11,0.57,0.93,2.0,5.0,7.0
ENRG,Energy,A111,Oil & Gas Production & Refinery,Energi Mega Persada Tbk,S,03/31/2022,Dec,U,0,17463.61,10872.4,6591.21,1616.28,469.8,147.59,147.68,23.15,265.55,10.2,0.89,1.65,3.0,9.0,36.0
FIRE,Energy,A122,Coal Distribution,Alfa Energi Investama Tbk,S,03/31/2022,Dec,U,0,431.56,134.14,297.42,8.47,-12.77,-10.07,-10.07,-38.5,201.59,-5.56,1.06,0.45,-13.0,-19.0,-671.0
GEMS,Energy,A121,Coal Production,Golden Energy Mines Tbk,S,03/31/2022,Dec,LR,0,13591.34,7105.19,6486.15,7740.18,2511.75,1947.28,1915.9,925.37,1102.64,6.62,5.55,1.1,40.0,84.0,70.0
GTBO,Energy,A121,Coal Production,Garda Tujuh Buana Tbk,S,09/30/2020,Dec,U,0,826.76,201.74,625.02,0.0,-9.54,-9.54,-9.54,-0.35,250.01,0.0,0.3,0.32,-1.0,-2.0,0.0
GTSI,Energy,A112,Oil & Gas Storage & Distribution,GTS Internasional Tbk,S,03/31/2022,Dec,U,0,1847.42,1130.53,716.88,150.03,28.27,27.03,18.19,-14.3,45.32,-4.27,1.35,1.58,-12.0,-32.0,-151.0
HITS,Energy,A112,Oil & Gas Storage & Distribution,Humpuss Intermoda Transportasi Tbk,S,03/31/2022,Dec,U,0,3287.55,2316.47,971.08,369.54,63.95,57.06,48.22,-19.78,136.75,-44.23,6.4,2.39,-4.0,-14.0,-38.0
HRUM,Energy,A121,Coal Production,Harum Energy Tbk,S,03/31/2022,Dec,U,0,14211.96,3522.6,10689.35,2184.83,1373.61,1108.42,901.38,125.95,790.74,12.27,1.95,0.33,12.0,16.0,78.0
INDY,Energy,A121,Coal Production,Indika Energy Tbk,S,03/31/2022,Dec,U,0,57426.02,43038.37,14387.65,11927.65,2232.02,1219.27,1077.37,391.04,2761.44,5.96,0.84,2.99,4.0,14.0,17.0
INPS,Energy,A112,Oil & Gas Storage & Distribution,Indah Prakasa Sentosa Tbk,S,09/30/2021,Dec,U,0,451.46,331.26,120.2,210.38,-3.15,-3.21,-3.15,-14.44,184.92,-177.87,6.22,2.76,-2.0,-8.0,-4.0
ITMA,Energy,A132,"Oil, Gas & Coal Equipment & Services",SUMBER ENERGI ANDALAN Tbk,S,03/31/2022,Dec,U,0,2667.2,156.01,2511.19,0.73,38.22,38.22,38.24,203.41,2884.1,2.61,0.18,0.06,1.0,2.0,5241.0
ITMG,Energy,A121,Coal Production,Indo Tambangraya Megah Tbk,S,03/31/2022,Dec,LR,0,28367.72,10738.39,17629.33,9187.52,3941.15,3061.24,3061.92,8172.77,15602.22,4.28,2.24,0.61,11.0,17.0,33.0
KKGI,Energy,A121,Coal Production,Resource Alam Indonesia Tbk,S,03/31/2022,Dec,U,0,2096.59,584.24,1512.34,600.66,141.49,98.08,97.35,79.66,302.47,6.25,1.65,0.39,19.0,26.0,66.0
KOPI,Energy,A112,Oil & Gas Storage & Distribution,Mitra Energi Persada Tbk,S,03/31/2022,Dec,U,0,144.83,53.7,91.13,41.27,2.12,1.5,1.48,2.6,130.7,209.51,4.17,0.59,1.0,2.0,4.0
LEAD,Energy,A112,Oil & Gas Storage & Distribution,Logindo Samudramakmur Tbk,S,03/31/2022,Dec,U,0,1973.74,1479.6,494.13,92.92,-10.07,-11.16,-11.16,-8.6,122.02,-5.81,0.42,2.99,-2.0,-8.0,-41.0
MBAP,Energy,A121,Coal Production,Mitrabara Adiperdana Tbk,S,03/31/2022,Dec,U,0,4441.45,930.65,3510.8,1487.59,822.24,639.85,639.85,1517.1,2860.66,3.81,2.25,0.27,32.0,41.0,96.0
MBSS,Energy,A122,Coal Distribution,Mitrabahtera Segara Sejati Tbk,S,03/31/2022,Dec,U,0,2511.62,123.65,2387.97,231.38,9.94,9.94,6.44,110.64,1364.53,8.77,0.71,0.05,8.0,8.0,84.0
