Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ISSP,Basic Materials,B144,Iron & Steel,Steel Pipe Industry of Indonesia Tbk,S,09/30/2022,Dec,A,WTP,7475.8,3448.21,4027.6,4751.98,346.73,292.87,292.87,46.39,560.48,5.43,0.45,0.86,4.0,8.0,7.0
JKSW,Basic Materials,B121,Construction Materials,Jakarta Kyoei Steel Works Tbk,S,09/30/2022,Dec,U,0,168.19,662.55,-494.36,0.0,0.0,2.57,2.57,22.4,-3295.73,2.68,-0.02,-1.34,2.0,0.0,0.0
KAYU,Basic Materials,B151,Timber,Darmi Bersaudara Tbk,S,09/30/2022,Dec,U,0,109.45,29.46,79.99,19.71,1.85,1.4,1.4,2.1,120.28,23.81,0.42,0.37,1.0,2.0,7.0
KBRI,Basic Materials,B152,Paper,Kertas Basuki Rachmat Indonesia Tbk,S,09/30/2019,Dec,U,0,1012.66,876.71,135.95,0.38,-26.15,-33.74,-33.74,-3.95,15.65,0.0,3.2,6.45,-3.0,-25.0,-8954.0
KDSI,Basic Materials,B131,Containers & Packaging,Kedawung Setia Industrial Tbk,S,09/30/2022,Dec,U,0,1406.99,674.0,732.99,1761.59,79.49,59.42,59.42,172.34,1809.86,6.38,0.61,0.92,5.0,10.0,4.0
KKES,Basic Materials,B111,Basic Chemicals,PT Kusuma Kemindo Sentosa Tbk,S,12/31/2022,Dec,A,WTP,114.43,51.84,62.6,230.72,8.18,6.22,6.22,4.14,41.73,25.1,2.49,0.83,5.0,10.0,3.0
KMTR,Basic Materials,B153,Diversified Forest,PT Kirana Megatara Tbk.,S,09/30/2022,Dec,U,0,4909.84,2919.25,1990.59,9750.64,20.38,5.85,8.83,4.55,242.3,57.53,1.08,1.47,1.0,2.0,0.0
KRAS,Basic Materials,B144,Iron & Steel,Krakatau Steel (Persero) Tbk,S,09/30/2022,Dec,U,0,56813.87,48312.55,8501.31,28074.78,1561.37,1251.66,1220.92,65.24,439.43,4.72,0.7,5.68,2.0,15.0,4.0
LMSH,Basic Materials,B144,Iron & Steel,Lionmesh Prima Tbk,S,09/30/2022,Dec,U,0,140.7,28.19,112.5,134.81,-3.0,-3.06,-3.06,-17.92,1171.91,-27.9,0.43,0.25,-1.0,-2.0,-1.0
LTLS,Basic Materials,B111,Basic Chemicals,Lautan Luas Tbk,S,09/30/2022,Dec,U,0,6047.85,3189.03,2858.81,6010.74,369.98,274.14,261.0,257.88,1832.57,5.2,0.73,1.12,7.0,14.0,7.0
MDKA,Basic Materials,B143,Gold,Merdeka Copper Gold Tbk,S,09/30/2022,Dec,LR,0,54424.31,23720.67,30703.64,79460.09,1453.23,1070.12,1053.93,52.59,1273.44,86.33,3.57,0.77,2.0,4.0,2.0
MDKI,Basic Materials,B111,Basic Chemicals,Emdeki Utama Tbk,S,12/31/2022,Dec,A,WTM,1045.93,105.71,940.22,486.88,49.06,38.42,37.95,14.42,371.61,13.11,0.51,0.11,4.0,4.0,8.0
MOLI,Basic Materials,B111,Basic Chemicals,Madusari Murni Indah Tbk,S,12/31/2022,Dec,A,WTP,2182.95,677.05,1505.89,1515.32,22.21,11.31,7.43,2.73,552.82,53.53,0.26,0.45,0.0,0.0,0.0
NICL,Basic Materials,B146,Diversified Metals & Minerals,PAM Mineral Tbk,S,12/31/2022,Dec,A,0,600.87,103.56,497.32,1132.27,202.43,150.21,149.73,11.0,51.22,31.09,6.68,0.21,25.0,30.0,13.0
NIKL,Basic Materials,B146,Diversified Metals & Minerals,Pelat Timah Nusantara Tbk,S,09/30/2022,Dec,U,0,3126.37,2206.45,919.92,3013.8,149.75,114.89,114.89,51.67,364.56,11.32,1.6,2.4,4.0,14.0,4.0
NPGF,Basic Materials,B112,Agricultural Chemicals,Nusa Palapa Gemilang Tbk,S,09/30/2022,Dec,U,0,375.71,176.36,199.35,142.73,-14.02,-11.22,-11.22,-3.62,61.52,-13.82,0.81,0.88,-3.0,-6.0,-8.0
OBMD,Basic Materials,B113,Specialty Chemicals,OBM Drilchem Tbk,S,09/30/2022,Dec,LR,0,131.94,12.83,119.11,78.95,22.54,17.66,17.66,25.0,147.79,7.28,1.23,0.11,15.0,17.0,26.0
OKAS,Basic Materials,B111,Basic Chemicals,Ancora Indonesia Resources Tbk,S,09/30/2022,Dec,U,0,2503.06,2321.7,181.35,1634.65,279.06,97.01,211.86,104.9,102.7,1.53,1.56,12.8,7.0,102.0,11.0
OPMS,Basic Materials,B144,Iron & Steel,Optima Prima Metal Sinergi Tbk,S,12/31/2022,Dec,A,WTP,94.31,2.41,91.9,22.51,-1.18,-0.86,-0.86,-0.86,91.9,-67.37,0.63,0.03,-1.0,-1.0,-4.0
PBID,Basic Materials,B131,Containers & Packaging,Panca Budi Idaman Tbk,S,12/31/2022,Dec,A,WTP,3040.36,594.34,2446.03,5030.42,453.47,354.9,352.86,188.19,1304.55,8.34,1.2,0.24,12.0,14.0,7.0
PICO,Basic Materials,B131,Containers & Packaging,Pelangi Indah Canindo Tbk,S,09/30/2022,Dec,U,0,1035.98,838.82,197.16,416.02,8.39,8.41,8.41,-15.05,346.88,-15.42,0.67,4.25,-1.0,-4.0,-2.0
PNGO,Basic Materials,B153,Diversified Forest,PT Pinago Utama Tbk,S,12/31/2022,Dec,A,WTM,1550.62,842.07,708.55,2034.46,226.06,173.39,173.13,169.19,906.94,7.8,1.46,1.19,11.0,24.0,9.0
PSAB,Basic Materials,B143,Gold,J Resources Asia Pasifik Tbk,S,09/30/2022,Dec,U,0,12256.29,6158.31,6097.98,1173.91,69.86,39.23,-41.17,5.47,230.46,22.69,0.54,1.01,1.0,2.0,12.0
