kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p
EPMT;2500;2250;2680;0.0;0.6;0.1;0;0;0.9;2729;none;13600;2708640000;2449;2480;6771599998976;462445019136;600649695232;30565197676544;239492661248;170;58
ERAA;452;326;486;0.0;0.2;0.1;7.1700506;63;0.9;500;strong_buy;40691410;15783499776;423;444;7134142005248;1700765368320;1816397217792;65931002773504;8658627330048;107;78
ERTX;120;83;446;0.0;0.0;0.0;0;0;6000.0;0;none;7855410;1286540032;203;113;154384809984;2542705;2832352;112927216;37154592;0;10
ESSA;965;490;1010;0.3;0.1;0.1;19.681828;49;40208.3;0;buy;34806130;17226999808;749;891;16624054697984;155095360;153178000;342445888;114142104;0;91
ESTI;48;25;54;0.0;0.0;0.1;0;0;6000.0;0;none;124220;2015209984;37;41;96730079232;70950;8072814;24708948;27566756;0;79
ETWA;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXCL;2250;1885;2650;0.2;0.4;0.1;13.769891;163;1.1;2047;buy;19356480;13071899648;2291;2276;29411774562304;1395558973440;17577589866496;33609721315328;45448416985088;106;47
FAST;420;414;990;-0.2;0.0;-1.4;0;0;9.1;46;none;213120;3987069952;586;446;1674569318400;87515537408;195917889536;4905621258240;1381205934080;22;1
FASW;5500;5000;7625;-0.2;0.0;-0.2;0;0;3.8;1435;none;430;2477890048;5686;6060;13628395749376;29052999680;-173823000576;7663390818304;7434887233536;11;19
FISH;11000;5450;11800;-0.0;0.5;0.1;0;0;30137.0;0;none;11100;480000000;6742;9288;5280000114688;62912736;79900072;1370511616;125261040;0;87
FMII;228;121;615;0.2;0.0;0.0;0;0;2.2;105;none;45020;6400000000;191;225;1459199934464;4643279360;27742187520;33396293632;65604927488;0;21
FORU;7000;130;7225;-0.1;0.0;-0.2;0;0;96.0;72;none;881650;465224000;1559;3300;3256567988224;21117368320;-8086929408;37458132992;0;45;96
FPNI;204;131;244;-0.0;0.0;-0.1;0;0;12750.0;0;none;1177560;5566410240;182;196;1135547645952;14639000;-1329000;367543008;497000;0;64
FREN;28;25;56;-0.0;0.0;-0.0;0;0;0.6;46;buy;100463780;1011790016;39;28;13347711877120;3728135946240;2264627937280;11666709282816;18903029776384;7;9
GAMA;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
GDST;110;89;158;0.0;0.3;0.1;0;0;0.7;150;none;2287190;8954989568;118;124;985048875008;591258451968;-23046785024;2728534474752;652381126656;66;30
GDYR;1480;1170;1800;0.0;0.0;0.1;0;0;10882.4;0;none;36130;410000000;1421;1523;606799986688;11780536;18470380;171533968;1426789;0;49
GEMA;268;195;340;0.1;0.6;0.0;0;0;1.0;257;none;32760;1600000000;266;265;428800016384;41014390784;-37735575552;1388571131904;463074656256;25;50
GEMS;11100;5475;18800;0.3;1.3;0.6;0;0;88800.0;0;none;705950;5882350080;8181;12512;65294085128192;298747744;637914112;2825592832;114177640;0;42
GGRM;13700;13700;22975;0.0;0.0;0.0;5.25833;2605;0.4;32147;underperform;756350;1924089984;17889;15732;26360032526336;3935488966656;6528431030272;111097809993728;4512359120896;2045;0
GIAA;58;48;95;0.1;0.0;0.0;0;0;0.0;0;none;11293790;25886599168;62;65;1501422813184;211156368;487856448;3290798592;3837937920;0;21
GJTL;1310;845;1490;0.1;0.1;0.2;5.720524;229;0.5;2537;none;23115910;3484410112;1180;1264;4564577157120;1140556038144;2153671950336;17403371061248;4711464828928;327;72
GLOB;65;62;122;0.0;0.0;0.0;0;0;0.0;-900;none;610;1111110016;76;71;72222154752;872868352;9353294848;198149128192;472282202112;0;5
GMTD;4670;1485;7000;0.1;0.0;0.3;0;0;5.7;816;none;24580;1015379968;4593;4286;4741824249856;25406320640;36775596032;541999104000;12414254080;25;57
GOLD;298;230;410;0.4;0.0;0.0;0;0;1.0;300;none;71200;1277280000;305;292;380629450752;41634586624;26375634944;48932904960;2113346048;32;37
GOLL;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
GPRA;102;70;107;0.1;0.2;0.1;0;0;0.4;290;none;8801720;4276659968;90;97;436219314176;187369046016;75640250368;543842697216;286543446016;43;86
GSMF;61;50;75;0.0;0.0;-0.0;0;0;0.4;169;none;4699010;1441440000;53;53;868054401024;1491427000320;61261000704;1207166959616;496541007872;104;44
GTBO;260;206;685;-0.4;0.0;-0.1;0;0;13000.0;0;none;322180;2500000000;313;280;650000007168;2722479;-5193136;38176168;537793;0;11
GWSA;135;128;186;-0.6;0.0;0.0;0;0;0.1;909;none;3333470;7800759808;144;143;1053102571520;192574816256;-142581334016;76736495616;428112412672;24;12
GZCO;100;72;179;0.1;0.0;0.0;0;0;0.5;185;none;98446520;6000000000;93;91;599999971328;78663999488;90657996800;666871988224;441009012736;13;26
HADE;6;2;8;-0.1;0.0;-0.1;0;0;1.6;3;none;1546600;2120000000;4;5;12720000000;1868775168;338818944;3943014656;0;0;66
HDFA;147;80;194;0.0;0.0;-0.1;0;0;1.5;95;none;67040;6542450176;106;143;961740144640;119661232128;-941899710464;131707076608;2503268368384;18;58
HDTX;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
HERO;665;600;1160;0.1;0.0;-0.1;0;0;1.6;404;none;43780;4183630080;728;657;2782114086912;53496999936;339195002880;5027057893376;1923437035520;12;11
HEXA;5450;5300;6800;0.1;0.9;0.4;272500.0;0;24772.7;0;none;822360;840000000;6150;6176;4577999978496;16468244;84947680;698410880;108362256;0;10
HITS;326;274;500;0.1;0.0;0.0;0;0;36222.2;0;none;332270;7101080064;343;290;2314951983104;40675756;17658784;119582976;80118752;0;23
HMSP;680;640;1005;0.2;1.1;0.3;9.148392;74;2.9;232;buy;17190340;116318003200;770;724;79096243552256;6029093896192;6156259950592;54804537671680;476160000000;51;10
HOME;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
HOTL;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
HRUM;1200;1050;1590;0.1;0.0;0.1;4.9321823;243;11650.5;0;strong_buy;13717610;13310000128;1290;1345;15971999809536;205276944;109216360;1253248896;370781248;0;27
IATA;38;24;61;0.3;0.0;0.2;0;0;9500.0;0;buy;3561130;25238200320;45;45;959051595776;3077498;-21732648;141507904;78734552;0;37
IBFN;33;2;72;1.6;0.0;0.0;0;0;0.0;-467;none;1222680;1517330048;20;42;50071891968;47660535808;27883063296;-31688747008;666996375552;31;44
IBST;5100;4000;6900;0.6;0.0;-0.5;0;0;3.4;1507;none;60;1350899968;4925;5293;6889589964800;71505002496;754402459648;920255791104;2061064994816;52;37
ICBP;12100;9600;12875;0.2;0.3;0.1;13.919406;869;3.1;3960;buy;2943490;11661899776;11162;12040;141108986249216;22364318334976;19656505032704;72088870191104;42935840145408;1919;76
ICON;37;16;57;0.1;0.0;-0.0;0;0;0.3;139;none;165250;1089750016;38;36;40320749568;7919318016;1833273344;198682755072;13780335616;7;51
IGAR;500;418;545;0.1;0.0;0.1;0;0;0.7;685;none;213910;954041024;475;499;477020520448;453805473792;75728257024;875158765568;1169650432;494;64
IIKP;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
IKAI;10;5;50;-0.0;0.0;0.0;0;0;0.2;60;none;6134390;13305799680;20;13;133057994752;1154747008;16920182784;190448959488;208876929024;0;11
IKBI;422;410;670;0.0;0.2;0.1;0;0;6698.4;0;none;27280;1224000000;458;437;516528013312;3011351;18833760;249771392;4230772;0;4
IMAS;1260;1200;1820;0.1;0.1;0.0;12.233009;103;0.4;3285;none;449770;3994289920;1346;1292;5032805138432;2671107899392;521071001600;29038435368960;42418913148928;668;9
IMJS;175;132;374;0.1;0.0;0.0;0;0;0.3;509;none;8913720;8654319616;216;196;1514505895936;1634793684992;1439952011264;4593840291840;23539356794880;188;17
IMPC;336;310;410;0.2;2.1;0.2;0;0;10.4;32;hold;7533200;54268502016;359;341;18234216546304;212163592192;269688520704;3188971536384;1472856850432;3;26
INAF;126;126;725;-2.0;0.0;0.0;0;0;0.0;-313;none;0;3099269888;217;126;390508019712;7721188864;-61129977856;215767564288;782107148288;2;0
INAI;137;98;228;-0.0;0.0;-0.3;0;0;0.3;432;none;130960;633600000;172;144;86803202048;13205772288;-54694895616;1196418531328;798650335232;20;30
INCI;605;500;625;0.1;0.0;0.0;0;0;0.3;2132;none;68240;207656992;562;587;125632479232;154402504704;36765876224;377197953024;608160000;738;84
INCO;3800;3610;5300;0.0;0.0;0.0;15.618578;243;14728.7;0;hold;12910280;10539799552;4061;3945;40051236929536;771214976;206851008;1002934976;8364000;0;11
INDF;7300;5850;7750;0.2;0.2;0.1;6.037898;1209;1.0;7410;buy;12455000;8780430336;6477;7113;64097139818496;40627899203584;21023162368000;114759194116096;66148427104256;4627;76
INDR;2930;2660;4220;-0.0;0.0;-0.1;0;0;4665.6;0;none;42630;654352000;3175;3332;1917251354624;11113431;12685701;801368320;109261912;0;17
INDS;288;195;380;0.0;0.6;0.0;0;0;0.6;510;none;241520;6562500096;262;293;1890000044032;54427279360;45304647680;3273572483072;275196149760;8;50
INDX;88;63;155;-65.0;0.0;-0.3;0;0;1.0;86;none;532070;437913984;90;89;38536429568;6406229504;-3519935744;133412744;0;14;27
INDY;1505;1155;1825;0.1;0.5;0.1;5.45804;275;6350.2;0;buy;11237520;5202690048;1440;1600;7830048342016;840701376;-16745125;2512278272;1298043392;0;52
INKP;7625;7600;10000;0.2;0.1;0.1;2.8623662;2663;6718.1;1;buy;4962480;5470980096;8668;8354;41716224622592;1652232960;632521024;3212580096;4397016064;0;1
INPC;157;50;179;0.2;0.0;0.0;0;0;0.8;206;none;167534880;20223399936;67;81;3175073710080;4439723212800;480847003648;1193512009728;200010006528;219;82
INPP;960;550;1275;0.2;0.0;0.1;0;0;1.9;502;none;198260;11182000128;1012;1038;10734720253952;386175729664;322486206464;1151296733184;1755760427008;34;56
INRU;476;350;1235;0.0;0.0;-0.1;0;0;6025.3;0;none;3460;1388880000;534;505;661106851840;633000;56308000;106921000;317649984;0;14
INTA;13;4;50;-0.1;0.0;0.0;0;0;0.0;-517;none;1068450;3343930112;22;18;43471089664;73844998144;25475999744;1134266941440;3654088130560;22;19
INTD;187;102;306;-0.1;0.0;-0.0;0;0;2.9;65;none;603830;591827968;148;201;110671831040;8918706176;-13815971840;35566546944;0;15;41
INTP;7200;6275;10200;0.2;0.2;0.1;13.84216;520;1.1;6296;buy;1381170;3364979968;7702;7086;24227855990784;2703756099584;3279860006912;18342739968000;2546731057152;801;23
IPOL;125;110;161;0.0;0.0;0.0;0;0;5208.3;0;none;77820;6443380224;132;125;805422497792;12476789;7065516;207962368;151660592;0;29
ISAT;2430;2160;3062;0.2;0.4;0.2;2.9718227;817;2.5;971;buy;30420960;32250800128;2667;2599;78369446166528;4569583058944;18849999093760;54530356019200;53805265715200;141;29
ISSP;300;254;332;0.1;0.2;0.1;0;0;0.4;689;none;2689380;7065339904;292;303;2119602012160;144781000704;995885973504;5992395833344;2098410946560;20;58
ITMA;810;378;1000;0.2;0.0;0.1;0;0;4426.2;0;none;12231540;999052992;799;815;809232891904;281029;7114;112569;16403395;0;69
ITMG;25500;23575;28775;0.2;1.0;0.2;6.2385473;4087;16221.4;1;hold;1118900;1129920000;26027;26289;28812960071680;876782976;305163008;2124654976;17544000;0;37
JAWA;117;56;218;0.0;0.0;-0.5;0;0;1.9;60;none;2392000;16232999936;107;128;1899260936192;1376090240;-127928868864;855152066560;2419750076416;0;37
JECC;605;298;872;0.0;1.5;0.1;0;0;0.6;1036;none;33900;756000000;619;612;457380003840;96180453376;173135036416;3207420444672;808619016192;127;53
JIHD;950;278;950;0.1;0.0;0.0;0;0;0.6;1533;none;3299530;2329039872;359;375;2212587896832;499664650240;430727397376;1541616173056;282813988864;214;100
JKON;98;78;119;0.0;0.3;0.1;0;0;0.5;186;none;7980640;16308500480;92;98;1598232985600;345185189888;410425884672;4207495348224;210247385088;21;48
JKSW;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
JPFA;1750;1055;1875;0.1;0.0;0.1;10.86147;161;1.3;1327;buy;34477320;8716080128;1388;1575;16272200826880;1365361950720;2756131946496;54688409976832;12086307454976;117;84
JRPT;655;545;765;0.4;0.3;0.1;8.710107;75;0.9;695;buy;436410;12910699520;663;656;8456508014592;647129792512;1005775421440;2707140116480;5246514176;50;49
JSMR;4780;4290;5700;0.3;0.0;0.1;11.578616;412;1.1;4552;buy;5241280;7257869824;5120;4991;34692617207808;15544234278912;6809518080000;27604446871552;71715333865472;2141;34
JSPT;4380;830;4400;0.3;0.1;0.1;0;0;4.7;927;none;0;2318739968;1924;2902;10156081414144;1415072448512;698459881472;2213334220800;2704699293696;610;99
JTPE;248;246;368;0.1;0.8;0.2;0;0;1.6;156;none;20693580;6852049920;281;277;1699308371968;254972215296;188327428096;1866690330624;50859323392;37;1
KAEF;680;535;1935;-0.0;0.0;-0.3;0;0;0.2;3222;none;1052620;5566580224;748;737;3785274425344;505105776640;582413254656;10114019885056;7573605449728;305;10
KARW;3740;50;7850;-0.0;0.0;0.0;0;0;0.0;0;none;1426170;587153024;1166;3179;2195952369664;622154;967082;5057253;0;0;47
KBLI;394;300;454;0.1;0.2;0.1;0;0;0.6;650;none;321220;560000000;367;410;1578852548608;506563624960;-69589999616;3349453733888;2193340928;126;61
KBLM;316;218;378;0.1;0.0;0.1;0;0;0.3;1205;none;237590;1120000000;269;316;353919991808;23550420992;296098529280;1860725637120;0;21;61
KBLV;100;29;100;0.5;0.0;0.0;0;0;0.2;416;none;440010;1742169984;52;62;174217003008;255454003200;121139003392;69396996096;0;163;100
KBRI;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
KDSI;1845;1400;2540;0.1;0.0;0.1;0;0;1.0;1937;none;4850;405000000;1701;1756;747225022464;46198353920;136818769920;2031173500928;101421752320;114;39
KIAS;24;10;31;-0.1;0.0;-0.0;0;0;0.5;50;none;298350;425000000;16;24;358298386432;31090814976;40722923520;594376916992;39099609088;2;66
KICI;136;98;252;-0.1;0.0;-0.1;0;0;0.4;381;none;608150;276000000;137;142;37535997952;4465388544;-3082874624;69624242176;16508130304;16;24
KIJA;193;110;206;0.4;0.0;0.2;7.72;25;0.7;290;none;162178200;711956992;138;179;3962753253376;1954640953344;1475371073536;4398856011776;4344021778432;95;86
KKGI;570;286;720;0.1;0.4;0.2;0;0;16285.7;0;none;8441800;4845669888;480;600;2762031759360;80248168;48870868;315399008;7534521;0;65
KLBF;1570;1375;1795;0.1;0.5;0.1;21.50096;73;3.3;480;hold;28668640;46149201920;1568;1701;72454244401152;4316375810048;4956051472384;32126890147840;743451262976;93;46
KOBX;188;110;256;0.0;0.0;-0.5;0;0;0.9;210;none;4120090;2272499968;145;161;427230003200;45666668544;-1080451399680;1798260523008;1800394375168;20;53
KOIN;74;52;89;-0.0;0.0;0.0;0;0;0.0;-50;none;1880;980844032;71;73;72582455296;17041769472;159839944704;3201277362176;12185861120;17;59
KONI;1355;760;1405;0.1;0.0;0.1;0;0;3.0;452;none;16510;312000000;984;965;422759989248;25922715648;6727887872;254403182592;0;83;92
KOPI;580;220;755;0.1;0.0;-0.0;0;0;4.1;142;none;382000;697267008;350;464;404414857216;2651368192;26531796992;209088561152;169807642624;3;67
KPIG;167;50;250;0.1;0.0;0.0;0;0;0.6;283;none;167567230;97557102592;99;177;16292035690496;158246109184;323135406080;1629739941888;6044261548032;1;58
KRAH;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
KRAS;140;79;179;-0.1;0.0;-0.6;5.6;25;5185.2;0;none;26462970;19346399232;127;137;2708495925248;71453000;-22300000;848068992;1588436992;0;61
KREN;7;4;50;-0.0;0.0;-0.0;0;0;0.8;8;none;1674030;18205399040;18;8;127437791232;482731229184;193636663296;9313185693696;319954518016;26;6
LAPD;0;5;39;0.0;0.0;0.0;0;0;0.0;0;0;2168110;0;10;18;51562549248;0;0;0;0;0;-14
LCGP;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
LEAD;125;50;155;0.3;0.0;0.1;0;0;20833.3;0;none;25681960;4033740032;81;105;504217501696;7152119;13818454;42202680;96866656;0;71
LINK;1350;825;2390;-0.0;0.0;-0.2;3.5375504;381;0.9;1468;buy;33470;2751579904;1291;1662;3714632908800;287751012352;2337151123456;3794217992192;7918503067648;104;33
LION;380;380;680;0.1;0.0;-0.0;0;0;0.5;732;none;1530;520160000;467;408;197660803072;138233380864;83782098944;380772646912;51872149504;206;0
LMAS;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
LMPI;116;67;153;-0.0;0.0;-0.2;0;0;0.7;163;none;255500;1008520000;94;93;116988321792;4748769280;-3076575232;538733772800;266131931136;4;56
LMSH;422;348;450;-0.2;0.0;-0.1;0;0;0.4;1090;none;80;96000000;393;396;40512000000;32548483072;6220102656;109046620160;0;339;72
LPCK;740;480;895;0.1;0.0;0.0;0.7985583;926;0.3;2574;none;771000;2679600128;654;767;1982904139776;274345000960;197043994624;1159074021376;611887022080;102;62
LPGI;354;278;493;0.1;0.9;0.1;0;0;1.1;316;none;197780;3000000000;348;365;1062000001024;20161136640;-30954047488;2664959574016;1211095552;7;35
LPIN;412;280;454;0.1;0.0;0.1;0;0;0.6;744;none;542790;425000000;335;371;175100002304;41902268416;34682224640;146088493056;59755128;98;75
LPKR;120;50;145;15.7;0.0;0.7;19.35484;6;0.3;420;underperform;367327460;70877298688;78;102;8505275711488;6882654158848;1398798942208;13736372862976;12377440387072;97;73
LPLI;272;191;320;-3.6;0.0;0.0;0;0;0.2;1380;none;1189940;157927008;230;248;318356946944;551337000960;-96039002112;20373000192;0;471;62
LPPF;1515;1340;2410;0.1;0.7;11.5;4.101356;369;30.5;49;underperform;3631670;2259290112;1651;1611;3422824431616;137268002816;2120712060928;6475253022720;2906144899072;60;16
LPPS;94;50;113;0.9;0.0;-0.2;0;0;0.3;334;none;54325470;1109250048;61;62;243295518720;147563528192;1353232768;38155636736;0;57;69
LRNA;187;108;266;-0.2;0.0;-0.1;0;0;0.2;875;none;56210;350000000;160;185;65450000384;1431196032;3077393408;92742107136;10528215040;4;50
LSIP;1180;750;1305;0.4;0.0;0.1;8.6257305;136;0.7;1742;buy;30744550;6819959808;901;1043;8047552364544;914432000000;1473954971648;4191410978816;4851999744;134;77
LTLS;1005;930;1350;0.1;0.2;0.1;0;0;0.5;1879;none;469200;1485880064;1056;1004;1493309456384;281565003776;686315012096;7519811928064;1012850032640;189;17
MAGP;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAIN;765;470;920;0.0;0.0;0.2;8.035714;95;0.7;1110;strong_buy;12446220;2238749952;663;812;1712643768320;220717940736;1149431578624;12532670529536;1312124436480;97;65
MAMI;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAPI;1605;1240;2050;0.1;0.1;0.2;10.924313;146;2.4;676;buy;22089640;16539599872;1647;1677;26546058297344;3501981958144;3797926019072;37142386442240;8199256145920;211;45
MASA;6200;2260;6200;0.1;0.4;0.1;0;0;144186.0;0;none;0;9182950400;5456;6200;56934291996672;23309842;78170416;430912992;1341720;0;100
MAYA;220;149;408;0.1;0.0;0.0;0;0;0.2;1341;none;3187980;388256992;266;232;5756938092544;7899144781824;-11011258056704;2161037017088;2680179916800;667;27
MBAP;3300;2510;4650;0.1;2.2;0.1;0;0;22147.6;0;none;92230;1227270016;3470;3378;4049991106560;128780344;20282168;220427648;1326611;0;36
MBSS;1070;970;1480;0.2;0.0;0.1;0;0;0.6;1921;none;960840;1750029952;1086;1152;1872532078592;2497771732992;355132833792;946875990016;406560997376;1427;19
MBTO;104;56;165;0.1;0.0;-0.1;0;0;0.3;345;none;678930;1070000000;92;104;111279996928;6301728256;4517833216;435378487296;172555403264;5;44
MCOR;88;53;91;0.4;0.0;0.0;0;0;0.5;176;none;15767660;37919698944;72;78;3336933474304;1292157976576;-2481410015232;913353998336;207394996224;34;92
MDIA;10;8;50;-0.5;0.0;-0.0;0;0;0.1;73;none;0;39215501312;21;10;392155004928;5016102912;86508404736;888799887360;1765263409152;0;4
MDKA;2350;2060;2970;0.1;0.0;0.0;36.22072;64;58750.0;0;buy;30211930;24409300992;2468;2451;57361859346432;367866400;93129544;2280577792;1574281984;0;31
MDLN;61;50;71;0.4;0.0;-0.1;0;0;0.2;344;none;42081770;5527940096;51;51;728785289216;111394709504;181746794496;1081793314816;6313730375680;9;52
MDRN;7;4;10;-0.2;0.0;0.0;0;0;0.0;-39;none;777100;5032169984;5;7;53425188864;811040256;4129343232;44281073664;385221918720;0;50
MEDC;1265;980;1635;0.3;0.2;0.2;6.499178;194;15617.3;0;buy;46190320;25066299392;1325;1291;31709248618496;617470464;1068146048;2351662336;3538354176;0;43
MEGA;4930;4300;5475;0.5;0.9;0.1;0;0;2.7;1827;none;3550;11740900352;5080;4985;57882636713984;5128285847552;14778123681792;6835332972544;18979556950016;435;53
MERK;3680;3670;4540;0.1;1.1;0.2;0;0;2.4;1561;none;11010;448000000;3924;3762;1648640000000;77186883584;135403978752;934431686656;18715742208;172;1
META;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
MFIN;3350;1373;4440;0.4;0.0;0.1;0;0;5.0;674;none;234780;5034999808;1798;2210;16867248832512;525404995584;99959996416;1527630004224;2351586082816;104;64
MFMI;1305;476;1305;0.3;0.0;0.3;0;0;8.0;162;none;17490;757580992;696;969;988643196928;108682354688;545042333696;178425888768;172135743488;141;100
MGNA;20;5;50;0.3;0.0;0.0;0;0;2.8;7;none;229580;3410480128;11;18;68209602560;7606671872;9039896576;41235857408;69674786816;2;33
MICE;488;430;635;0.1;0.2;0.0;0;0;0.3;1504;none;96500;591904000;495;503;288849166336;37372465152;41367449600;1086973214720;269195329536;63;28
MIDI;458;344;496;0.0;0.3;0.1;20.538116;22;3.8;121;strong_buy;21335600;33435299840;418;449;15313367203840;308368015360;1656952979456;19113516728320;674701967360;9;75
MIKA;2800;2430;3310;0.3;0.4;0.2;30.21474;92;6.3;447;buy;12202620;13907500032;2889;3022;38941000466432;2177765867520;1994672832512;4726292217856;3054171392;156;42
MIRA;8;3;11;0.0;0.0;-0.1;0;0;0.2;39;none;945580;3961449984;6;8;31691599872;558585344;6490360832;68050280448;48609857536;0;62
MITI;172;130;282;0.0;0.5;0.0;0;0;1.6;110;none;678960;3540740096;165;165;609007304704;142088536064;18450075648;282305363968;297535552;40;27
MKPI;26700;25000;29650;0.6;0.6;0.1;0;0;3.7;7226;none;14900;948193984;27136;26784;25316779098112;1745873272832;1306723221504;2408723251200;2786966528;1841;36
MLBI;6600;5800;8200;0.4;0.9;0.9;11.137362;592;10.5;625;buy;310440;2107000064;6463;6057;13906200231936;1047586013184;1602840952832;3378151948288;436390985728;497;33
MLIA;330;328;454;0.1;0.2;0.1;0;0;0.4;774;buy;4056170;6615000064;377;349;2182950027264;604940402688;606277730304;4568701206528;794747207680;91;1
MLPL;185;50;220;-0.0;0.0;0.0;0;0;0.7;280;none;598214120;467942016;68;104;2888479014912;1464199938048;581620989952;11191668703232;2025975971840;93;79
MLPT;16925;1185;16925;0.1;1.1;0.6;0;0;42.3;400;none;123250;1875000064;2744;6656;31734376693760;520607989760;529968005120;3358620909568;441137987584;277;100
MMLP;545;258;550;0.7;0.0;0.0;0;0;0.8;647;none;2767410;6889129984;349;452;3754575790080;171415355392;132310654976;375014490112;1597868998656;24;98
MNCN;318;284;464;0.1;0.0;0.1;3.0297256;104;0.2;1609;buy;62209570;13227200512;329;321;4206249639936;1470362025984;1228323028992;7701610889216;1845789982720;111;18
MPMX;1015;915;1095;0.0;0.9;0.1;7.1544375;141;0.7;1367;buy;3675770;4374179840;1020;1028;4439792418816;2718521884672;800374980608;15193230802944;18414999552;612;55
MPPA;106;50;116;-0.0;0.0;-0.5;29.362883;3;8.7;12;buy;356037840;12966599680;53;59;1374459527168;204898992128;462003994624;7037955080192;1492464959488;14;84
MRAT;356;320;775;0.0;0.0;-0.0;0;0;0.4;938;none;1227840;428000000;421;416;152368005120;121809281024;1999156864;301132546048;131767812096;284;7
MREI;995;945;2350;0.1;0.0;0.1;0;0;0.4;2794;none;39970;517792000;1210;1031;515203039232;253468180480;101365039104;2142964547584;0;489;3
MSKY;95;50;210;-0.4;0.0;-0.1;0;0;0.5;196;none;31802960;9971850240;88;100;947325763584;5562999808;120887001088;599890984960;181844000768;0;28
MTDL;640;490;690;0.1;0.4;0.2;9.846154;65;2.0;317;strong_buy;2986870;12276899840;592;624;7857215897600;1267988955136;465568989184;24220136374272;841866018816;103;75
MTFN;5;5;50;-0.1;0.0;0.0;0;0;0.0;-12;none;36686560;96300000;41;15;159210504192;17659987968;20503824384;544232898560;1061370624;0;0
MTLA;442;354;480;0.3;0.2;0.1;0;0;0.7;636;none;11470;7655130112;406;430;3383567581184;753075027968;419791011840;1927482966016;836709974016;98;69
MTSM;242;60;480;0.0;0.0;-0.2;0;0;1.9;128;none;30020;232848000;103;127;56349216768;8132908544;-3390910464;25015244800;2624384512;34;43
MYOH;1360;1255;2130;0.2;0.2;0.2;0;0;16790.1;0;none;73730;2206309888;1656;1316;3000581488640;82606704;33660204;174939824;25114588;0;12
MYOR;2500;2200;3010;0.1;0.4;0.2;15.252273;163;3.5;707;buy;9847270;22358700032;2495;2709;55896751210496;4527820374016;61969506304;34230851600384;9280297107456;202;37
MYRX;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
MYTX;39;20;72;-0.8;0.0;0.0;0;0;0.0;-44;none;95940;534667008;39;38;302143930368;61579001856;-123151998976;1339207057408;1909449949184;7;36
NELY;468;422;545;0.5;0.0;0.3;0;0;1.4;332;none;2035240;2350000128;476;463;1099800117248;96248938496;338484068352;508618375168;281746210816;40;37
NIKL;278;222;635;0.1;0.0;-0.0;0;0;12636.4;0;none;11839710;2523350016;304;265;701491314688;3704060;-17477452;159092640;69265344;0;13
NIPS;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
NIRO;135;134;150;0.1;0.0;-0.1;0;0;1.5;92;none;69600;22198900736;139;138;2996851703808;1757928882176;-10489007104;1251706011648;3216114712576;79;6
NISP;1370;1080;1445;0.4;0.3;0.1;0;0;0.8;1739;none;8168740;22945300480;1305;1361;31435060674560;9136793190400;47057532354560;12026840612864;36683466670080;398;79
NOBU;675;580;935;0.3;0.0;0.1;0;0;1.5;445;none;2016450;7478439936;704;646;5047947100160;5581237125120;-5218324971520;981889974272;5599419957248;746;26
NRCA;442;320;454;0.1;0.7;0.1;0;0;0.9;495;none;2515570;2417080064;350;375;1068349390848;591472623616;39137476608;3260944482304;176158932992;244;91
OCAP;0;0;0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
OKAS;106;73;151;0.1;0.0;0.4;0;0;26500.0;0;none;7689530;2373449984;102;122;251585691648;3920453;10630703;187479776;68630376;0;42
OMRE;412;398;605;-1.2;0.0;-0.0;0;0;0.3;1196;none;390;2945210112;448;412;1213426565120;41790488576;-115099574272;45777399808;262618038272;14;6
