Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBTRP,Proft,ProftOwner,EPSRP,BVRP,PER,PBV,DER,ROA(%),ROE(%),NPM(%)
BBRI,Financials,G111,Banks,PT Bank Rakyat Indonesia (Persero) Tbk,S,12/31/2023,Dec,A,WTM,1965007,1648535,316472,210711,76430,60425,60100,397,2088,15,2.9,5.21,3,19,29
BBSI,Financials,G111,Banks,PT Bank Bisnis Internasional Tbk.,S,09/30/2023,Dec,U,,3422,261,3161,277,125,98,98,30,860,151,5.35,0.08,3,4,40
BBTN,Financials,G111,Banks,PT Bank Tabungan Negara (Persero) Tbk,S,12/31/2023,Dec,A,WTM,438750,381164,30479,26908,4380,3501,3501,249,2172,6,0.72,12.51,1,11,13
BBYB,Financials,G111,Banks,PT Bank Neo Commerce Tbk.,S,12/31/2023,Dec,A,WTM,18170,14847,3323,3936,-574,-573,-573,-48,276,-6,1.01,4.47,-3,-17,-15
BCIC,Financials,G111,Banks,PT Bank JTrust Indonesia Tbk.,S,09/30/2023,Dec,U,,37075,33260,3814,1834,111,111,111,6,211,17,0.49,8.72,0,3,6
BDMN,Financials,G111,Banks,PT Bank Danamon Indonesia Tbk,S,12/31/2023,Dec,A,WTM,221305,171345,49959,21879,4694,3658,3504,359,5112,8,0.58,3.43,2,7,16
BEKS,Financials,G111,Banks,PT Bank Pembangunan Daerah Banten Tbk.,S,12/31/2023,Dec,A,WTM,6801,5132,1669,453,51,27,27,1,32,66,1.06,3.07,0,2,6
BGTG,Financials,G111,Banks,PT Bank Ganesha Tbk.,S,09/30/2023,Dec,U,,7499,4298,3200,446,80,65,65,3,134,21,0.52,1.34,1,2,18
BINA,Financials,G111,Banks,PT Bank Ina Perdana Tbk.,S,09/30/2023,Dec,U,,23565,20060,3504,1298,221,170,170,38,571,111,7.35,5.72,1,7,18
BJBR,Financials,G111,Banks,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,S,12/31/2023,Dec,A,WTM,188295,163579,15449,15455,2126,1681,1778,169,1468,7,0.82,10.59,1,12,12
BJTM,Financials,G111,Banks,Bank Pembangunan Daerah Jawa Timur Tbk,S,12/31/2023,Dec,A,WTM,103855,89337,12151,7316,1893,1470,1470,98,809,6,0.74,7.35,1,12,20
BKSW,Financials,G111,Banks,PT Bank QNB Indonesia Tbk,S,12/31/2023,Dec,A,WTM,11753,7062,4691,1028,69,69,69,2,133,27,0.39,1.51,1,1,7
BMAS,Financials,G111,Banks,PT Bank Maspion Indonesia Tbk.,S,12/31/2023,Dec,A,WTM,19666,12943,6723,1205,84,63,63,3,371,153,1.44,1.93,0,1,5
BMRI,Financials,G111,Banks,Bank Mandiri (Persero) Tbk.,S,12/31/2023,Dec,A,WTM,2174219,1660443,287495,169888,74685,60052,55060,590,3080,12,2.35,5.78,3,19,32
