Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBTRP,Proft,ProftOwner,EPSRP,BVRP,PER,PBV,DER,ROA(%),ROE(%),NPM(%)
SFAN,Financials,G511,Financial Holdings,Surya Fajar Capital Tbk,S,12/31/2023,Dec,A,WTM,325,98,227,15,-20,-17,-14,-10,167,-170,10.63,0.43,-4,-6,-97
SMMA,Financials,G511,Financial Holdings,Sinarmas Multiartha Tbk,S,09/30/2023,Dec,A,WTM,113958,88541,25417,16866,1632,1501,1439,198,3992,74,3.66,3.48,1,5,7
SRTG,Financials,G512,Investment Companies,PT Saratoga Investama Sedaya Tbk.,S,12/31/2023,Dec,A,WTM,50945,2157,48788,2808,-11309,-10151,-10150,-748,3597,-2,0.4,0.04,-20,-21,-361
STAR,Financials,G511,Financial Holdings,Buana Artha Anugerah Tbk,S,12/31/2023,Dec,A,WTM,512,1,511,5,3,3,3,1,106,105,0.56,0.0,1,1,58
VICO,Financials,G511,Financial Holdings,Victoria Investama Tbk,S,09/30/2023,Dec,U,,30220,23994,5096,649,181,151,85,8,335,13,0.3,4.71,0,2,18
IMJS,Financials,G211,Consumer Financing,Indomobil Multi Jasa Tbk,S,12/31/2023,Dec,A,WTM,28712,23974,4738,5154,336,270,334,39,547,7,0.51,5.06,1,7,6
GWSA,Properties & Real Estate,H111,Real Estate Development & Management,Greenwood Sejahtera Tbk,S,12/31/2023,Dec,A,WTM,7869,782,7087,72,62,61,61,8,909,18,0.16,0.11,1,1,85
KOTA,Properties & Real Estate,H111,Real Estate Development & Management,DMS Propertindo Tbk,S,09/30/2023,Dec,U,,1528,308,1219,20,-19,-19,-19,-2,116,-19,0.29,0.25,-1,-2,-95
ADCP,Properties & Real Estate,H111,Real Estate Development & Management,Adhi Commuter Properti Tbk,S,12/31/2023,Dec,A,WTM,6644,4070,2574,652,117,116,116,5,116,10,0.43,1.58,2,5,18
AMAN,Properties & Real Estate,H111,Real Estate Development & Management,Makmur Berkah Amanda Tbk,S,12/31/2023,Dec,A,WTM,1085,376,710,178,68,57,55,14,183,8,0.61,0.53,5,8,31
APLN,Properties & Real Estate,H111,Real Estate Development & Management,Agung Podomoro Land Tbk,S,09/30/2023,Dec,U,,28597,14879,13718,3916,1483,1352,1284,41,604,3,0.19,1.08,3,7,24
ARMY,Properties & Real Estate,H111,Real Estate Development & Management,Armidian Karyatama Tbk,S,09/30/2021,Dec,U,,1713,237,1476,41,3,3,3,1,164,0,0.31,0.16,0,0,13
ASPI,Properties & Real Estate,H111,Real Estate Development & Management,Andalan Sakti Primaindo Tbk,S,09/30/2023,Dec,U,,96,26,69,7,-1,-1,-1,-5,101,-29,1.43,0.38,-4,-5,-48
ASRI,Properties & Real Estate,H111,Real Estate Development & Management,Alam Sutera Realty Tbk,S,12/31/2023,Dec,A,WTM,22236,10965,11271,3956,668,638,632,32,574,5,0.27,0.97,3,6,16
ATAP,Properties & Real Estate,H111,Real Estate Development & Management,Trimitra Prawara Goldland Tbk,S,12/31/2023,Dec,A,WTM,114,34,80,24,1,0,0,0,64,384,0.79,0.43,0,0,1
BAPA,Properties & Real Estate,H111,Real Estate Development & Management,Bekasi Asri Pemula Tbk,S,09/30/2023,Dec,U,,134,7,128,8,-1,-1,-1,-3,193,-18,0.26,0.05,-1,-1,-24
BAPI,Properties & Real Estate,H111,Real Estate Development & Management,Bhakti Agung Propertindo Tbk,S,09/30/2023,Dec,U,,660,233,427,2,-1,-1,-1,0,76,-206,0.66,0.55,0,0,-76
BBSS,Properties & Real Estate,H111,Real Estate Development & Management,Bumi Benowo Sukses Sejahtera Tbk,S,12/31/2023,Dec,A,WTM,252,4,248,0,-1,-1,-1,0,52,-531,2.6,0.02,0,0,-269
BCIP,Properties & Real Estate,H111,Real Estate Development & Management,Bumi Citra Permai Tbk,S,09/30/2023,Dec,U,,915,432,484,82,23,20,19,10,338,5,0.15,0.89,2,3,17
BEST,Properties & Real Estate,H111,Real Estate Development & Management,Bekasi Fajar Industrial Estate Tbk,S,12/31/2023,Dec,A,WTM,5940,1572,4368,544,53,40,40,4,453,31,0.28,0.36,1,1,7
BIKA,Properties & Real Estate,H111,Real Estate Development & Management,Binakarya Jaya Abadi Tbk,S,09/30/2023,Dec,U,,2964,3366,-403,111,-75,-75,9,-161,-680,0,-0.06,-8.36,-3,0,-86
BIPP,Properties & Real Estate,H111,Real Estate Development & Management,Bhuwanatala Indah Permai Tbk,S,09/30/2023,Dec,U,,1898,831,1067,216,9,1,-10,-1,212,-32,0.17,0.78,0,-1,-3
BKDP,Properties & Real Estate,H111,Real Estate Development & Management,Bukit Darmo Property Tbk,S,09/30/2023,Dec,U,,757,364,393,26,-19,-21,-21,-4,52,-14,0.96,0.93,-4,-7,-104
BKSL,Properties & Real Estate,H111,Real Estate Development & Management,Sentul City Tbk,S,09/30/2023,Dec,U,,20420,5703,14717,378,35,34,35,0,88,-116,0.41,0.39,0,0,-14
BSDE,Properties & Real Estate,H111,Real Estate Development & Management,Bumi Serpong Damai Tbk,S,12/31/2023,Dec,A,WTM,66828,25626,41202,11539,2270,2259,1945,92,1946,11,0.51,0.62,3,5,17
CITY,Properties & Real Estate,H111,Real Estate Development & Management,Natura City Developments Tbk,S,09/30/2023,Dec,U,,951,115,836,30,-18,-19,-19,-4,155,-13,0.32,0.14,-2,-3,-70
COWL,Properties & Real Estate,H111,Real Estate Development & Management,Cowell Development Tbk,S,12/31/2019,Dec,A,TMP,2551,2570,-19,461,-928,-960,-960,-197,-4,0,-12.63,-133.29,-38,0,-208
CPRI,Properties & Real Estate,H111,Real Estate Development & Management,Capri Nusa Satu Properti Tbk,S,09/30/2022,Dec,U,,209,26,184,3,-1,-1,-1,-2,76,0,0.66,0.14,-2,-2,-127
CSIS,Properties & Real Estate,H111,Real Estate Development & Management,Cahayasakti Investindo Sukses Tbk,S,09/30/2023,Dec,U,,572,258,314,31,4,3,1,5,240,10,0.21,0.82,1,2,20
CTRA,Properties & Real Estate,H111,Real Estate Development & Management,Ciputra Development Tbk,S,09/30/2023,Dec,U,,42635,20698,21937,6589,1455,1255,1181,82,1183,16,1.1,0.94,4,7,23
DADA,Properties & Real Estate,H111,Real Estate Development & Management,Diamond Citra Propertindo Tbk,S,09/30/2023,Dec,U,,661,310,351,23,1,1,1,0,47,28,0.08,0.88,0,0,5
DART,Properties & Real Estate,H111,Real Estate Development & Management,Duta Anggada Realty Tbk,S,09/30/2023,Dec,U,,6344,4540,1805,302,-252,-278,-278,-118,574,-1,0.22,2.52,-6,-21,-123
DILD,Properties & Real Estate,H111,Real Estate Development & Management,Intiland Development Tbk,S,09/30/2023,Dec,U,,14690,8324,6366,3354,732,639,100,9,614,21,0.31,1.31,1,1,3
DMAS,Properties & Real Estate,H111,Real Estate Development & Management,Puradelta Lestari Tbk,S,12/31/2023,Dec,A,WTM,6719,838,5880,1921,1243,1211,1210,25,122,7,1.36,0.14,18,21,63
DUTI,Properties & Real Estate,H111,Real Estate Development & Management,Duta Pertiwi Tbk,S,12/31/2023,Dec,A,WTM,15131,3671,11461,3862,1287,1285,1066,576,6195,8,0.73,0.32,7,9,28
ELTY,Properties & Real Estate,H111,Real Estate Development & Management,Bakrieland Development Tbk,S,12/31/2023,Dec,A,WDP,8639,2508,6131,1273,-1117,-1123,-1079,-25,141,-1,0.24,0.41,-12,-18,-85
EMDE,Properties & Real Estate,H111,Real Estate Development & Management,Megapolitan Developments Tbk,S,09/30/2023,Dec,U,,3748,2170,1578,98,-42,-48,-48,-18,471,-7,0.27,1.37,-2,-4,-61
FMII,Properties & Real Estate,H111,Real Estate Development & Management,Fortune Mate Indonesia Tbk,S,12/31/2023,Dec,A,WTM,782,113,669,43,18,17,17,3,105,88,2.29,0.17,2,3,41
FORZ,Properties & Real Estate,H111,Real Estate Development & Management,Forza Land Indonesia Tbk,S,09/30/2020,Dec,U,,597,305,292,11,6,6,6,6,147,0,0.34,1.05,2,4,111
GAMA,Properties & Real Estate,H111,Real Estate Development & Management,Aksara Global Development Tbk,S,09/30/2022,Dec,U,,1377,329,1048,11,-22,-22,-22,-3,105,0,0.17,0.31,-2,-3,-299
GMTD,Properties & Real Estate,H111,Real Estate Development & Management,Gowa Makassar Tourism Development Tbk,S,12/31/2023,Dec,A,WTM,1204,508,696,420,129,129,129,127,686,36,6.64,0.73,11,19,31
GPRA,Properties & Real Estate,H111,Real Estate Development & Management,Perdana Gapuraprima Tbk,S,12/31/2023,Dec,A,WTM,1954,686,1268,460,98,96,89,21,297,5,0.32,0.54,5,7,19
HOMI,Properties & Real Estate,H111,Real Estate Development & Management,Grand House Mulia Tbk,S,12/31/2023,Dec,A,WTM,222,91,131,63,6,4,4,3,83,56,1.85,0.69,2,3,7
INDO,Properties & Real Estate,H112,Real Estate Services,PT Royalindo Investa Wijaya Tbk,S,12/31/2023,Dec,A,WTM,1004,5,1000,18,13,12,12,3,228,36,0.45,0.0,1,1,70
INPP,Properties & Real Estate,H111,Real Estate Development & Management,Indonesian Paradise Property Tbk,S,09/30/2023,Dec,U,,9182,3249,5933,831,134,155,93,11,531,91,1.84,0.55,1,2,14
IPAC,Properties & Real Estate,H111,Real Estate Development & Management,Era Graharealty Tbk,S,12/31/2023,Dec,A,WTM,45,10,35,29,4,3,3,3,37,30,2.54,0.28,7,9,10
JRPT,Properties & Real Estate,H111,Real Estate Development & Management,Jaya Real Property Tbk,S,12/31/2023,Dec,A,WTM,13207,3936,9271,2504,1041,1024,1005,73,674,9,0.96,0.42,8,11,40
KBAG,Properties & Real Estate,H111,Real Estate Development & Management,Karya Bersama Anugerah Tbk,S,12/31/2023,Dec,A,WTM,425,44,381,47,-9,-9,-9,-1,53,-26,0.64,0.12,-2,-2,-20
KIJA,Properties & Real Estate,H111,Real Estate Development & Management,Kawasan Industri Jababeka Tbk,S,09/30/2023,Dec,U,,12931,6261,6670,2252,255,232,65,7,320,19,0.39,0.94,1,2,6
LAND,Properties & Real Estate,H111,Real Estate Development & Management,Trimitra Propertindo Tbk,S,12/31/2023,Dec,A,WTM,739,283,456,35,-11,-12,-12,-4,163,-3,0.08,0.62,-2,-3,-34
LCGP,Properties & Real Estate,H111,Real Estate Development & Management,Eureka Prima Jakarta Tbk,S,09/30/2021,Dec,U,,1633,40,1592,2,-1,-1,-1,0,283,0,0.4,0.03,0,0,20
LPCK,Properties & Real Estate,H111,Real Estate Development & Management,Lippo Cikarang Tbk,S,12/31/2023,Dec,A,WTM,9682,2890,6791,1075,169,109,162,60,2534,10,0.24,0.43,2,2,15
LPKR,Properties & Real Estate,H111,Real Estate Development & Management,Lippo Karawaci Tbk,S,12/31/2023,Dec,A,WTM,49571,29964,19606,16990,1408,654,50,1,277,96,0.25,1.53,0,0,0
LPLI,Properties & Real Estate,H111,Real Estate Development & Management,Star Pacific Tbk,S,09/30/2023,Dec,U,,1602,22,1580,16,287,271,271,243,1350,1,0.17,0.01,18,18,1765
MDLN,Properties & Real Estate,H111,Real Estate Development & Management,Modernland Realty Tbk,S,09/30/2023,Dec,U,,13564,9408,4156,783,-39,-63,-63,-22,332,-2,0.15,2.26,-2,-7,-35
MKPI,Properties & Real Estate,H111,Real Estate Development & Management,Metropolitan Kentjana Tbk,S,12/31/2023,Dec,A,WTM,8389,1537,6851,2327,1043,844,844,891,7226,31,3.77,0.22,10,12,36
MMLP,Properties & Real Estate,H111,Real Estate Development & Management,Mega Manunggal Property Tbk,S,09/30/2023,Dec,U,,6679,2151,4528,261,90,89,65,12,657,25,0.47,0.47,1,2,32
MPRO,Properties & Real Estate,H111,Real Estate Development & Management,Maha Properti Indonesia Tbk,S,09/30/2023,Dec,U,,1708,411,1297,4,-28,-28,-28,-3,130,-503,13.41,0.32,-2,-3,-859
MTLA,Properties & Real Estate,H111,Real Estate Development & Management,Metropolitan Land Tbk,S,12/31/2023,Dec,A,WTM,7221,2072,5149,1705,566,493,418,55,673,7,0.58,0.4,6,8,24
MTSM,Properties & Real Estate,H111,Real Estate Development & Management,Metro Realty Tbk,S,09/30/2023,Dec,U,,57,25,33,19,-3,-4,-4,-20,140,-3,0.47,0.77,-8,-14,-25
MYRX,Properties & Real Estate,H111,Real Estate Development & Management,Hanson International Tbk,S,09/30/2019,Dec,U,,12904,4402,8502,923,117,98,77,0,98,0,0.51,0.52,0,0,-1
MYRXP,Properties & Real Estate,H111,Real Estate Development & Management,Hanson International (Seri B) Tbk,S,09/30/2019,Dec,U,,12904,4402,8502,923,117,98,77,-7,7585,0,0.01,0.52,0,0,-1
NIRO,Properties & Real Estate,H111,Real Estate Development & Management,City Retail Developments Tbk,S,09/30/2023,Dec,U,,13667,7718,5949,845,-84,-164,-25,-3,268,-43,0.52,1.3,-1,-1,-8
NZIA,Properties & Real Estate,H111,Real Estate Development & Management,Nusantara Almazia Tbk,S,12/31/2023,Dec,A,WDP,608,104,504,45,-8,-9,-9,-4,229,-19,0.34,0.21,-2,-2,-20
OMRE,Properties & Real Estate,H111,Real Estate Development & Management,Indonesia Prima Property Tbk,S,09/30/2023,Dec,U,,4028,365,3663,52,-98,-98,-98,-49,1244,-11,0.42,0.1,-4,-4,-278
PAMG,Properties & Real Estate,H111,Real Estate Development & Management,Bima Sakti Pertiwi Tbk,S,12/31/2023,Dec,A,WDP,583,159,423,51,0,0,0,0,135,490,0.49,0.38,0,0,1
PLIN,Properties & Real Estate,H111,Real Estate Development & Management,Plaza Indonesia Realty Tbk,S,12/31/2023,Dec,A,WTM,12243,1353,10889,1299,647,613,613,173,3067,16,0.89,0.12,5,6,47
POLI,Properties & Real Estate,H111,Real Estate Development & Management,Pollux Hotels Group Tbk,S,09/30/2023,Dec,U,,2800,808,1992,263,100,86,89,18,991,42,0.74,0.41,1,2,13
POLL,Properties & Real Estate,H111,Real Estate Development & Management,Pollux Properties Indonesia Tbk,S,09/30/2023,Dec,U,,4819,3114,1705,172,5,5,10,7,205,19,0.68,1.83,1,4,35
POSA,Properties & Real Estate,H111,Real Estate Development & Management,Bliss Properti Indonesia Tbk,S,09/30/2023,Dec,U,,835,1044,-209,42,-72,-72,-71,-16,-25,-3,-2.0,-4.99,-16,0,-308
PPRO,Properties & Real Estate,H111,Real Estate Development & Management,PP Properti Tbk,S,09/30/2023,Dec,U,,20441,15970,4472,371,-105,-119,-117,-2,73,-20,0.47,3.57,-1,-2,-28
PUDP,Properties & Real Estate,H111,Real Estate Development & Management,Pudjiadi Prestige Tbk,S,09/30/2023,Dec,U,,530,20,510,26,-4,-5,-5,858,1548,1,0.34,0.04,53,55,1092
PURI,Properties & Real Estate,H111,Real Estate Development & Management,Puri Global Sukses Tbk,S,12/31/2023,Dec,A,WTM,345,217,128,66,1,1,2,2,128,61,1.14,1.69,1,2,4
PWON,Properties & Real Estate,H111,Real Estate Development & Management,Pakuwon Jati Tbk,S,12/31/2023,Dec,A,WTM,32711,9915,22795,6200,2402,2382,2105,44,473,10,0.9,0.43,6,9,34
RBMS,Properties & Real Estate,H111,Real Estate Development & Management,Ristia Bintang Mahkotasejati Tbk,S,12/31/2023,Dec,A,WTM,712,214,498,180,-19,-21,-20,-8,188,-4,0.18,0.43,-3,-4,-11
RDTX,Properties & Real Estate,H111,Real Estate Development & Management,Roda Vivatex Tbk,S,12/31/2023,Dec,A,WTM,3440,555,2885,533,304,303,303,1127,10734,13,1.34,0.19,9,10,57
REAL,Properties & Real Estate,H111,Real Estate Development & Management,Repower Asia Indonesia Tbk,S,09/30/2023,Dec,U,,353,1,352,7,0,0,0,0,53,906,0.09,0.0,0,0,1
RIMO,Properties & Real Estate,H111,Real Estate Development & Management,Rimo International Lestari Tbk,S,09/30/2019,Dec,U,,6741,570,6172,508,82,81,77,2,137,0,0.37,0.09,1,1,14
ROCK,Properties & Real Estate,H111,Real Estate Development & Management,Rockfields Properti Indonesia Tbk,S,09/30/2023,Dec,U,,993,216,777,78,17,9,9,11,542,33,0.65,0.28,2,2,20
RODA,Properties & Real Estate,H111,Real Estate Development & Management,Pikko Land Development Tbk,S,12/31/2023,Dec,A,WTM,3401,1223,2178,102,-27,-35,-35,-3,160,-13,0.21,0.56,-1,-2,-35
SATU,Properties & Real Estate,H111,Real Estate Development & Management,Kota Satu Properti Tbk,S,09/30/2023,Dec,U,,237,177,59,18,-2,-2,-2,-5,43,-28,3.22,2.99,-3,-11,-37
SMDM,Properties & Real Estate,H111,Real Estate Development & Management,Suryamas Dutamakmur Tbk,S,09/30/2023,Dec,U,,3463,442,3021,343,68,62,68,23,633,8,0.29,0.15,3,4,32
SMRA,Properties & Real Estate,H111,Real Estate Development & Management,Summarecon Agung Tbk,S,12/31/2023,Dec,A,WTM,31168,18865,12303,6659,1345,1058,766,46,745,11,0.71,1.53,2,6,12
SWID,Properties & Real Estate,H111,Real Estate Development & Management,PT Saraswanti Indoland Development Tbk,S,09/30/2023,Dec,U,,333,108,225,95,20,20,20,6,42,13,1.77,0.48,9,14,33
TARA,Properties & Real Estate,H111,Real Estate Development & Management,Agung Semesta Sejahtera Tbk,S,12/31/2023,Dec,A,WTM,1078,21,1057,4,-3,-3,-3,0,105,-26,0.07,0.02,0,0,-76
TRIN,Properties & Real Estate,H111,Real Estate Development & Management,Perintis Triniti Properti Tbk,S,09/30/2023,Dec,U,,2224,1522,702,68,-68,-68,-46,-8,154,-17,0.84,2.17,-2,-5,-51
TRUE,Properties & Real Estate,H111,Real Estate Development & Management,Triniti Dinamik Tbk,S,09/30/2023,Dec,U,,785,460,325,62,-13,-14,-14,-4,43,-9,0.79,1.41,-4,-9,-45
URBN,Properties & Real Estate,H111,Real Estate Development & Management,Urban Jakarta Propertindo Tbk,S,09/30/2023,Dec,U,,4210,2244,1966,25,-60,-60,-59,-20,608,-7,0.21,1.14,-1,-3,-248
ATIC,Technology,I121,IT Services & Consulting,Anabatic Technologies Tbk,S,09/30/2023,Dec,LR,,4842,4636,205,6536,245,122,67,17,89,22,4.26,22.58,1,20,1
BUKA,Technology,I111,Online Applications & Services,Bukalapakcom Tbk,S,12/31/2023,Dec,A,WTM,26125,792,25333,4438,-1343,-1378,-1365,-13,246,-11,0.62,0.03,-5,-5,-31
CASH,Technology,I111,Online Applications & Services,Cashlez Worldwide Indonesia Tbk,S,06/30/2023,Dec,U,,279,100,179,102,-8,-6,-6,-5,125,-18,0.67,0.56,-2,-4,-7
DCII,Technology,I121,IT Services & Consulting,DCI Indonesia Tbk,S,12/31/2023,Dec,A,WTM,3676,1470,2207,1306,591,514,514,216,926,165,38.37,0.67,14,23,39
DIVA,Technology,I111,Online Applications & Services,Distribusi Voucher Nusantara Tbk,S,09/30/2023,Dec,U,,1566,177,1389,2840,-757,-761,-763,-560,972,0,0.11,0.13,-51,-58,-28
DMMX,Technology,I121,IT Services & Consulting,Digital Mediatama Maxima Tbk,S,09/30/2023,Dec,U,,1075,211,864,1536,-73,-78,-77,-11,112,-11,1.1,0.24,-8,-10,-5
EDGE,Technology,I121,IT Services & Consulting,Indointernet Tbk,S,12/31/2023,Dec,A,WTM,2723,1252,1471,950,324,253,253,125,728,33,5.75,0.85,9,17,27
EMTK,Technology,I111,Online Applications & Services,Elang Mahkota Teknologi Tbk,S,09/30/2023,Dec,U,,43114,4056,39058,6766,-143,-251,-162,-4,637,-102,0.68,0.1,-1,-1,-4
ENVY,Technology,I121,IT Services & Consulting,Envy Technologies Indonesia Tbk,S,09/30/2023,Dec,A,WTM,26,48,-21,0,-10,-10,-10,-15,-12,-3,-4.2,-2.23,-106,0,-6179
GOTO,Technology,I131,Software,GoTo Gojek Tokopedia Tbk.,S,12/31/2023,Dec,A,WTM,54097,18377,35720,14785,-90634,-90519,-90396,-75,30,-1,2.32,0.51,-167,-253,-611
HDIT,Technology,I111,Online Applications & Services,Hensel Davest Indonesia Tbk,S,12/31/2023,Dec,A,WTM,348,59,289,2155,-42,-42,-42,-28,189,-1,0.18,0.21,-12,-15,-2
KIOS,Technology,I111,Online Applications & Services,Kioson Komersial Indonesia Tbk,S,09/30/2023,Dec,U,,184,13,171,232,3,2,2,0,159,-204,0.31,0.08,0,0,0
KREN,Technology,I111,Online Applications & Services,Kresna Graha Investama Tbk,S,09/30/2023,Dec,U,,2854,757,2097,9231,-27,-34,-49,-6,115,-6,0.3,0.36,-4,-5,-1
LMAS,Technology,I121,IT Services & Consulting,Limas Indonesia Makmur Tbk,S,09/30/2021,Dec,U,,339,215,123,31,-1,-1,-1,3,157,0,0.32,1.75,1,2,6
MCAS,Technology,I111,Online Applications & Services,M Cash Integrasi Tbk,S,09/30/2023,Dec,U,,1933,747,1185,9259,24,16,5,10,1366,157,1.14,0.63,0,1,0
MLPT,Technology,I121,IT Services & Consulting,Multipolar Technology Tbk,S,09/30/2023,Dec,U,,2964,2332,632,2356,198,149,149,187,337,9,4.71,3.69,12,55,15
NFCX,Technology,I111,Online Applications & Services,NFC Indonesia Tbk,S,09/30/2023,Dec,U,,1903,667,1236,7554,-132,-139,-86,-149,1854,-10,0.83,0.54,-5,-8,-1
PGJO,Technology,I111,Online Applications & Services,Tourindo Guide Indonesia Tbk,S,12/31/2023,Dec,A,WTM,8,1,7,10,-7,-7,-7,-9,9,-10,9.14,0.15,-81,-93,-67
RUNS,Technology,I131,Software,Global Sukses Solusi Tbk,S,06/30/2023,Dec,U,,80,12,67,8,-6,-5,-5,-3,69,-17,0.89,0.18,-4,-5,-44
SKYB,Technology,I131,Software,PT Northcliff Citranusa Indonesia Tbk.,S,09/30/2019,Dec,U,,38,8,30,4,-1,0,0,-1,52,0,0.99,0.26,-2,-3,-23
TECH,Technology,I121,IT Services & Consulting,Indosterling Technomedia Tbk,S,03/31/2023,Dec,U,,74,10,64,0,-1,-1,-1,1,51,49,0.97,0.15,2,2,347
TFAS,Technology,I111,Online Applications & Services,Telefast Indonesia Tbk,S,09/30/2023,Dec,U,,261,67,193,506,1,1,1,1,116,474,2.78,0.35,0,1,0
UVCR,Technology,I111,Online Applications & Services,Trimegah Karya Pratama Tbk,S,12/31/2023,Dec,A,WTM,124,29,95,799,9,7,7,3,48,33,2.43,0.31,6,7,1
WGSH,Technology,I131,Software,Wira Global Solusi Tbk,S,12/31/2023,Dec,A,WTM,58,2,56,33,5,4,4,4,54,14,1.11,0.03,8,8,13
WIRG,Technology,I131,Software,PT WIR ASIA Tbk,S,12/31/2023,Dec,A,WTM,1127,411,715,2492,96,69,69,6,60,18,1.72,0.58,6,10,3
AXIO,Technology,I221,Computer Hardware,PT Tera Data Indonusa Tbk,S,09/30/2023,Dec,U,,992,442,550,839,113,89,88,21,94,10,2.17,0.8,13,23,15
GLVA,Technology,I231,Electronic Equipment & Instruments,Galva Technologies Tbk,S,09/30/2023,Dec,U,,977,618,359,1399,59,45,42,47,240,8,1.59,1.72,7,19,5
LUCK,Technology,I221,Computer Hardware,Sentral Mitra Informatika Tbk,S,09/30/2023,Dec,U,,175,39,137,81,1,0,0,2,191,42,0.34,0.28,1,1,1
MTDL,Technology,I221,Computer Hardware,Metrodata Electronics Tbk,S,12/31/2023,Dec,A,WTM,10147,5108,5038,22086,1218,940,651,53,410,11,1.45,1.01,6,13,3
PTSN,Technology,I211,Networking Equipment,Sat Nusapersada Tbk,S,12/31/2023,Dec,A,WTM,2349,668,1681,1954,221,172,172,32,316,7,0.67,0.4,7,10,9
ZYRX,Technology,I221,Computer Hardware,Zyrexindo Mandiri Buana Tbk,S,09/30/2023,Dec,U,,515,226,290,231,14,30,30,65,217,3,0.74,0.78,17,30,37
CASS,Infrastructures,J111,Airport Operators,Cardig Aero Services Tbk,S,12/31/2023,Dec,A,WTM,1919,887,1032,2199,566,427,209,100,495,11,2.14,0.86,11,20,10
CMNP,Infrastructures,J112,Highways & Railtracks,Citra Marga Nusaphala Persada Tbk,S,09/30/2023,Dec,U,,21935,9011,12925,3177,1171,971,925,204,2377,8,0.66,0.7,5,9,35
GMFI,Infrastructures,J111,Airport Operators,Garuda Maintenance Facility Aero Asia Tbk,S,09/30/2023,Dec,U,,7125,12179,-5054,3870,104,55,55,14,-179,4,-0.33,-2.41,5,0,10
IPCC,Infrastructures,J113,Marine Ports & Services,PT Indonesia Kendaraan Terminal Tbk.,S,12/31/2023,Dec,A,WTM,1788,565,1223,735,237,191,191,105,673,7,1.03,0.46,11,16,26
IPCM,Infrastructures,J113,Marine Ports & Services,PT Jasa Armada Indonesia Tbk.,S,12/31/2023,Dec,A,WTM,1522,282,1241,1139,196,158,158,30,235,9,1.17,0.23,10,13,14
JSMR,Infrastructures,J112,Highways & Railtracks,Jasa Marga (Persero) Tbk,S,12/31/2023,Dec,A,WTM,129312,90401,38911,21319,7926,6749,6794,936,5361,6,1.04,2.32,5,17,32
KARW,Infrastructures,J113,Marine Ports & Services,ICTSI JASA PRIMA Tbk,S,09/30/2023,Dec,U,,215,715,-500,84,25,19,19,34,-852,10,-0.39,-1.43,9,0,24
META,Infrastructures,J112,Highways & Railtracks,Nusantara Infrastructure Tbk,S,09/30/2023,Dec,U,,11104,7802,3302,1426,-139,-191,-157,-8,186,-28,1.28,2.36,-1,-5,-11
PORT,Infrastructures,J113,Marine Ports & Services,PT Nusantara Pelabuhan Handal Tbk.,S,09/30/2023,Dec,U,,1733,786,947,894,59,22,28,24,336,31,2.21,0.83,4,7,8
ACST,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Acset Indonusa Tbk.,S,12/31/2023,Dec,A,WTM,2609,2213,396,2350,-277,-277,-270,-21,31,-6,4.32,5.59,-10,-68,-11
ADHI,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Adhi Karya (Persero) Tbk.,S,09/30/2023,Dec,U,,39419,30436,8983,11449,345,79,24,10,1068,29,0.27,3.39,0,1,1
BUKK,Infrastructures,J211,Heavy Constructions & Civil Engineering,Bukaka Teknik Utama Tbk,S,12/31/2023,Dec,A,WTM,8380,3846,4534,5747,838,711,691,262,1717,4,0.59,0.85,8,15,12
DGIK,Infrastructures,J211,Heavy Constructions & Civil Engineering,Nusa Konstruksi Enjiniring  Tbk,S,12/31/2023,Dec,A,WTM,916,284,632,463,26,25,25,5,114,21,0.82,0.45,3,4,5
FIMP,Infrastructures,J211,Heavy Constructions & Civil Engineering,Fimperkasa Utama Tbk,S,06/30/2023,Dec,U,,34,4,29,5,-1,-1,-1,5,73,10,0.66,0.15,6,7,39
IDPR,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Indonesia Pondasi Raya Tbk.,S,12/31/2023,Dec,A,WTM,1679,1018,661,1290,36,33,38,19,330,8,0.49,1.54,2,6,3
JKON,Infrastructures,J211,Heavy Constructions & Civil Engineering,Jaya Konstruksi Manggala Pratama Tbk,S,12/31/2023,Dec,A,WTM,4396,1342,3055,4549,295,242,237,15,187,7,0.51,0.44,5,8,5
KRYA,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Bangun Karya Perkasa Jaya Tbk,S,12/31/2023,Dec,A,WTM,191,87,104,142,2,2,2,1,63,43,0.8,0.83,1,2,1
MTPS,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Meta Epsi Tbk.,S,09/30/2023,Dec,U,,120,63,57,0,-8,-8,-8,-15,27,0,0.18,1.12,-25,-54,0
MTRA,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Mitra Pemuda Tbk.,S,09/30/2022,Dec,U,,135,207,-72,5,-1,-1,-1,-99,-94,0,-2.6,-2.86,-57,0,-1463
NRCA,Infrastructures,J211,Heavy Constructions & Civil Engineering,PT Nusa Raya Cipta Tbk.,S,09/30/2023,Dec,U,,2278,1093,1184,2001,133,82,82,36,474,9,0.72,0.92,4,8,5
