,Kode
472,CLEO
473,TAMU
474,CSIS
475,TGRA
476,FIRE
477,TOPS
478,KMTR
479,ARMY
480,MAPB
481,WOOD
482,HRTA
483,MABA
484,HOKI
485,MPOW
486,MARK
487,NASA
488,MDKI
489,BELL
490,KIOS
491,GMFI
492,MTWI
493,ZINC
494,MCAS
495,PPRE
496,WEGE
497,PSSI
498,MORA
499,DWGL
500,PBID
501,JMAS
502,CAMP
503,IPCM
504,PCAR
505,LCKM
506,BOSS
507,HELI
508,JSKY
509,INPS
510,GHON
511,TDPM
512,DFAM
513,NICK
514,BTPS
515,SPTO
516,PRIM
517,HEAL
518,TRUK
519,PZZA
520,TUGU
521,MSIN
522,SWAT
523,KPAL
524,TNCA
525,MAPA
526,TCPI
527,IPCC
528,RISE
529,BPTR
530,POLL
531,NFCX
532,MGRO
533,NUSA
534,FILM
535,ANDI
536,LAND
537,MOLI
538,PANI
539,DIGI
540,CITY
541,SAPX
542,KPAS
543,SURE
544,HKMU
545,MPRO
546,DUCK
547,GOOD
548,SKRN
549,YELO
550,CAKK
551,SATU
552,SOSS
553,DEAL
554,POLA
555,DIVA
556,LUCK
557,URBN
558,SOTS
559,ZONE
560,PEHA
561,FOOD
562,BEEF
563,POLI
564,CLAY
565,NATO
566,JAYA
567,COCO
568,MTPS
569,CPRI
570,HRME
571,KJEN
572,KAYU
573,ITIC
574,PAMG
575,IPTV
576,BLUE
577,ENVY
578,HDIT
579,KEEN
580,BAPI
581,TFAS
582,GGRP
583,OPMS
584,NZIA
585,ESIP
586,TEBE
587,KEJU
588,PSGO
589,AGAR
590,IFSH
591,REAL
592,IFII
593,PMJS
594,UCID
595,GLVA
596,PGJO
597,AMAR
598,CSRA
599,INDO
600,AMOR
601,TRIN
602,DMND
603,PURA
604,PTPW
605,TAMA
606,IKAN
607,AYLS
608,DADA
609,ASPI
610,ESTA
611,BESS
612,AMAN
613,CARE
614,SAMF
615,SBAT
616,KBAG
617,CBMF
618,EPAC
619,UANG
620,PGUN
621,SCNP
622,BBSI
623,KMDS
624,PURI
625,SOHO
626,HOMI
627,ROCK
628,ENZO
629,PLAN
630,PTDU
631,ATAP
632,VICI
633,PMMP
634,WIFI
635,FAPA
636,DCII
637,KETR
638,DGNS
639,UFOE
640,BANK
641,WMUU
642,EDGE
643,UNIQ
644,BEBS
645,SNLK
646,ZYRX
647,LFLO
648,FIMP
649,TAPG
650,NPGF
651,LUCY
652,ADCP
653,HOPE
654,MGLV
655,NICL
656,UVCR
657,BUKA
658,HAIS
659,OILS
660,GPSO
661,KUAS
662,BOBA
663,MTEL
664,DEPO
665,BINO
666,CMRY
667,WGSH
668,TAYS
669,WMPP
670,RMKE
671,OBMD
672,AVIA
673,IPPE
674,NASI
675,BSML
676,DRMA
677,ADMR
678,SEMA
679,ASLC
680,NETV
681,BAUT
682,ENAK
683,NTBK
684,SMKM
685,STAA
686,NANO
687,BIKE
688,WIRG
689,SICO
690,GOTO
691,TLDN
692,MTMH
693,WINR
694,IBOS
695,OLIV
696,ASHA
697,SWID
698,TRGU
699,ARKO
700,CHEM
701,AMMS
702,RAFI
703,KKES
704,ELPI
705,EURO
706,KLIN
707,TOOL
708,BUAH
709,CRAB
710,MEDS
711,COAL
712,PRAY
713,CBUT
714,BELI
715,MKTR
716,OMED
717,BSBK
718,PDPP
719,KDTN
720,ZATA
721,NINE
722,MMIX
723,PADA
724,ISAP
725,VTNY
726,SOUL
727,ELIT
728,BEER
729,CBPE
730,SUNI
731,CBRE
732,WINE
733,BMBL
734,PEVE
735,LAJU
736,FWCT
737,NAYZ
738,IRSX
739,PACK
740,VAST
741,CHIP
742,HALO
743,KING
744,PGEO
745,FUTR
746,HILL
747,BDKR
748,PTMP
749,SAGE
750,TRON
751,CUAN
752,NSSS
753,GTRA
754,HAJJ
755,PIPA
756,NCKL
757,MENN
758,AWAN
759,MBMA
760,RAAM
761,DOOH
762,JATI
763,TYRE
764,MPXL
765,SMIL
766,KLAS
767,MAXI
768,VKTR
769,RELF
770,AMMN
771,CRSN
772,GRPM
773,WIDI
774,SLIS
775,PURE
776,IRRA
777,DMMX
778,SINI
779,WOWS
780,SOFA
781,PPGL
782,TOYS
783,SGER
784,TRJA
785,PNGO
786,POOL
787,PPRO
788,PRAS
789,PSAB
790,MCOL
791,RSGK
792,RUNS
