kode,skg,lo,hi,om,dev,roe,jb,p
ABBA,78.0,70.0,250.0,0.0,0.0,0.0,none,4.444444444444445
AGAR,170.0,170.0,360.0,-0.00488,0.0,-0.055370003,none,0.0
AKSI,181.0,162.0,452.0,0.10386,0.0,-0.0034599998,none,6.551724137931035
AMAN,122.0,105.0,1225.0,0.38693002,0.033299997,0.08713,none,1.517857142857143
ATAP,58.0,51.0,128.0,0.15618,0.0,0.02842,none,9.09090909090909
BAPA,69.0,57.0,182.0,-0.84062,0.0,-0.02705,none,9.6
BBKP,97.0,92.0,195.0,2.0875301,0.0,-0.33768,none,4.854368932038835
BCAP,56.0,53.0,157.0,0.18655,0.0,0.024149999,none,2.8846153846153846
BHIT,52.0,50.0,83.0,0.22611,0.0,0.05539,none,6.0606060606060606
BIKA,70.0,63.0,170.0,0.16341,0.0,0.0,none,6.5420560747663545
BIPI,108.0,101.0,194.0,0.19857,0.0,0.05329,buy,7.526881720430107
BNBR,51.0,50.0,98.0,0.075040005,0.0,0.27592,none,2.0833333333333335
BOLA,179.0,165.0,388.0,-0.110810004,0.78129995,0.012180001,none,6.278026905829597
BPTR,108.0,101.0,328.0,0.26990998,0.0,0.08389,none,3.0837004405286343
BULL,93.0,84.0,196.0,0.26038998,0.0,-0.0885,hold,8.035714285714285
CENT,72.0,62.0,195.0,0.33313,0.0,-11.983581,none,7.518796992481203
CNTX,122.0,122.0,342.0,-0.01116,0.0,0.0,none,0.0
COAL,52.0,50.0,635.0,0.10738,0.0,0.19794,none,0.3418803418803419
COCO,188.0,185.0,298.0,0.06588,0.0,-0.01591,none,2.6548672566371683
DEWI,68.0,68.0,394.0,0.080019996,0.0,0.071490005,none,0.0
DFAM,66.0,63.0,153.0,-0.05132,0.0,-0.33428,none,3.333333333333333
DSFI,72.0,69.0,104.0,0.045440003,0.0,0.066,none,8.571428571428571
DWGL,122.0,116.0,254.0,0.03007,0.0,0.08677,none,4.347826086956522
ELIT,108.0,89.0,330.0,0.04144,0.0,0.0,none,7.883817427385892
ETWA,108.0,94.0,372.0,-1.47435,0.0,0.0,none,5.035971223021583
FIMP,54.0,53.0,93.0,0.22504999,0.0,0.0684,none,2.5
FIRE,65.0,53.0,340.0,0.0,0.0,0.0,none,4.181184668989547
FPNI,196.0,177.0,466.0,-0.00033,0.0,0.025829999,none,6.5743944636678195
FWCT,52.0,50.0,206.0,-0.01254,0.0,0.0,none,1.282051282051282
GOTO,89.0,81.0,286.0,-1.39262,0.0,-0.25686002,buy,3.9024390243902443
GRPM,64.0,62.0,108.0,0.01069,0.0,0.0,none,4.3478260869565215
GTSI,51.0,50.0,71.0,0.25462,0.0,0.14651,none,4.761904761904762
HAJJ,152.0,129.0,575.0,0.04457,0.0,0.0,none,5.15695067264574
HALO,57.0,50.0,328.0,0.16681999,0.0,0.4147,none,2.5179856115107917
HDFA,108.0,106.0,254.0,0.39902002,0.0,0.05269,none,1.3513513513513513
