kode,skg,lo,hi,om,dev,roe,jb,p
HELI,95.0,85.0,320.0,-1.02277,0.0,-1.05215,none,4.25531914893617
IATA,59.0,56.0,198.0,0.21901,0.0,3.48698,buy,2.1126760563380285
IDEA,51.0,46.0,177.0,0.15017,0.0,0.01841,none,3.8167938931297707
IKAN,54.0,53.0,80.0,0.052849997,0.0,0.03338,none,3.7037037037037033
INAI,194.0,183.0,318.0,-0.05441,0.0,-0.46216,none,8.148148148148147
INDX,132.0,119.0,446.0,-0.44432998,0.0,-0.22611,none,3.9755351681957185
INPS,193.0,105.0,1260.0,0.032560002,0.0,-1.3429401,none,7.619047619047619
INTD,155.0,149.0,278.0,0.02078,0.0,0.043909997,none,4.651162790697675
IPTV,52.0,50.0,98.0,0.059320003,0.0,-0.013890001,none,4.166666666666667
JARR,150.0,143.0,414.0,0.00455,0.0,-0.01654,none,2.5830258302583027
JAST,55.0,53.0,120.0,-0.03846,0.0,-0.1095,none,2.9850746268656714
JAWA,74.0,66.0,161.0,-0.14261,0.0,-2.5664802,none,8.421052631578947
JKON,106.0,94.0,242.0,0.047259998,0.2566,0.06887,none,8.108108108108109
JMAS,61.0,50.0,170.0,0.03782,0.0,0.01026,none,9.166666666666668
KDTN,118.0,109.0,220.0,0.15984,0.0,0.0,none,8.108108108108107
KICI,147.0,141.0,260.0,-0.05308,0.0,-0.032509997,none,5.042016806722689
KIOS,64.0,63.0,660.0,0.01052,0.0,0.00095,none,0.16750418760469013
KJEN,101.0,84.0,340.0,-0.14283,0.0,0.0053,none,6.640625
KKES,54.0,50.0,210.0,0.02953,0.0,0.0,none,2.5
KOIN,73.0,65.0,160.0,-0.03824,0.0,-5.90942,none,8.421052631578947
KRYA,70.0,60.0,625.0,-0.02298,0.0,-0.12117,none,1.7699115044247786
KUAS,53.0,50.0,90.0,0.11566,0.0,0.06398,none,7.5
LAJU,76.0,52.0,430.0,0.14977,0.0,0.13874,none,6.34920634920635
LPPS,63.0,60.0,103.0,0.88645,0.0,-0.17319,none,6.976744186046512
LUCK,89.0,84.0,208.0,0.01166,0.0,0.00848,none,4.032258064516129
MEDS,69.0,65.0,318.0,-0.088879995,0.0,-0.13699001,none,1.58102766798419
MKTR,123.0,111.0,330.0,0.16150999,0.2998,0.0,none,5.47945205479452
MMIX,195.0,190.0,710.0,0.236,0.0,0.0,none,0.9615384615384615
MTWI,82.0,77.0,216.0,0.03484,0.0,0.0249,none,3.5971223021582737
NETV,103.0,91.0,330.0,-0.36101002,0.0,0.0,none,5.02092050209205
NZIA,110.0,96.0,388.0,0.00151,0.0,-0.0064499998,none,4.794520547945206
OILS,152.0,144.0,242.0,0.0,0.0,0.0,none,8.16326530612245
OPMS,51.0,50.0,179.0,-0.75952005,0.0,-0.03704,none,0.7751937984496123
PACK,102.0,85.0,276.0,0.1069,0.0,0.0,none,8.900523560209425
PAMG,55.0,50.0,120.0,0.21160999,0.0,-0.00454,none,7.142857142857143
PICO,133.0,122.0,585.0,0.029000001,0.0,0.03563,none,2.375809935205184
POLL,181.0,151.0,460.0,0.09519,0.0,0.03575,none,9.708737864077671
PPGL,102.0,98.0,146.0,0.08533,0.0,0.1291,none,8.333333333333334
PRIM,62.0,61.0,228.0,-0.01765,0.0,-0.00285,none,0.5988023952095809
PSAB,86.0,81.0,158.0,0.06348,0.0,-0.08144,none,6.4935064935064934
RAFI,59.0,50.0,290.0,0.0623,0.0,0.0,none,3.75
RUNS,62.0,58.0,226.0,-0.04423,0.0,-0.022969998,none,2.380952380952381
SCNP,189.0,186.0,254.0,-0.0617,0.0,-0.08826999,none,4.411764705882352
SEMA,76.0,68.0,234.0,0.11307,0.0,0.084709994,none,4.819277108433735
SLIS,117.0,103.0,490.0,0.1163,0.0,0.15706,none,3.6175710594315245
SMDM,180.0,150.0,488.0,0.26157,0.0,0.03573,none,8.875739644970414
SMKM,71.0,71.0,1025.0,0.08182,0.0,0.04644,none,0.0
SQMI,53.0,50.0,95.0,-5.09071,0.0,-0.15802,none,6.666666666666666
TGUK,92.0,87.0,199.0,0.13164,0.0,0.0,none,4.4642857142857135
TMPO,95.0,90.0,191.0,0.0,0.0,0.0,none,4.9504950495049505
TRIN,167.0,151.0,364.0,0.1355,0.0,0.051820002,none,7.511737089201878
TRUK,82.0,77.0,140.0,-0.095419995,0.0,-0.07446,none,7.936507936507937
UFOE,177.0,170.0,735.0,0.012990001,0.0,0.06756,none,1.238938053097345
VRNA,90.0,85.0,168.0,0.14086,0.0,0.0648,none,6.024096385542169
WIRG,133.0,92.0,600.0,0.03629,0.0,0.090150006,strong_buy,8.070866141732283
