Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
DSSA,Energy,A121,Coal Production,Dian Swastatika Sentosa Tbk,S,06/30/2023,Dec,LR,WTM,99568.84,45165.07,54403.77,47819.54,13641.34,9802.84,4772.77,13717.51,70603.6,3.5,0.68,0.83,10.0,19.0,22.0
DWGL,Energy,A122,Coal Distribution,Dwi Guna Laksana Tbk,S,06/30/2023,Dec,U,0,1640.98,1451.05,189.93,1400.37,65.17,48.41,48.41,1.7,20.53,79.28,6.58,7.64,1.0,8.0,1.0
ELSA,Energy,A131,Oil & Gas Drilling Service,Elnusa Tbk,S,06/30/2023,Dec,U,0,9286.31,5108.03,4178.28,5860.51,319.4,250.1,250.1,55.06,572.48,7.08,0.68,1.22,4.0,10.0,7.0
ENRG,Energy,A111,Oil & Gas Production & Refinery,Energi Mega Persada Tbk,S,06/30/2023,Dec,U,0,18194.93,10083.53,8111.4,2872.08,651.39,393.54,398.61,42.5,326.79,5.74,0.75,1.24,6.0,13.0,37.0
FIRE,Energy,A122,Coal Distribution,Alfa Energi Investama Tbk,S,06/30/2023,Dec,U,0,353.42,152.76,200.66,89.69,-17.33,-13.6,-13.59,-62.81,136.01,-1.07,0.49,0.76,-26.0,-46.0,-103.0
GEMS,Energy,A121,Coal Production,Golden Energy Mines Tbk,S,06/30/2023,Dec,LR,WTM,20397.1,6965.12,13431.97,21651.7,6551.07,5096.91,5002.33,1803.95,2283.44,4.03,3.19,0.52,52.0,79.0,49.0
GTBO,Energy,A121,Coal Production,Garda Tujuh Buana Tbk,S,06/30/2023,Dec,U,0,1025.07,183.28,841.79,535.92,185.33,138.01,138.01,92.46,336.72,6.22,1.71,0.22,23.0,27.0,43.0
GTSI,Energy,A112,Oil & Gas Storage & Distribution,GTS Internasional Tbk,S,06/30/2023,Dec,U,0,1567.29,639.38,927.91,202.54,112.14,109.75,103.71,6.34,58.66,8.98,0.97,0.69,6.0,11.0,50.0
HITS,Energy,A112,Oil & Gas Storage & Distribution,Humpuss Intermoda Transportasi Tbk,S,06/30/2023,Dec,U,0,3446.59,2137.84,1308.75,830.38,163.26,150.66,162.96,26.85,184.3,19.55,2.85,1.63,6.0,15.0,23.0
HRUM,Energy,A121,Coal Production,Harum Energy Tbk,S,06/30/2023,Dec,U,0,20505.71,2761.88,17743.83,7383.73,3504.83,2797.45,2259.14,354.45,1312.6,4.4,1.19,0.16,23.0,27.0,65.0
INDY,Energy,A121,Coal Production,Indika Energy Tbk,S,06/30/2023,Dec,U,0,45941.06,25741.24,20199.82,25098.28,2674.09,1632.92,1347.11,1040.11,3876.98,2.12,0.57,1.27,12.0,27.0,22.0
INPS,Energy,A112,Oil & Gas Storage & Distribution,Indah Prakasa Sentosa Tbk,S,06/30/2023,Dec,U,0,299.28,281.46,17.83,136.38,-1.52,-1.52,-1.55,-108.37,27.43,-1.92,7.58,15.79,-24.0,-395.0,-52.0
ITMA,Energy,A132,"Oil, Gas & Coal Equipment & Services",SUMBER ENERGI ANDALAN Tbk,S,06/30/2023,Dec,U,0,3337.54,186.41,3151.12,1.75,8.72,8.69,9.41,59.03,3154.11,8.3,0.16,0.06,2.0,2.0,3375.0
ITMG,Energy,A121,Coal Production,Indo Tambangraya Megah Tbk,S,06/30/2023,Dec,A,WTM,33406.04,6463.82,26942.22,19487.84,5943.39,4600.62,4604.22,14565.33,23844.26,1.99,1.21,0.24,49.0,61.0,84.0
KKGI,Energy,A121,Coal Production,Resource Alam Indonesia Tbk,S,06/30/2023,Dec,U,0,3062.14,872.45,2189.68,2648.87,584.5,411.74,410.77,143.29,437.94,3.49,1.14,0.4,23.0,33.0,27.0
KOPI,Energy,A112,Oil & Gas Storage & Distribution,Mitra Energi Persada Tbk,S,06/30/2023,Dec,U,0,323.17,222.94,100.22,323.17,4.05,2.34,2.33,7.15,143.74,49.53,2.46,2.22,2.0,5.0,2.0
LEAD,Energy,A112,Oil & Gas Storage & Distribution,Logindo Samudramakmur Tbk,S,06/30/2023,Dec,U,0,1976.7,1584.51,392.19,232.89,-42.58,-45.08,-45.11,-22.99,96.85,-2.91,0.69,4.04,-5.0,-24.0,-40.0
MBAP,Energy,A121,Coal Production,Mitrabara Adiperdana Tbk,S,06/30/2023,Dec,LR,0,3443.56,555.63,2887.93,1962.96,470.29,330.39,330.46,1890.42,2353.13,2.75,2.21,0.19,43.0,51.0,75.0
MBSS,Energy,A122,Coal Distribution,Mitrabahtera Segara Sejati Tbk,S,06/30/2023,Dec,U,0,3232.61,281.31,2951.29,458.42,168.61,159.67,159.38,275.02,1686.43,4.55,0.74,0.1,15.0,16.0,105.0
MCOL,Energy,A121,Coal Production,Prima Andalan Mandiri Tbk,S,06/30/2023,Dec,U,0,10685.79,2435.41,8250.38,7261.98,2658.84,2106.76,2065.9,1336.66,2320.42,3.41,1.97,0.3,44.0,58.0,65.0
MEDC,Energy,A111,Oil & Gas Production & Refinery,Medco Energi Internasional Tbk,S,03/31/2023,Dec,U,0,102360.69,74629.96,27730.73,8358.55,2484.49,1335.27,1228.95,326.77,1103.22,3.46,1.02,2.69,8.0,30.0,98.0
MTFN,Energy,A112,Oil & Gas Storage & Distribution,Capitalinc Investment Tbk,S,09/30/2022,Dec,U,0,805.87,851.62,-45.75,310.76,-9.57,-12.77,-13.22,-0.06,-1.44,-798.92,-34.8,-18.61,0.0,0.0,-1.0
MYOH,Energy,A132,"Oil, Gas & Coal Equipment & Services",Samindo Resources Tbk,S,06/30/2023,Dec,A,WTM,2560.97,302.21,2258.76,903.55,144.56,124.38,124.26,117.18,1023.77,13.78,1.58,0.13,9.0,10.0,25.0
PGAS,Energy,A112,Oil & Gas Storage & Distribution,Perusahaan Gas Negara Tbk,S,06/30/2023,Dec,LR,WTM,104020.0,53663.42,50356.58,26749.52,4127.58,2987.32,2179.85,192.78,2077.29,7.13,0.66,1.07,4.0,7.0,14.0
PKPK,Energy,A132,"Oil, Gas & Coal Equipment & Services",Perdana Karya Perkasa Tbk,S,06/30/2023,Dec,U,0,76.71,68.4,8.3,28.93,-2.35,-2.35,-2.35,-7.69,6.92,-44.49,49.44,8.24,-12.0,-111.0,-32.0
PSSI,Energy,A122,Coal Distribution,Pelita Samudera Shipping Tbk,S,06/30/2023,Dec,U,0,3134.04,777.53,2356.51,799.19,515.03,451.02,450.38,153.09,435.02,3.76,1.32,0.33,26.0,35.0,104.0
PTBA,Energy,A121,Coal Production,Bukit Asam Tbk,S,06/30/2023,Dec,LR,0,46287.55,27821.24,18466.3,18858.58,3641.6,2885.24,2775.57,797.39,1602.89,3.51,1.75,1.51,20.0,50.0,49.0
PTIS,Energy,A122,Coal Distribution,Indo Straits Tbk,S,06/30/2023,Dec,U,0,614.25,294.04,320.21,89.34,32.46,20.61,20.46,45.88,582.03,8.2,0.65,0.92,4.0,8.0,28.0
PTRO,Energy,A132,"Oil, Gas & Coal Equipment & Services",Petrosea Tbk,S,06/30/2023,Dec,U,0,10952.96,7427.19,3525.76,4108.76,186.87,164.02,162.22,634.59,3495.68,5.07,0.92,2.11,6.0,18.0,16.0
RAJA,Energy,A112,Oil & Gas Storage & Distribution,Rukun Raharja Tbk,S,06/30/2023,Dec,U,0,4630.87,2568.64,2062.23,1108.38,206.49,149.59,138.03,55.29,487.86,15.55,1.76,1.25,5.0,11.0,21.0
RIGS,Energy,A122,Coal Distribution,Rig Tenders Indonesia Tbk,S,03/31/2023,Jun,U,0,789.87,128.73,661.14,252.8,44.41,44.41,44.41,92.21,1085.39,6.4,0.54,0.19,7.0,8.0,22.0
RMKE,Energy,A122,Coal Distribution,RMK Energy Tbk,S,06/30/2023,Dec,U,0,1867.13,461.27,1405.85,1282.61,256.93,199.19,200.57,102.34,321.34,6.5,2.07,0.33,24.0,32.0,35.0
RUIS,Energy,A132,"Oil, Gas & Coal Equipment & Services",Radiant Utama Interinsco Tbk,S,06/30/2023,Dec,U,0,1302.76,773.62,529.14,833.03,15.51,9.22,9.22,17.68,687.2,10.81,0.28,1.46,1.0,3.0,2.0
SGER,Energy,A122,Coal Distribution,Sumber Global Energy Tbk,S,06/30/2023,Dec,U,0,4342.01,2679.46,1662.55,6038.91,769.16,612.88,611.65,180.43,404.75,7.68,3.42,1.61,17.0,45.0,12.0
SHIP,Energy,A112,Oil & Gas Storage & Distribution,Sillo Maritime Perdana Tbk,S,06/30/2023,Dec,U,0,6473.51,3721.25,2752.26,1116.58,244.99,218.26,163.73,129.95,1011.94,10.12,1.3,1.35,5.0,13.0,32.0
SICO,Energy,A132,"Oil, Gas & Coal Equipment & Services",PT Sigma Energy Compressindo Tbk,S,06/30/2023,Dec,U,0,137.67,22.75,114.92,49.12,8.78,7.41,6.97,15.33,126.28,9.13,1.11,0.2,10.0,12.0,28.0
SMMT,Energy,A121,Coal Production,Golden Eagle Energy Tbk,S,06/30/2023,Dec,U,0,1316.99,289.76,1027.23,20.0,196.34,174.13,162.22,106.52,326.1,10.42,3.4,0.28,25.0,33.0,1678.0
SMRU,Energy,A132,"Oil, Gas & Coal Equipment & Services",SMR Utama Tbk,S,06/30/2023,Dec,U,0,902.72,742.24,160.48,169.89,-34.95,-34.67,-34.67,0.2,12.84,253.45,3.89,4.63,0.0,2.0,1.0
SOCI,Energy,A112,Oil & Gas Storage & Distribution,Soechi Lines Tbk,S,06/30/2023,Dec,U,0,9428.42,3703.51,5724.91,1301.22,135.85,120.19,120.1,20.3,811.01,10.84,0.27,0.65,2.0,3.0,11.0
SUGI,Energy,A111,Oil & Gas Production & Refinery,Sugih Energy Tbk,S,09/30/2018,Dec,U,0,7200.64,4903.19,2297.45,12.34,-22.65,-20.46,-20.46,-47.77,92.6,0.0,0.54,2.13,-16.0,-52.0,-9608.0
SURE,Energy,A111,Oil & Gas Production & Refinery,Super Energy Tbk,S,06/30/2023,Dec,U,0,888.92,503.0,385.92,143.9,-79.22,-67.12,-55.2,-61.98,257.69,-27.91,6.71,1.3,-10.0,-24.0,-65.0
TAMU,Energy,A132,"Oil, Gas & Coal Equipment & Services",PT Pelayaran Tamarin Samudra Tbk.,S,06/30/2023,Dec,U,0,951.57,494.21,457.36,97.63,-6.4,-6.59,-6.59,-1.74,12.2,-4.02,0.57,1.08,-7.0,-14.0,-67.0
TCPI,Energy,A122,Coal Distribution,Transcoal Pacific Tbk,S,06/30/2023,Dec,A,0,3086.49,1372.97,1713.52,810.02,78.34,65.49,62.61,21.92,342.7,375.27,24.0,0.8,4.0,6.0,14.0
TEBE,Energy,A122,Coal Distribution,Dana Brata Luhur Tbk,S,06/30/2023,Dec,U,0,1229.44,174.89,1054.55,309.69,152.45,118.12,117.26,264.28,820.66,3.12,1.01,0.17,28.0,32.0,110.0
TOBA,Energy,A121,Coal Production,TBS Energi Utama Tbk,S,06/30/2023,Dec,U,0,13588.1,7282.31,6305.79,60.29,340.06,265.63,129.03,63.56,777.85,6.2,0.51,1.15,4.0,8.0,855.0
TPMA,Energy,A122,Coal Distribution,Trans Power Marine Tbk,S,06/30/2023,Dec,U,0,1661.62,354.84,1306.78,486.37,141.93,136.1,136.1,102.83,496.25,5.06,1.05,0.27,16.0,21.0,56.0
TRAM,Energy,A121,Coal Production,Trada Alam Minera Tbk,S,12/31/2020,Dec,A,WDP,5404.12,4082.78,1321.35,3553.66,-1165.19,-1113.68,-818.99,-16.5,26.62,0.0,1.88,3.09,-15.0,-62.0,-23.0
UNIQ,Energy,A132,"Oil, Gas & Coal Equipment & Services",PT Ulima Nitra Tbk,S,06/30/2023,Dec,U,0,715.29,348.86,366.43,238.26,13.15,18.81,18.81,16.48,116.74,5.64,0.8,0.95,7.0,14.0,22.0
WINS,Energy,A132,"Oil, Gas & Coal Equipment & Services",Wintermar Offshore Marine Tbk,S,06/30/2023,Dec,U,WTM,2873.97,526.44,2347.53,18.17,18.61,18.61,15.89,11.08,538.5,38.62,0.79,0.22,2.0,2.0,266.0
WOWS,Energy,A132,"Oil, Gas & Coal Equipment & Services",PT Ginting Jaya Energi Tbk,S,06/30/2023,Dec,U,0,677.06,151.81,525.25,50.43,-7.57,-7.57,-7.57,-4.24,212.16,-11.78,0.24,0.29,-2.0,-2.0,-21.0
JSKY,Energy,A211,Alternative Energy Equipment,Sky Energy Indonesia Tbk,S,12/31/2021,Dec,A,WTP,387.39,226.76,160.64,148.29,-82.84,-72.77,-72.77,-35.8,79.03,0.0,0.66,1.41,-19.0,-45.0,-49.0
SEMA,Energy,A211,Alternative Energy Equipment,Semacom Integrated Tbk,S,06/30/2023,Dec,U,0,256.89,108.02,148.87,61.12,4.88,3.99,4.08,8.76,110.5,11.64,0.92,0.73,5.0,8.0,19.0
ETWA,Energy,A221,Alternative Fuels,Eterindo Wahanatama Tbk,S,06/30/2023,Dec,U,0,887.04,1299.67,-412.63,0.0,-14.56,-14.56,-14.59,-50.6,-88.38,-2.17,-1.24,-3.15,-27.0,0.0,0.0
MITI,Energy,A111,Oil & Gas Production & Refinery,Mitra Investindo Tbk,S,06/30/2023,Dec,U,0,480.09,61.32,418.78,166.99,38.68,31.61,25.02,10.26,118.27,43.46,3.77,0.15,8.0,9.0,22.0
ADMG,Basic Materials,B111,Basic Chemicals,Polychem Indonesia Tbk,S,06/30/2023,Dec,U,0,2505.54,454.38,2051.16,863.7,-139.7,-126.71,-126.66,-90.94,527.4,-1.66,0.29,0.22,-14.0,-17.0,-41.0
AGII,Basic Materials,B111,Basic Chemicals,Aneka Gas Industri Tbk,S,06/30/2023,Dec,U,0,7726.0,3949.27,3776.74,1337.81,91.07,68.9,66.58,37.6,1231.55,49.87,1.52,1.05,1.0,3.0,9.0
AKPI,Basic Materials,B113,Specialty Chemicals,Argha Karya Prima Industry Tbk,S,06/30/2023,Dec,U,0,3433.35,1748.71,1684.64,1349.72,-6.95,1.18,1.18,32.38,2751.57,29.18,0.34,1.04,1.0,1.0,1.0
ALDO,Basic Materials,B131,Containers & Packaging,Alkindo Naratama Tbk,S,06/30/2023,Dec,U,WTM,1673.83,907.14,766.69,766.17,6.97,5.07,5.19,23.68,582.21,28.5,1.16,1.18,2.0,4.0,4.0
ALKA,Basic Materials,B141,Aluminum,Alakasa Industrindo Tbk,S,06/30/2023,Dec,U,0,659.8,473.03,186.77,1241.15,4.24,4.24,4.24,100.6,367.89,6.51,1.78,2.53,8.0,27.0,4.0
ALMI,Basic Materials,B141,Aluminum,Alumindo Light Metal Industry Tbk,S,06/30/2023,Dec,U,0,1173.25,719.78,453.47,463.82,-63.99,-49.91,-49.91,-35.75,118.83,-5.99,1.8,1.59,-12.0,-30.0,-29.0
ANTM,Basic Materials,B146,Diversified Metals & Minerals,Aneka Tambang Tbk,S,06/30/2023,Dec,LR,WTM,36368.67,12692.58,23676.09,21661.11,2462.36,1889.76,1889.76,167.23,985.24,11.9,2.02,0.54,12.0,18.0,19.0
APLI,Basic Materials,B113,Specialty Chemicals,Asiaplast Industries Tbk,S,06/30/2023,Dec,U,0,456.57,149.6,306.97,232.02,36.55,26.47,26.48,43.32,225.27,12.47,2.4,0.49,13.0,19.0,25.0
ARCI,Basic Materials,B143,Gold,Archi Indonesia Tbk,S,06/30/2023,Dec,U,0,11313.72,7470.87,3842.85,1730.44,223.0,115.09,109.59,5.07,154.74,69.85,2.29,1.94,1.0,3.0,7.0
AVIA,Basic Materials,B113,Specialty Chemicals,Avia Avian Tbk,S,06/30/2023,Dec,U,0,11170.96,1343.2,9827.76,3507.95,1042.29,807.6,806.62,23.08,158.63,25.99,3.78,0.14,13.0,15.0,41.0
AYLS,Basic Materials,B121,Construction Materials,Agro Yasa Lestari Tbk,S,06/30/2023,Dec,U,0,46.42,1.59,44.83,2.05,-1.67,-1.44,-1.44,-4.09,52.53,-15.42,1.2,0.04,-8.0,-8.0,-170.0
BAJA,Basic Materials,B144,Iron & Steel,Saranacentral Bajatama Tbk,S,06/30/2023,Dec,U,0,661.9,543.72,118.18,503.76,7.51,5.73,5.73,-39.62,65.66,-4.04,2.44,4.6,-11.0,-60.0,-14.0
BEBS,Basic Materials,B121,Construction Materials,Berkah Beton Sadaya Tbk,S,06/30/2023,Dec,U,0,924.39,68.79,855.6,351.81,107.53,83.8,83.8,2.77,19.01,18.07,2.63,0.08,13.0,15.0,35.0
BMSR,Basic Materials,B111,Basic Chemicals,Bintang Mitra Semestaraya Tbk,S,06/30/2023,Dec,U,0,1576.22,865.39,710.84,2.75,38.06,29.59,29.95,184.08,613.21,1.58,0.47,1.22,14.0,30.0,7759.0
BRMS,Basic Materials,B146,Diversified Metals & Minerals,Bumi Resources Minerals Tbk,S,06/30/2023,Dec,U,0,16433.01,2021.77,14411.24,237.6,78.5,84.54,83.42,1.69,101.64,125.5,2.09,0.14,1.0,2.0,101.0
BRNA,Basic Materials,B131,Containers & Packaging,Berlina Tbk,S,06/30/2023,Dec,A,WTM,1749.67,1075.17,674.5,500.84,-46.08,-28.52,-32.92,-123.32,688.89,-7.78,1.39,1.59,-7.0,-18.0,-24.0
BRPT,Basic Materials,B111,Basic Chemicals,Barito Pacific Tbk,S,06/30/2023,Dec,U,0,141218.01,83886.69,57331.32,20613.5,2328.99,1225.06,455.5,3.75,611.55,285.51,1.75,1.46,0.0,1.0,2.0
BTON,Basic Materials,B144,Iron & Steel,Betonjaya Manunggal Tbk,S,06/30/2023,Dec,U,0,346.55,110.69,235.86,69.03,-2.9,-2.62,-2.62,31.07,327.58,13.77,1.31,0.47,6.0,9.0,32.0
CHEM,Basic Materials,B111,Basic Chemicals,PT Chemstar Indonesia Tbk,S,06/30/2023,Dec,U,0,140.61,28.3,112.3,54.19,2.4,1.86,1.86,1.78,66.06,67.81,1.83,0.25,2.0,3.0,6.0
CITA,Basic Materials,B141,Aluminum,Cita Mineral Investindo Tbk,S,06/30/2023,Dec,LR,0,5487.42,1117.7,4369.72,1879.93,244.53,205.4,205.41,130.98,1103.36,18.32,2.18,0.26,9.0,12.0,28.0
CLPI,Basic Materials,B113,Specialty Chemicals,Colorpak Indonesia Tbk,S,06/30/2023,Dec,U,WTM,740.1,215.13,524.97,377.73,26.92,21.59,21.58,159.34,1713.68,6.15,0.57,0.41,7.0,9.0,13.0
CMNT,Basic Materials,B121,Construction Materials,Cemindo Gemilang Tbk,S,06/30/2023,Dec,U,0,17945.84,13837.88,4107.95,4320.74,316.45,211.63,223.24,4.89,239.87,214.56,4.38,3.37,0.0,2.0,2.0
CTBN,Basic Materials,B144,Iron & Steel,Citra Tubindo Tbk,S,06/30/2023,Dec,U,0,2259.93,947.9,1312.03,1307.11,81.05,63.72,63.71,-22.76,1639.27,-87.88,1.22,0.72,-1.0,-1.0,-1.0
DKFT,Basic Materials,B146,Diversified Metals & Minerals,Central Omega Resources Tbk,S,06/30/2023,Dec,U,0,2414.19,1996.62,417.56,266.89,45.22,30.65,41.21,7.17,74.06,15.9,1.54,4.78,2.0,10.0,15.0
DPNS,Basic Materials,B113,Specialty Chemicals,Duta Pertiwi Nusantara Tbk,S,06/30/2023,Dec,U,0,399.36,60.8,338.56,62.18,7.65,6.14,6.88,63.07,1022.44,6.44,0.4,0.18,5.0,6.0,34.0
EKAD,Basic Materials,B113,Specialty Chemicals,Ekadharma International Tbk,S,06/30/2023,Dec,U,0,1223.19,122.09,1101.11,258.45,43.66,35.32,34.49,18.74,315.15,13.76,0.82,0.11,5.0,6.0,25.0
EPAC,Basic Materials,B131,Containers & Packaging,Megalestari Epack Sentosaraya Tbk,S,06/30/2023,Dec,U,0,288.31,184.83,103.48,48.48,-12.91,-12.16,-10.27,-19.88,31.33,-0.55,0.35,1.79,-23.0,-63.0,-135.0
ESIP,Basic Materials,B131,Containers & Packaging,Sinergi Inti Plastindo Tbk,S,06/30/2023,Dec,U,0,97.43,1.9,95.52,28.52,0.28,0.24,0.24,-0.6,86.06,-85.56,0.59,0.02,-1.0,-1.0,-2.0
ESSA,Basic Materials,B111,Basic Chemicals,Surya Esa Perkasa Tbk,S,06/30/2023,Dec,U,0,11568.47,3505.93,8062.54,2522.7,107.69,69.69,59.65,71.33,468.02,8.48,1.29,0.43,11.0,15.0,49.0
FASW,Basic Materials,B131,Containers & Packaging,Fajar Surya Wisesa Tbk,S,06/30/2023,Dec,U,0,12737.96,7998.19,4739.77,4098.66,-270.9,-216.2,-216.2,-160.79,1912.82,-36.23,3.05,1.69,-3.0,-8.0,-10.0
FPNI,Basic Materials,B111,Basic Chemicals,Lotte Chemical Titan Tbk,S,06/30/2023,Dec,U,0,2500.11,870.15,1629.96,3016.56,18.69,17.62,17.6,7.79,292.82,25.4,0.68,0.53,2.0,3.0,1.0
GDST,Basic Materials,B144,Iron & Steel,Gunawan Dianjaya Steel Tbk,S,06/30/2023,Dec,U,0,2271.47,1074.47,1197.0,1196.13,181.03,138.29,138.29,30.03,129.51,4.99,1.16,0.9,12.0,23.0,23.0
GGRP,Basic Materials,B144,Iron & Steel,Gunung Raja Paksi Tbk,S,06/30/2023,Dec,U,0,17099.38,4752.4,12346.98,5544.69,326.02,255.84,255.84,20.23,1019.45,23.93,0.47,0.38,1.0,2.0,4.0
HKMU,Basic Materials,B141,Aluminum,HK Metals Utama Tbk,S,03/31/2023,Dec,U,0,397.71,467.59,-69.88,4.21,-123.08,-93.17,-91.49,-63.51,-21.69,-0.79,-2.31,-6.69,-51.0,0.0,-4864.0
IFII,Basic Materials,B151,Timber,Indonesia Fibreboard Industry Tbk,S,06/30/2023,Dec,U,0,1837.45,686.27,1151.17,409.43,35.49,27.52,27.52,8.54,122.31,20.13,1.41,0.6,4.0,7.0,20.0
IFSH,Basic Materials,B146,Diversified Metals & Minerals,Ifishdeco Tbk,S,06/30/2023,Dec,U,0,934.67,343.4,591.27,617.27,44.62,30.92,30.21,87.14,278.25,11.65,3.65,0.58,20.0,31.0,30.0
IGAR,Basic Materials,B131,Containers & Packaging,Champion Pacific Indonesia Tbk,S,06/30/2023,Dec,U,0,876.51,64.96,811.55,458.24,41.9,32.37,22.26,57.67,834.75,7.63,0.53,0.08,6.0,7.0,12.0
INAI,Basic Materials,B141,Aluminum,Indal Aluminium Industry Tbk,S,06/30/2023,Dec,U,0,1447.21,1195.65,251.56,630.46,-28.31,-34.66,-34.66,-235.5,397.03,-0.82,0.49,4.75,-10.0,-59.0,-24.0
