Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,06/30/2023,Dec,LR,WTM,20058.94,8678.91,11380.03,6954.1,3156.52,2460.65,2452.65,113.16,278.36,12.02,4.89,0.76,23.0,41.0,67.0
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,06/30/2023,Dec,LR,0,146033.42,40752.14,105281.28,52189.23,18604.35,14939.49,13107.52,1060.87,3291.48,2.69,0.87,0.39,23.0,32.0,65.0
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,06/30/2023,Dec,U,0,19.13,3.4,15.73,9.76,0.15,0.15,0.15,-9.8,71.48,-28.37,3.89,0.22,-11.0,-14.0,-22.0
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk,S,06/30/2023,Dec,U,0,25429.78,12145.44,13284.34,19854.71,1372.17,1091.96,1030.93,123.49,661.79,12.51,2.33,0.91,10.0,19.0,12.0
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,06/30/2023,Dec,U,0,3919.78,2903.05,1016.74,497.05,12.59,23.49,23.49,-359.68,359.27,-0.64,0.64,2.86,-26.0,-100.0,-205.0
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,06/30/2023,Dec,U,0,6974.32,5882.25,1092.08,2036.04,46.02,38.92,26.92,45.45,318.3,7.39,1.06,5.39,2.0,14.0,8.0
ARTI,Energy,A132,"Oil, Gas & Coal Equipment & Services",Ratu Prabu Energi Tbk,S,03/31/2023,Dec,U,0,634.93,780.96,-146.03,51.59,10.02,10.02,9.62,-5.33,-18.63,-9.38,-2.68,-5.35,-7.0,0.0,-81.0
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,06/30/2023,Dec,U,0,488.25,80.05,408.2,70.58,23.43,22.49,22.49,4.3,48.14,16.98,1.52,0.2,7.0,9.0,52.0
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,06/30/2023,Dec,U,0,710.6,180.74,529.87,179.61,37.91,36.78,36.78,18.54,154.01,9.71,1.17,0.34,9.0,12.0,36.0
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,06/30/2023,Dec,U,0,27826.21,17152.39,10673.82,4949.12,702.74,437.01,427.59,7.43,167.54,13.73,0.61,1.61,2.0,4.0,10.0
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,06/30/2023,Dec,U,0,627.67,741.15,-113.48,121.83,-74.09,-74.09,-74.09,-39.32,-81.06,-1.27,-0.62,-6.53,-9.0,0.0,-45.0
BSML,Energy,A122,Coal Distribution,Bintang Samudera Mandiri Lines Tbk,S,06/30/2023,Dec,U,0,258.59,143.85,114.74,165.18,11.12,9.14,9.14,9.45,62.01,23.07,3.52,1.25,7.0,15.0,11.0
BSSR,Energy,A121,Coal Production,Baramulti Suksessarana Tbk,S,06/30/2023,Dec,LR,0,7234.07,3235.53,3998.53,8904.89,2076.86,1595.51,1595.51,1308.26,1528.2,3.08,2.64,0.81,47.0,86.0,38.0
BULL,Energy,A112,Oil & Gas Storage & Distribution,Buana Lintas Lautan Tbk,S,06/30/2023,Dec,U,0,5438.18,3425.39,2012.79,1050.19,254.78,254.23,254.0,-14.05,142.57,-6.98,0.69,1.7,-4.0,-10.0,-19.0
BUMI,Energy,A121,Coal Production,Bumi Resources Tbk,S,06/30/2023,Dec,U,0,65482.45,22908.9,42573.54,13294.06,1615.03,1368.24,1227.45,18.64,114.65,7.35,1.19,0.54,11.0,16.0,52.0
BYAN,Energy,A121,Coal Production,Bayan Resources Tbk,S,06/30/2023,Dec,U,0,41164.09,11546.67,29617.42,30588.67,14623.3,11436.75,10857.81,911.33,888.52,20.6,21.13,0.39,74.0,103.0,99.0
CANI,Energy,A122,Coal Distribution,Capitol Nusantara Indonesia Tbk,S,03/31/2023,Jun,U,WTM,235.04,652.97,-417.94,43.61,-24.31,-24.38,-24.38,-23.72,-501.46,-3.96,-0.19,-1.56,-8.0,0.0,-45.0
CNKO,Energy,A122,Coal Distribution,Exploitasi Energi Indonesia Tbk,S,06/30/2023,Dec,U,0,1098.99,2357.75,-1258.76,818.36,35.96,26.21,26.36,0.47,-140.54,107.18,-0.36,-1.87,0.0,0.0,1.0
COAL,Energy,A121,Coal Production,PT Black Diamond Resources Tbk,S,06/30/2023,Dec,U,0,705.09,374.76,330.34,414.84,52.49,41.08,40.73,7.71,52.85,7.13,1.04,1.13,7.0,15.0,12.0
DEWA,Energy,A132,"Oil, Gas & Coal Equipment & Services",Darma Henwa Tbk,S,03/31/2023,Dec,A,WTM,8123.04,4893.92,3229.13,1761.39,8.42,7.93,7.9,-9.5,147.76,-8.94,0.58,1.52,-3.0,-6.0,-12.0
DOID,Energy,A132,"Oil, Gas & Coal Equipment & Services",Delta Dunia Makmur Tbk,S,06/30/2023,Dec,A,WTM,23680.25,19930.19,3750.06,12856.12,178.62,73.85,73.85,0.0,434.98,0.0,1.14,5.31,0.0,0.0,0.0
