date,text
2021-10-14T13:55:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)WINS|Kenaikan:17.69%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T13:56:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

DART|Kenaikan:14.15%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T13:57:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)EMTK|Kenaikan:10.07%
DART|Kenaikan:21.70%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T13:58:46,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

DART|Kenaikan:16.04%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T14:00:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)WINS|Kenaikan:24.49%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T14:02:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)WINS|Kenaikan:26.53%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T14:07:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)FISH|Kenaikan:11.19%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T14:12:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)FISH|Kenaikan:15.38%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T14:27:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

BBHI|Kenaikan:10.09%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T14:35:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

ABBA|Kenaikan:15.26%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T14:44:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)PURA|Kenaikan:10.00%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-14T20:07:05,"Spekulan ARA ini very very speculative. jadi ditujukan hanya untuk yang benar2 paham resiko dan berani mengambil keputusan stop loss bila gagal mencapai target.
singkatnya alert potensi ara ini  : hanya untuk yang berani menjalankan STOP LOSS ! bukan cuman mau cuan lebarnya aja.

Strategi ALERT ini : kalau sdh profit 3% dari posisi anda beli, maka segera keluarin sebagian.
SELL ALL Rules:
- BILA Harga kembali turun ke posisi beli, setelah sempat mengalami kenaikan signifikan.
- Bila Harganya langsung menembus ke bawah level stop loss trading anda.

Anda HARUS menentukan persentase penurunan dari posisi buy  sbg stop loss dan ikuti dengan disiplin keras."
2021-10-15T09:02:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

*)PANI|Kenaikan:23.18%
GSMF|Kenaikan:14.91%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-15T09:03:31,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

GSMF|Kenaikan:22.81%
*)PANI|Kenaikan:19.21%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
2021-10-15T09:05:32,"Berikut ini adalah saham-saham yang secara spekulatif berpotensi ARA karena mengalami kenaikan tinggi dengan cepat.

GSMF|Kenaikan:18.42%
*)BRAM|Kenaikan:19.42%
RDTX|Kenaikan:14.70%
PGJO|Kenaikan:10.00%
DART|Kenaikan:11.36%
*)BOSS|Kenaikan:10.23%

Tanda *) artinya saham tersebut adalah saham syariah/konstituent ISSI"
