Code;Stock Name;SD/BS;Currency;Cash Dividend;Cum Dividend;Ex Dividend;Record Date;Payment Date;Note
PTPW;PT Pratama Widya Tbk.;;IDR;19,36;07/07/2023;07/10/2023;07/11/2023;07/28/2023;F
PPGL;PT Prima Globalindo Logistik Tbk.;;IDR;2;06/27/2023;07/03/2023;07/04/2023;07/21/2023;F
SGER;Sumber Global Energy Tbk;;IDR;37,0773;06/13/2023;06/14/2023;06/15/2023;07/07/2023;F
SGER;Sumber Global Energy Tbk;;IDR;28;09/04/2023;09/05/2023;09/06/2023;09/22/2023;I
TRJA;PT Transkon Jaya Tbk.;;IDR;3;07/05/2023;07/06/2023;07/07/2023;07/26/2023;F
SOHO;Soho Global Health Tbk;;IDR;118;07/06/2023;07/07/2023;07/10/2023;07/27/2023;F
ATAP;Trimitra Prawara Goldland Tbk;;IDR;0,12;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
UNIQ;PT Ulima Nitra Tbk;;IDR;3,65;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
BMHS;Bundamedik Tbk;;IDR;1,5;06/27/2023;07/03/2023;07/04/2023;07/21/2023;F
RSGK;Kedoya Adyaraya Tbk;;IDR;81;06/21/2023;06/22/2023;06/23/2023;07/07/2023;F
RSGK;Kedoya Adyaraya Tbk;;IDR;15;08/18/2023;08/19/2023;08/22/2023;09/05/2023;I
BINO;Perma Plasindo Tbk;;IDR;0,79;07/10/2023;07/11/2023;07/12/2023;08/01/2023;F
DEPO;Caturkarda Depo Bangunan Tbk;;IDR;2,3;06/19/2023;06/20/2023;06/21/2023;07/12/2023;F
WGSH;Wira Global Solusi Tbk;;IDR;4;06/14/2023;06/15/2023;06/21/2023;07/07/2023;F
RMKE;RMK Energy Tbk;;IDR;7;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
ENAK;Champ Resto Indonesia Tbk;;IDR;12;06/21/2023;06/22/2023;06/23/2023;07/10/2023;F
SMKM;PT Sumber Mas Konstruksi Tbk;;IDR;1;06/23/2023;06/26/2023;06/27/2023;07/17/2023;F
BIKE;PT Sepeda Bersama Indonesia Tbk;;IDR;8,2;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
SWID;PT Saraswanti Indoland Development Tbk;;IDR;1,0895;06/12/2023;06/13/2023;06/14/2023;07/04/2023;F
AXIO;PT Tera Data Indonusa Tbk;;IDR;6;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
HATM;PT Habco Trans Maritima Tbk;;IDR;4,07;06/15/2023;06/16/2023;06/19/2023;07/07/2023;F
CRAB;PT Toba Surimi Industries Tbk;;IDR;1;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
BUAH;PT Segar Kumala Indonesia Tbk;;IDR;14;06/13/2023;06/14/2023;06/15/2023;07/07/2023;F
PDPP;PT Primadaya Plastisindo Tbk;;IDR;269;06/15/2023;06/16/2023;06/19/2023;07/07/2023;F
PADA;PT Personel Alih Daya Tbk;;IDR;0,5;06/15/2023;06/16/2023;06/19/2023;07/04/2023;F
BEER;PT Jobubu Jarum Minahasa Tbk;;IDR;1,23;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
WINE;PT Hatten Bali Tbk;;IDR;1,95;06/27/2023;07/03/2023;07/04/2023;07/21/2023;F
SUNI;PT Sunindo Pratama Tbk;;IDR;3;07/10/2023;07/11/2023;07/12/2023;07/28/2023;F
LAJU;PT Jasa Berdikari Logistics Tbk;;IDR;0,85;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
SOUL;PT Mitra Tirta Buwana Tbk;;IDR;0,1;07/07/2023;07/10/2023;07/11/2023;08/02/2023;F
CBPE;PT Citra Buana Prasida Tbk;;IDR;1;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
PGEO;PT Pertamina Geothermal Energy Tbk;;IDR;10,87275;06/13/2023;06/14/2023;06/15/2023;07/07/2023;F
HILL;PT Hillcon Tbk;;IDR;30;06/22/2023;06/23/2023;06/26/2023;07/14/2023;F
CHIP;PT Pelita Teknologi Global Tbk;;IDR;2,31;07/03/2023;07/04/2023;07/05/2023;07/10/2023;F
FWCT;PT Wijaya Cahaya Timber Tbk;;IDR;2;06/13/2023;06/14/2023;06/15/2023;07/06/2023;F
NCKL;PT Trimegah Bangun Persada Tbk.;;IDR;22,19;07/10/2023;07/11/2023;07/12/2023;08/03/2023;F
