Code;Stock Name;SD/BS;Currency;Cash Dividend;Cum Dividend;Ex Dividend;Record Date;Payment Date;Note
LIFE;Asuransi Jiwa Sinarmas MSIG Tbk;;IDR;34;06/30/2022;07/01/2022;07/04/2022;07/22/2022;F
BLUE;Berkah Prima Perkasa Tbk;;IDR;17;06/13/2022;06/14/2022;06/15/2022;07/07/2022;F
SMKL;Satyamitra Kemas Lestari Tbk;;IDR;12;07/29/2022;08/01/2022;08/02/2022;08/19/2022;F
KEEN;Kencana Energi Lestari Tbk;;IDR;5,46;07/07/2022;07/08/2022;07/11/2022;07/29/2022;F
GGRP;Gunung Raja Paksi Tbk;;IDR;7,43;06/27/2022;06/28/2022;06/29/2022;07/21/2022;F
TEBE;Dana Brata Luhur Tbk;;IDR;45;06/17/2022;06/20/2022;06/21/2022;07/13/2022;F
IFII;Indonesia Fibreboard Industry Tbk;;IDR;4;06/15/2022;06/16/2022;06/17/2022;07/08/2022;F
UCID;PT Uni-Charm Indonesia Tbk.;;IDR;22,93;08/05/2022;08/08/2022;08/09/2022;08/26/2022;F
PMJS;PT Putra Mandiri Jembar Tbk;;IDR;4,8;07/08/2022;07/11/2022;07/12/2022;08/03/2022;F
GLVA;Galva Technologies Tbk;;IDR;8;06/28/2022;06/29/2022;06/30/2022;07/21/2022;F
AMAN;Makmur Berkah Amanda Tbk;;IDR;0,5;08/02/2022;08/03/2022;08/04/2022;08/26/2022;F
SAMF;Saraswanti Anugerah Makmur Tbk;;IDR;16,7;06/23/2022;06/24/2022;06/27/2022;07/15/2022;F
KBAG;Karya Bersama Anugerah Tbk;;IDR;0,11;07/15/2022;07/18/2022;07/19/2022;08/05/2022;F
PPGL;PT Prima Globalindo Logistik Tbk.;;IDR;3;06/14/2022;06/15/2022;06/16/2022;07/06/2022;F
SGER;Sumber Global Energy Tbk;;IDR;17;06/29/2022;06/30/2022;07/01/2022;07/20/2022;F
TRJA;PT Transkon Jaya Tbk.;;IDR;4;07/08/2022;07/11/2022;07/12/2022;08/03/2022;F
PURI;Puri Global Sukses Tbk;;IDR;1,8;07/07/2022;07/08/2022;07/11/2022;07/29/2022;F
ATAP;Trimitra Prawara Goldland Tbk;;IDR;0,65;08/03/2022;08/04/2022;08/05/2022;08/26/2022;F
WMUU;Widodo Makmur Unggas Tbk;;IDR;1,62;06/23/2022;06/24/2022;06/27/2022;07/15/2022;F
ZYRX;Zyrexindo Mandiri Buana Tbk;;IDR;7,85;06/09/2022;06/10/2022;06/13/2022;07/01/2022;F
ADCP;Adhi Commuter Properti Tbk;;IDR;1,17;07/06/2022;07/07/2022;07/08/2022;07/29/2022;F
BMHS;Bundamedik Tbk;;IDR;2,56;07/29/2022;08/01/2022;08/02/2022;08/24/2022;F
UVCR;Trimegah Karya Pratama Tbk;;IDR;0,25;07/25/2022;07/26/2022;07/27/2022;08/18/2022;F
OILS;Indo Oil Perkasa Tbk;;IDR;2,52;06/17/2022;06/20/2022;06/21/2022;07/13/2022;F
RSGK;Kedoya Adyaraya Tbk;;IDR;86;06/16/2022;06/17/2022;06/20/2022;07/06/2022;F
HAIS;Hasnur Internasional Shipping Tbk;;IDR;3,99;06/13/2022;06/14/2022;06/15/2022;07/07/2022;F
BINO;Perma Plasindo Tbk;;IDR;1;07/08/2022;07/11/2022;07/12/2022;08/03/2022;F
WGSH;Wira Global Solusi Tbk;;IDR;1;06/16/2022;06/17/2022;06/20/2022;07/08/2022;F
BSML;Bintang Samudera Mandiri Lines Tbk;;IDR;1,08;07/22/2022;07/25/2022;07/26/2022;08/12/2022;F
SEMA;Semacom Integrated Tbk;;IDR;1,95;07/07/2022;07/08/2022;07/11/2022;07/29/2022;F
NTBK;Nusatama Berkah Tbk;;IDR;0,07;08/08/2022;08/09/2022;08/10/2022;08/31/2022;F
STAA;PT Sumber Tani Agung Resources Tbk;;IDR;10;07/25/2022;07/26/2022;07/27/2022;08/12/2022;F
BIKE;PT Sepeda Bersama Indonesia Tbk;;IDR;3,8;07/28/2022;07/29/2022;08/01/2022;08/19/2022;F
SICO;PT Sigma Energy Compressindo Tbk;;IDR;1;07/08/2022;07/11/2022;07/12/2022;07/29/2022;F
ARNA;Arwana Citramulia Tbk;;IDR;55;03/17/2023;03/20/2023;03/21/2023;03/29/2023;F
MEGA;Bank Mega Tbk;;IDR;241,62;03/06/2023;03/07/2023;03/08/2023;03/28/2023;F
AMOR;Ashmore Asset Management Indonesia Tbk;;IDR;16;02/06/2023;02/07/2023;02/08/2023;02/24/2023;
