Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,12/31/2023,Dec,A,WTM,26175.58,10149.14,16026.44,16766.17,8698.76,6806.18,6808.94,166.55,392.01,9.31,3.95,0.63,26.0,42.0,41.0
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,12/31/2023,Dec,A,WTM,161688.19,47304.49,114383.69,100624.55,35421.44,28637.46,25342.15,792.29,3576.06,3.41,0.76,0.41,16.0,22.0,25.0
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,12/31/2023,Dec,A,WTM,3.89,2.07,1.82,9.76,-17.32,-13.76,-13.76,-62.54,8.27,-8.55,64.65,1.14,-354.0,-756.0,-141.0
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk,S,12/31/2023,Dec,A,WTM,30254.62,16211.67,14042.96,42086.95,3687.47,3078.47,2780.35,138.51,699.58,12.42,2.46,1.15,9.0,20.0,7.0
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,09/30/2023,Dec,U,0,3990.76,2946.76,1043.99,725.95,-8.82,17.05,17.05,-9.38,368.9,-17.7,0.45,2.82,-1.0,-3.0,-4.0
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,09/30/2023,Dec,U,0,7377.62,6287.94,1089.68,3070.47,0.81,-0.11,-19.71,-24.36,317.6,-8.62,0.66,5.77,-1.0,-8.0,-3.0
ARTI,Energy,A132,"Oil, Gas & Coal Equipment & Services",Ratu Prabu Energi Tbk,S,09/30/2023,Dec,U,0,636.61,790.89,-154.27,98.14,1.77,1.77,1.48,1.65,-19.68,1.82,-0.15,-5.13,2.0,0.0,13.0
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,12/31/2023,Dec,A,WTM,537.07,77.54,459.52,162.81,64.37,62.37,62.37,7.36,54.19,9.24,1.25,0.17,12.0,14.0,38.0
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,09/30/2023,Dec,U,0,685.39,140.8,544.59,262.03,52.47,51.08,51.08,20.96,158.29,9.02,1.19,0.26,11.0,13.0,28.0
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,09/30/2023,Dec,U,0,28987.99,17889.28,11098.71,7639.94,888.22,544.96,537.47,6.02,174.21,15.29,0.53,1.61,1.0,3.0,5.0
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,09/30/2023,Dec,U,0,630.57,797.31,-166.74,141.97,-127.36,-127.36,-127.36,-130.09,-119.1,-0.38,-0.42,-4.78,-29.0,0.0,-128.0
BSML,Energy,A122,Coal Distribution,Bintang Samudera Mandiri Lines Tbk,S,09/30/2023,Dec,U,0,253.19,135.4,117.79,232.78,14.97,12.19,12.19,9.41,63.66,22.31,3.3,1.15,7.0,15.0,7.0
BSSR,Energy,A121,Coal Production,Baramulti Suksessarana Tbk,S,12/31/2023,Dec,A,WTM,6306.13,2562.43,3743.7,17513.02,3405.69,2505.28,2505.27,957.49,1430.81,3.92,2.62,0.68,40.0,67.0,14.0
BULL,Energy,A112,Oil & Gas Storage & Distribution,Buana Lintas Lautan Tbk,S,09/30/2023,Dec,U,0,5577.1,3393.02,2184.08,1669.83,380.7,379.9,379.61,-26.09,154.7,-3.99,0.67,1.55,-7.0,-17.0,-22.0
BUMI,Energy,A121,Coal Production,Bumi Resources Tbk,S,12/31/2023,Dec,A,WTM,64885.4,22045.63,42839.77,25936.73,1186.11,415.32,168.65,0.45,115.37,184.95,0.73,0.51,0.0,0.0,1.0
BYAN,Energy,A121,Coal Production,Bayan Resources Tbk,S,12/31/2023,Dec,A,WTM,53176.85,22625.88,30550.97,55292.85,25211.4,19755.45,19122.48,573.67,916.53,33.12,20.73,0.74,36.0,63.0,35.0
CANI,Energy,A122,Coal Distribution,Capitol Nusantara Indonesia Tbk,S,12/31/2023,Jun,U,0,217.62,689.04,-471.42,29.11,-10.77,-10.86,-10.86,-61.19,-565.63,-0.82,-0.09,-1.46,-23.0,0.0,-175.0
CNKO,Energy,A122,Coal Distribution,Exploitasi Energi Indonesia Tbk,S,12/31/2023,Dec,A,WTM,976.45,2303.41,-1326.95,1741.98,-34.05,-41.78,-41.15,-4.59,-148.16,-7.4,-0.23,-1.74,-4.0,0.0,-2.0
