Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,12/31/2021,Dec,A,WTP,13779.61,10848.13,2931.48,6566.18,2881.15,2236.12,2213.28,54.14,71.71,42.3,31.94,3.7,16.0,76.0,34.0
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,12/31/2021,Dec,A,WTP,108257.99,44642.29,63615.7,56972.09,21207.32,14676.99,13320.0,416.43,1988.86,6.46,1.35,0.7,12.0,21.0,23.0
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,09/30/2021,Dec,U,0,26.73,13.26,13.48,27.63,0.7,0.7,0.7,2.11,61.26,65.94,4.57,0.98,2.0,3.0,2.0
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk,S,12/31/2021,Dec,A,WTP,23508.59,12209.62,11298.97,25707.07,1436.74,1135.0,1111.61,55.38,562.88,16.43,1.62,1.08,5.0,10.0,4.0
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,09/30/2021,Dec,U,0,5005.93,3146.72,1859.2,596.64,54.07,42.55,42.55,315.44,664.76,28.1,0.86,1.69,18.0,47.0,148.0
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,09/30/2021,Dec,U,0,5529.42,4972.88,556.54,986.66,14.52,15.08,16.83,-8.63,177.75,34.33,1.38,8.94,0.0,-5.0,-3.0
ARTI,Energy,A132,"Oil, Gas & Coal Equipment & Services",Ratu Prabu Energi Tbk,S,09/30/2021,Dec,U,0,802.58,1009.87,-207.29,3.13,-58.11,-51.51,-51.23,-127.06,-26.44,-5.74,-1.89,-4.87,-124.0,0.0,-31806.0
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,09/30/2021,Dec,U,0,478.5,371.31,107.2,76.45,4.66,3.81,3.81,-7.06,29.96,40.8,1.94,3.46,-5.0,-24.0,-33.0
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,09/30/2021,Dec,U,0,635.26,239.04,396.22,280.86,82.57,78.93,78.93,31.98,116.11,15.7,4.17,0.6,17.0,28.0,39.0
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,09/30/2021,Dec,U,0,13928.55,8170.49,5758.05,633.83,336.56,265.9,192.34,3.95,128.84,16.03,0.71,1.42,1.0,3.0,28.0
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,09/30/2021,Dec,U,0,550.26,572.05,-21.79,14.72,-109.17,-109.17,-109.17,-117.05,-15.57,-1.15,-7.71,-26.25,-30.0,0.0,-1113.0
