Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,03/31/2023,Dec,A,0,20128.85,9949.55,10179.29,3568.25,1636.49,1273.59,1268.68,128.42,248.99,7.2,3.72,0.98,26.0,52.0,147.0
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,03/31/2023,Dec,U,0,147162.49,41574.22,105588.27,27536.23,9908.56,7874.49,6860.1,1250.19,3301.08,1.63,0.62,0.39,27.0,38.0,145.0
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,03/31/2023,Dec,A,WTM,20.81,4.83,15.98,9.76,0.4,0.4,0.4,-4.94,72.62,-44.92,3.06,0.3,-5.0,-7.0,-11.0
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk,S,03/31/2023,Dec,U,0,23825.39,10020.26,13805.13,10958.87,811.29,679.3,607.28,128.66,687.73,10.61,1.98,0.73,11.0,19.0,24.0
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,03/31/2023,Dec,U,0,3920.2,2910.54,1009.66,233.23,9.94,15.5,15.5,-355.03,356.77,-0.42,0.42,2.88,-26.0,-100.0,-431.0
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,03/31/2023,Dec,U,0,7558.5,6496.74,1061.76,1100.9,18.6,10.21,0.55,95.1,309.46,1.55,0.48,6.12,4.0,31.0,30.0
ARTI,Energy,A132,"Oil, Gas & Coal Equipment & Services",Ratu Prabu Energi Tbk,S,09/30/2022,Dec,U,0,594.37,763.05,-168.68,47.01,-70.31,-70.31,-68.83,-19.3,-21.52,-2.59,-2.32,-4.52,-25.0,0.0,-322.0
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,03/31/2023,Dec,U,0,492.81,90.86,401.95,36.51,17.31,16.83,16.83,3.78,47.4,15.59,1.24,0.23,7.0,8.0,88.0
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,03/31/2023,Dec,U,0,724.94,213.83,511.11,82.29,19.32,17.82,17.82,15.64,148.56,9.65,1.02,0.42,7.0,11.0,65.0
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,03/31/2023,Dec,U,WTM,27173.7,17530.39,9643.3,1884.67,256.76,162.78,154.58,2.21,151.36,59.82,0.87,1.82,1.0,1.0,7.0
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,03/31/2023,Dec,U,0,687.44,763.46,-76.02,43.66,-36.64,-36.64,-36.64,27.88,-54.3,1.94,-0.99,-10.04,0.0,0.0,-3.0
BSML,Energy,A122,Coal Distribution,Bintang Samudera Mandiri Lines Tbk,S,03/31/2023,Dec,A,WTM,265.67,152.54,113.13,95.3,5.67,4.53,4.53,9.35,61.14,16.15,2.47,1.35,7.0,15.0,18.0
BSSR,Energy,A121,Coal Production,Baramulti Suksessarana Tbk,S,03/31/2023,Dec,U,0,7042.42,3041.72,4000.7,4078.13,914.27,699.85,699.85,1561.23,1529.03,2.15,2.19,0.76,58.0,102.0,100.0
BULL,Energy,A112,Oil & Gas Storage & Distribution,Buana Lintas Lautan Tbk,S,09/30/2022,Dec,U,0,6394.38,4031.03,2363.35,1405.5,73.43,70.29,62.26,-229.08,167.4,-0.43,0.59,1.71,-51.0,-137.0,-230.0
