KODE,%CHG,CHG,CLOSE,PREV,HIGH,LOW,HIGH DATE,LOW DATE
CSRA,14,70,570,500,910,490,2022-06-03,2022-01-03
GPRA,14,12,99,87,133,71,2022-12-05,2022-01-26
SMAR,14,590,4950,4360,5975,4200,2022-11-08,2022-07-14
ELSA,13,36,312,276,400,250,2022-11-04,2022-01-18
SMSM,13,175,1535,1360,1605,1200,2022-11-17,2022-08-29
ARTA,12,300,2700,2400,3000,1680,2022-12-30,2022-03-08
KBLI,12,34,314,280,364,264,2022-05-31,2022-01-31
INKP,12,900,8725,7825,10400,7125,2022-11-08,2022-05-10
JSPT,11,85,840,755,885,710,2022-09-07,2022-05-24
NISP,11,75,745,670,810,615,2022-09-20,2022-01-25
RAFI,11,14,140,126,298,134,2022-08-16,2022-11-16
MDLN,11,8,82,74,140,63,2022-06-13,2022-05-19
IPCC,11,55,570,515,675,470,2022-06-02,2022-01-31
UANG,10,85,895,810,1100,424,2022-12-20,2022-11-01
TRIS,10,22,236,214,330,146,2022-12-26,2022-07-18
SGER,10,16,171,155,492,129,2022-05-20,2022-01-11
NETV,10,20,216,196,830,204,2022-02-15,2022-10-24
MBSS,10,105,1195,1090,1550,755,2022-03-31,2022-02-24
DILD,10,15,171,156,226,138,2022-08-16,2022-04-25
CMNP,10,190,2190,2000,2310,1530,2022-04-19,2022-01-06
MTMH,9,120,1400,1280,2770,1345,2022-07-28,2022-12-29
VINS,9,15,178,163,202,126,2022-03-14,2022-11-02
INTA,9,6,74,68,88,56,2022-04-04,2022-05-24
TUGU,9,70,867,797,1745,642,2022-09-15,2022-07-11
RUIS,9,18,224,206,296,160,2022-09-23,2022-05-13
ITMA,9,65,815,750,1325,484,2022-09-15,2022-02-24
MDKA,9,325,4120,3795,5800,3350,2022-04-19,2022-07-15
AKPI,8,90,1220,1130,1900,895,2022-06-13,2022-04-21
KBLM,8,18,244,226,340,194,2022-06-13,2022-04-26
TRGU,8,16,226,210,630,206,2022-07-14,2022-12-20
MKTR,8,9,129,120,176,112,2022-12-26,2022-11-08
IFII,7,11,158,147,180,141,2022-09-30,2022-05-12
POWR,7,45,660,615,750,600,2022-06-10,2022-03-25
MEDS,7,9,134,125,520,130,2022-08-23,2022-12-30
AMAG,7,24,360,336,468,334,2022-07-07,2022-01-06
ELPI,7,14,214,200,370,191,2022-08-10,2022-10-14
DCII,10370,43555,43975,420,60300,525,2021-06-16,2021-01-06
BBHI,4398,3870,3958,88,4629,77,2021-11-19,2021-01-05
BEBS,4252,1148,1175,27,1240,27,2021-12-30,2021-03-10
TFAS,2747,4945,5125,180,8225,170,2021-08-16,2021-01-04
BANK,2123,2187,2290,103,3980,139,2021-08-09,2021-02-01
UFOE,1509,1524,1625,101,1860,136,2021-12-21,2021-02-01
PANI,1425,114,122,8,212,7,2021-11-22,2021-03-15
MSIN,1285,2301,2480,179,2490,142,2021-12-29,2021-05-18
DMMX,1053,2484,2720,236,3460,197,2021-08-23,2021-01-15
BBYB,894,2208,2456,247,2708,240,2021-12-20,2021-01-04
TMAS,879,123,137,14,155,11,2021-12-24,2021-02-01
BNBA,876,2908,3240,332,4870,330,2021-12-10,2021-01-04
ARTA,838,2144,2400,256,2490,236,2021-12-30,2021-02-01
PEGE,760,1034,1170,136,1955,112,2021-08-31,2021-02-01
TECH,750,6000,6800,800,10200,745,2021-12-14,2021-01-04
AYLS,648,324,374,50,406,50,2021-12-15,2021-01-04
ZBRA,586,551,645,94,1093,41,2021-08-25,2021-01-20
CSMI,574,3100,3640,540,3650,540,2021-05-28,2021-01-04
YELO,570,114,135,20,328,20,2021-11-12,2021-01-04
BPTR,520,255,304,49,403,44,2021-12-17,2021-02-15
TNCA,501,2126,2550,424,3030,210,2021-12-23,2021-02-01
SNLK,500,750,900,150,1960,202,2021-12-15,2021-03-29
FITT,500,425,510,85,650,67,2021-12-13,2021-01-15
MASA,490,4880,5875,995,7300,960,2021-09-29,2021-01-07
ASSA,467,2734,3320,586,4000,586,2021-10-08,2021-01-04
BINA,452,3120,3810,690,6175,685,2021-06-30,2021-01-04
IFSH,440,1744,2140,396,2500,352,2021-12-30,2021-01-06
FUJI,439,505,620,115,640,114,2021-12-27,2021-01-29
BBSI,433,3332,4102,770,8070,747,2021-08-06,2021-01-04
MARI,429,386,476,90,605,83,2021-09-06,2021-01-20
MLPL,421,299,370,71,810,57,2021-06-16,2021-01-28
FILM,397,755,945,190,990,182,2021-12-24,2021-01-04
MLPT,394,2800,3510,710,5750,705,2021-06-15,2021-01-04
BIMA,392,196,246,50,288,50,2021-12-30,2021-01-04
LPIN,382,931,1175,244,1400,230,2021-12-10,2021-01-07
UVCR,350,350,450,100,715,110,2021-09-15,2021-07-27
ARTO,349,12434,16000,3566,19050,3433,2021-07-30,2021-01-06
RONY,344,620,800,180,800,137,2021-12-24,2021-06-21
ABBA,332,216,281,65,584,42,2021-08-26,2021-02-01
MPPA,313,329,434,105,1275,85,2021-06-09,2021-01-28
UANG,313,614,810,196,1375,181,2021-08-19,2021-01-15
RANC,313,1364,1800,436,2700,406,2021-09-16,2021-02-01
SRTG,308,2114,2800,686,2990,678,2021-12-15,2021-01-04
YULE,308,1140,1510,370,1560,310,2021-12-30,2021-01-06
BMAS,303,500,666,165,1062,128,2021-12-17,2021-02-04
MLIA,298,331,442,111,536,109,2021-11-09,2021-01-04
DGIK,294,147,197,50,234,50,2021-12-13,2021-01-04
NFCX,287,6640,8950,2310,13900,1600,2021-08-20,2021-02-08
BABP,288,138,186,48,609,48,2021-08-06,2021-01-04
TRIM,283,266,360,94,482,88,2021-10-29,2021-01-04
SUPR,277,11375,15475,4100,16100,4100,2021-10-07,2021-01-04
DGNS,272,545,745,200,1485,270,2021-07-05,2021-01-15
BOLA,272,446,610,164,1155,163,2021-08-09,2021-01-04
MITI,268,169,232,63,320,63,2021-11-18,2021-01-04
BESS,265,635,875,240,2050,212,2021-11-10,2021-03-29
INCF,263,200,276,76,665,57,2021-11-17,2021-01-21
PKPK,263,142,196,54,258,50,2021-12-23,2021-01-27
CCSI,259,523,725,202,800,180,2021-12-27,2021-04-01
KIOS,255,365,509,143,1799,121,2021-07-28,2021-01-12
SMDR,249,142,199,57,241,46,2021-12-15,2021-01-29
HRUM,246,1469,2065,596,2245,578,2021-12-13,2021-01-04
WEHA,237,140,199,59,284,48,2021-09-15,2021-01-29
BGTG,230,163,233,71,358,62,2021-12-13,2021-02-01
BMSR,228,182,262,80,344,66,2021-12-17,2021-01-29
LPPF,225,2875,4150,1275,4790,1030,2021-11-24,2021-01-27
LPLI,222,189,274,85,428,75,2021-06-15,2021-02-04
GEMS,212,5400,7950,2550,9650,2550,2021-12-29,2021-01-04
DSSA,206,33000,49000,16000,55500,9100,2021-11-19,2021-07-05
TAPG,205,410,610,200,915,270,2021-10-06,2021-04-12
SPMA,198,412,619,208,712,185,2021-12-20,2021-01-28
VICO,193,145,220,75,311,69,2021-12-15,2021-01-06
FISH,192,5030,7650,2620,16850,2620,2021-08-16,2021-01-04
BAJA,188,218,334,116,496,110,2021-05-25,2021-01-04
TRJA,188,291,446,155,645,150,2021-12-14,2021-01-04
PRDA,183,5950,9200,3250,10000,3250,2021-12-14,2021-01-28
TIFA,181,396,615,219,1325,219,2021-09-08,2021-01-04
NICK,178,480,750,270,830,240,2021-12-09,2021-05-05
WAPO,176,118,185,67,318,62,2021-11-08,2021-02-11
JAWA,176,172,270,98,356,77,2021-12-23,2021-02-22
SAMF,175,697,1095,398,2130,388,2021-06-08,2021-01-29
AIMS,172,254,402,148,610,128,2021-05-07,2021-01-12
UNIC,168,7900,12600,4700,13100,4010,2021-12-03,2021-02-01
EDGE,164,2910,4680,1770,9400,1770,2021-06-18,2021-02-08
OMRE,161,389,631,242,1243,228,2021-05-19,2021-01-11
MCOL,161,2280,3700,1420,3800,1325,2021-12-16,2021-09-07
SMKL,157,318,520,202,620,193,2021-12-27,2021-01-07
FLMC,155,310,510,200,645,220,2021-12-29,2021-07-08
PALM,153,508,840,332,1101,286,2021-12-22,2021-01-29
ESSA,152,320,530,210,575,177,2021-12-27,2021-01-29
ISSP,149,238,398,160,510,153,2021-11-11,2021-01-04
INTD,148,154,258,104,368,89,2021-12-09,2021-01-29
GSMF,148,96,161,65,374,61,2021-12-09,2021-01-07
BMHS,144,490,830,340,1200,424,2021-07-29,2021-07-06
MTDL,142,448,764,316,826,280,2021-12-30,2021-02-01
BSSR,141,2395,4090,1695,4120,1405,2021-12-30,2021-02-01
MCAS,139,5535,9525,3990,15000,3800,2021-08-20,2021-02-24
BRAM,137,7125,12325,5200,13750,4550,2021-12-16,2021-04-08
ESTA,137,59,102,43,119,30,2021-12-27,2021-06-11
PTIS,135,216,376,160,580,150,2021-10-21,2021-02-09
SBMA,133,240,420,180,560,200,2021-09-14,2021-09-08
CSIS,132,86,151,65,199,54,2021-11-22,2021-01-06
MPMX,132,651,1145,494,1245,486,2021-12-15,2021-01-28
PSSI,131,228,402,174,442,162,2021-12-15,2021-02-01
MBSS,131,618,1090,472,1175,384,2021-10-11,2021-01-29
OASA,129,93,165,72,180,38,2021-12-24,2021-10-22
LMPI,129,110,195,85,254,82,2021-06-07,2021-01-06
INDX,127,70,125,55,178,50,2021-04-23,2021-01-22
ADES,125,1830,3290,1460,3400,1400,2021-12-22,2021-02-01
ESTI,123,64,116,52,196,52,2021-11-16,2021-01-04
HERO,122,1010,1840,830,1970,780,2021-08-03,2021-01-11
TIRT,120,61,112,51,124,50,2021-12-29,2021-01-04
NELY,117,166,308,142,515,135,2021-12-17,2021-01-06
LUCK,116,199,370,171,545,112,2021-11-29,2021-02-01
AKSI,114,471,885,414,1275,342,2021-12-24,2021-12-16
TOBA,112,580,1100,520,1485,460,2021-12-13,2021-07-01
ZYRX,110,275,525,250,900,312,2021-07-26,2021-03-30
BFIN,110,615,1175,560,1230,560,2021-08-09,2021-01-04
PRAS,108,132,254,122,378,115,2021-11-24,2021-01-04
SATU,108,54,104,50,114,50,2021-12-24,2021-01-04
KONI,108,514,990,476,3830,246,2021-05-10,2021-02-11
APEX,107,440,850,410,1350,356,2021-04-30,2021-01-05
GOOD,107,271,525,254,545,242,2021-11-12,2021-01-25
AKPI,104,575,1130,555,1335,410,2021-12-15,2021-04-01
KOBX,102,120,238,118,332,109,2021-11-19,2021-01-27
CITY,101,88,175,87,320,87,2021-01-15,2021-01-04
UNIT,98,156,316,160,374,143,2021-02-19,2021-02-03
PGJO,97,38,77,39,120,35,2021-07-13,2021-01-04
GLOB,96,105,214,109,480,104,2021-03-05,2021-01-11
SAME,95,180,370,190,730,186,2021-07-13,2021-01-04
PNGO,94,755,1555,800,2130,840,2021-11-02,2021-01-04
LMAS,94,47,97,50,175,50,2021-06-23,2021-01-04
MTWI,93,56,117,60,188,51,2021-04-16,2021-01-29
IMPC,92,111,232,120,256,120,2021-12-21,2021-01-04
SMDM,90,93,196,103,240,95,2021-12-23,2021-02-18
CPRO,90,45,95,50,134,50,2021-11-19,2021-01-04
MMLP,90,267,565,298,895,280,2021-07-05,2021-01-07
PMMP,89,228,484,256,625,240,2021-08-09,2021-01-04
PTSP,89,3290,7000,3710,8375,2470,2021-12-30,2021-01-13
CAKK,88,46,98,52,127,52,2021-09-22,2021-01-04
IPPE,88,88,188,100,304,94,2021-12-14,2021-12-09
PGLI,87,208,446,238,478,164,2021-12-30,2021-05-27
ABMM,87,660,1420,760,1710,695,2021-10-26,2021-01-29
DFAM,86,178,384,206,432,113,2021-09-07,2021-08-16
YPAS,86,370,800,430,1055,330,2021-12-15,2021-02-01
POLI,84,675,1475,800,1725,650,2021-03-25,2021-07-26
INPC,84,58,127,69,320,61,2021-03-03,2021-02-01
TBMS,84,395,865,470,1000,450,2021-09-29,2021-01-04
SGER,85,71,155,84,204,29,2021-11-22,2021-05-19
ALDO,83,453,1000,547,1230,391,2021-12-21,2021-01-11
KARW,83,62,137,75,172,58,2021-12-29,2021-02-05
PSGO,82,97,216,119,278,93,2021-12-13,2021-01-27
BKSW,81,86,192,106,392,86,2021-08-06,2021-02-23
TBIG,81,1320,2950,1630,3440,1585,2021-07-05,2021-01-12
BUDI,81,80,179,99,266,92,2021-08-05,2021-02-01
REAL,80,40,90,50,137,50,2021-08-24,2021-01-04
JAYA,79,86,195,109,246,86,2021-12-16,2021-07-21
WINS,79,85,192,107,234,91,2021-12-14,2021-04-05
VINS,79,72,163,91,226,85,2021-12-15,2021-02-02
BVIC,79,90,204,114,320,103,2021-03-01,2021-02-01
AGRO,79,797,1810,1013,2857,734,2021-07-28,2021-02-01
LMSH,79,330,750,420,1750,308,2021-05-21,2021-04-13
DIVA,78,945,2150,1205,2637,1040,2021-08-16,2021-01-20
ERTX,78,94,214,120,330,105,2021-03-05,2021-02-10
GGRP,78,342,780,438,950,342,2021-12-27,2021-02-24
DNAR,77,127,292,165,509,153,2021-03-04,2021-02-01
BYAN,74,1152,2700,1547,3025,1200,2021-09-30,2021-04-14
FAPA,74,1370,3210,1840,3740,2100,2021-10-06,2021-01-04
SMMT,74,86,202,116,252,91,2021-10-26,2021-05-18
GOLD,74,170,400,230,670,214,2021-06-22,2021-01-04
CASS,73,198,468,270,645,216,2021-10-29,2021-01-28
BSIM,73,370,875,505,1365,472,2021-08-05,2021-01-04
BKDP,73,37,88,51,102,50,2021-12-20,2021-01-04
RODA,73,37,88,51,124,50,2021-09-27,2021-01-04
PRIM,72,168,400,232,625,172,2021-07-07,2021-04-01
TIRA,70,182,442,260,870,232,2021-07-14,2021-01-26
AGII,68,615,1515,900,2100,900,2021-01-19,2021-01-04
AMAN,68,213,525,312,535,284,2021-11-29,2021-05-17
MYTX,66,33,83,50,173,50,2021-04-23,2021-01-04
LINK,66,1590,4000,2410,4800,2360,2021-08-02,2021-01-05
BSML,66,77,194,117,210,130,2021-12-30,2021-12-16
VICI,65,203,515,312,595,292,2021-11-11,2021-01-04
INOV,65,106,270,164,312,131,2021-12-27,2021-02-02
AMFG,64,1740,4440,2700,5000,2700,2021-05-17,2021-01-04
RBMS,64,32,82,50,107,50,2021-12-28,2021-01-04
HDFA,63,80,206,126,344,104,2021-11-09,2021-04-07
SWAT,63,71,183,112,244,69,2021-10-21,2021-08-18
CENT,63,90,232,142,478,135,2021-08-05,2021-01-13
SHIP,63,380,980,600,1165,575,2021-12-21,2021-01-29
MRAT,63,107,276,169,505,148,2021-07-06,2021-01-27
EMTK,63,880,2280,1400,2960,1400,2021-07-09,2021-01-04
CMNT,62,425,1105,680,1165,700,2021-11-16,2021-09-08
FORU,62,85,222,137,304,88,2021-03-01,2021-01-28
BHAT,61,380,1000,620,1000,555,2021-12-30,2021-03-31
BRMS,61,44,116,72,122,64,2021-06-30,2021-01-26
MDKA,60,1424,3795,2371,3902,2039,2021-12-24,2021-04-13
EAST,60,36,96,60,108,52,2021-11-11,2021-02-01
CARE,60,193,515,322,540,284,2021-11-09,2021-01-26
KOIN,58,59,160,101,340,97,2021-01-14,2021-01-04
PORT,58,238,650,412,1250,368,2021-06-21,2021-01-06
ADRO,57,820,2250,1430,2330,1150,2021-12-29,2021-02-04
SILO,56,384,1072,687,1412,565,2021-11-29,2021-03-25
PGUN,55,138,388,250,496,198,2021-12-23,2021-08-18
SKLT,54,85,242,156,300,142,2021-09-24,2021-01-05
MBTO,54,51,146,95,246,87,2021-06-16,2021-01-07
SRAJ,52,106,310,204,575,147,2021-07-09,2021-01-08
AMRT,52,415,1215,800,1550,740,2021-08-12,2021-01-06
HEAL,52,364,1070,706,1285,706,2021-09-03,2021-01-04
HELI,51,110,326,216,550,181,2021-03-26,2021-01-28
WOOD,50,280,840,560,925,515,2021-08-06,2021-01-05
TFCO,50,236,710,474,985,400,2021-05-25,2021-02-05
MGLV,50,67,202,135,296,93,2021-12-07,2021-08-10
MPOW,49,35,106,71,182,50,2021-04-16,2021-02-03
AMAG,49,110,336,226,382,214,2021-06-07,2021-01-26
ECII,48,315,970,655,1,655,2021-02-04,2021-01-04
ITMG,50,7000,20000,14000,28000,11000,2021-10-12,2021-03-10
PUDP,47,108,338,230,585,208,2021-10-06,2021-02-16
LTLS,46,225,715,490,750,464,2021-11-17,2021-02-01
MDLN,45,23,74,51,91,51,2021-12-21,2021-01-04
CNTX,45,98,316,218,376,171,2021-12-07,2021-08-13
LPGI,45,755,2450,1695,2712,1600,2021-11-15,2021-03-09
NASI,45,69,224,155,260,150,2021-12-14,2021-12-13
VRNA,44,46,150,104,250,94,2021-11-22,2021-01-20
DPNS,44,120,394,274,448,256,2021-11-19,2021-01-18
TCPI,43,3000,10000,7000,10000,6000,2021-12-23,2021-04-27
BTON,43,130,430,300,550,276,2021-09-10,2021-01-20
APII,43,66,220,154,290,152,2021-12-07,2021-01-04
ITMA,43,225,750,525,775,486,2021-12-30,2021-12-21
MTSM,42,92,310,218,446,122,2021-12-03,2021-10-28
SSTM,42,240,810,570,950,368,2021-10-15,2021-06-21
APIC,42,330,1,785,1,685,2021-12-28,2021-04-14
TRUS,41,122,416,294,530,276,2021-10-29,2021-01-04
CASA,41,154,530,376,630,356,2021-02-15,2021-02-02
STAR,41,43,149,106,198,77,2021-12-23,2021-03-01
HEXA,33,1000,5000,3000,5000,3000,2021-09-20,2021-02-02
DART,39,88,312,224,386,188,2021-12-03,2021-01-29
ATIC,39,225,800,575,2,535,2021-06-22,2021-01-04
KBLV,39,160,570,410,2,346,2021-11-29,2021-02-22
TRST,39,162,580,418,640,360,2021-09-17,2021-02-01
SOHO,38,177,637,460,775,442,2021-01-18,2021-01-08
PANR,39,57,203,147,426,92,2021-10-22,2021-07-02
GZCO,38,19,69,50,86,50,2021-11-26,2021-01-04
ICON,38,28,102,74,163,54,2021-09-03,2021-02-01
SOTS,37,74,272,198,815,194,2021-06-23,2021-01-04
INDR,33,1000,4000,3000,6000,3000,2021-03-04,2021-01-28
RELI,37,120,444,324,690,260,2021-09-10,2021-01-28
POLY,37,22,82,60,101,50,2021-12-30,2021-06-21
AMAR,37,70,260,190,460,149,2021-03-05,2021-02-02
ERAA,36,160,600,440,725,424,2021-06-17,2021-01-04
DYAN,36,20,75,55,122,53,2021-03-26,2021-01-06
PMJS,36,38,143,105,210,97,2021-11-23,2021-01-05
BAPA,36,18,68,50,88,50,2021-11-18,2021-01-04
KICI,36,76,288,212,394,176,2021-11-16,2021-08-19
CLPI,36,270,1,755,1,725,2021-07-29,2021-02-01
GWSA,36,48,183,135,250,103,2021-10-25,2021-07-19
GHON,35,625,2390,1765,3200,1700,2021-11-01,2021-01-05
MICE,35,104,402,298,488,272,2021-08-18,2021-01-28
ANJT,35,255,990,735,1,585,2021-11-05,2021-07-06
MYOH,35,450,1750,1300,1925,1200,2021-10-01,2021-01-27
BIKA,34,64,250,186,446,136,2021-07-05,2021-04-23
CANI,34,38,150,112,615,99,2021-02-03,2021-07-16
MBAP,34,910,3600,2690,4400,2580,2021-10-05,2021-04-15
SIPD,33,500,2000,1500,2170,1150,2021-08-19,2021-02-25
BBMD,33,500,2000,1500,2300,1305,2021-10-11,2021-04-12
CSRA,33,124,500,376,590,266,2021-12-14,2021-01-29
KDSI,33,270,1,825,1,730,2021-11-26,2021-02-01
PURI,32,96,394,298,725,278,2021-02-09,2021-01-05
SDPC,31,32,136,104,214,99,2021-06-22,2021-02-01
IATA,30,15,65,50,120,50,2021-10-21,2021-01-04
WGSH,30,42,182,140,244,139,2021-12-13,2021-12-20
CMNP,30,460,2000,1540,2090,1175,2021-12-30,2021-09-29
FREN,30,20,87,67,170,51,2021-08-03,2021-02-01
AKRA,29,186,822,636,944,554,2021-10-22,2021-01-29
FOOD,29,30,133,103,146,83,2021-04-20,2021-08-23
LIFE,20,1000,6000,5000,7000,4000,2021-06-21,2021-03-04
AMOR,29,415,1870,1455,2265,1455,2021-05-11,2021-01-04
FPNI,28,102,464,362,505,206,2021-12-30,2021-04-13
MARK,28,235,1,840,1,805,2021-01-12,2021-01-04
EPMT,28,590,2700,2110,2800,2000,2021-12-29,2021-02-01
KOPI,28,140,645,505,1,438,2021-12-23,2021-01-08
MFMI,28,210,970,760,1,550,2021-11-25,2021-02-01
RDTX,20,1000,7000,5000,8000,5000,2021-04-22,2021-01-29
LPPS,27,24,112,88,140,75,2021-06-14,2021-02-02
CSAP,27,103,488,384,597,324,2021-08-12,2021-05-20
NATO,26,155,740,585,780,492,2021-11-08,2021-05-28
OILS,26,70,340,270,765,222,2021-09-10,2021-12-09
BPFI,25,193,960,767,1,667,2021-12-27,2021-09-24
IGAR,24,86,440,354,515,320,2021-06-29,2021-02-01
KBAG,24,12,62,50,127,50,2021-11-26,2021-01-04
SKRN,24,35,181,146,204,127,2021-02-08,2021-05-28
TEBE,24,125,655,530,925,318,2021-09-20,2021-04-21
SGRO,24,380,1995,1615,2770,1580,2021-10-19,2021-01-04
IRRA,23,375,1975,1600,4390,1380,2021-01-13,2021-06-18
HOMI,23,152,812,660,1,617,2021-06-02,2021-03-02
ISAT,20,1000,6000,5000,8000,5000,2021-12-01,2021-02-01
PBSA,23,67,365,297,400,229,2021-11-12,2021-04-05
BCIP,23,17,92,75,151,50,2021-11-23,2021-08-13
TLKM,22,730,4040,3310,4250,3000,2021-12-06,2021-07-06
ALMI,21,52,300,248,336,220,2021-12-22,2021-04-05
TRIN,20,42,248,206,298,130,2021-11-10,2021-07-14
ESIP,20,17,103,85,132,47,2021-12-17,2021-08-23
INDS,20,390,2390,2000,2400,1750,2021-11-09,2021-04-28
SDMU,19,11,68,57,98,50,2021-12-20,2021-01-07
ATAP,19,29,181,152,262,97,2021-11-03,2021-02-05
MAPB,19,255,1610,1355,1900,1260,2021-08-25,2021-07-06
BKSL,18,9,58,49,87,49,2021-05-19,2021-01-04
MEGA,18,756,5027,4270,9089,4152,2021-01-13,2021-01-04
PSDN,18,23,153,130,302,96,2021-07-01,2021-02-01
ARNA,18,120,800,680,885,625,2021-10-29,2021-01-28
JPFA,17,255,1720,1465,2270,1290,2021-04-19,2021-02-01
SMCB,17,250,1690,1440,1970,1265,2021-08-18,2021-01-18
TOWR,17,165,1125,960,1625,920,2021-07-27,2021-01-15
SAFE,17,32,220,188,386,159,2021-10-25,2021-05-03
ANTM,16,315,2250,1935,3440,1940,2021-01-14,2021-01-04
EXCL,16,440,3170,2730,3270,1980,2021-10-12,2021-05-17
GPRA,16,12,87,75,112,55,2021-12-01,2021-02-01
DSFI,16,13,95,82,141,60,2021-09-22,2021-02-01
RIGS,16,42,310,268,515,195,2021-09-01,2021-07-13
EKAD,15,39,291,252,359,227,2021-06-18,2021-02-01
DWGL,15,25,189,164,270,132,2021-03-05,2021-02-23
MIDI,15,27,209,182,275,154,2021-03-22,2021-07-07
TALF,15,38,298,260,450,224,2021-07-07,2021-01-29
KREN,14,12,96,84,197,68,2021-08-24,2021-01-29
DVLA,14,330,2750,2420,3000,2250,2021-11-22,2021-05-24
HDIT,13,40,340,300,760,145,2021-06-11,2021-05-07
BLTZ,13,380,3370,2990,4700,2250,2021-03-26,2021-05-25
MERK,12,410,3690,3280,4080,2820,2021-10-04,2021-02-01
PTRO,12,240,2170,1930,2930,1670,2021-11-09,2021-01-29
LEAD,12,6,56,50,77,50,2021-11-22,2021-01-04
PBID,12,170,1605,1435,2250,1395,2021-07-29,2021-01-04
KEEN,12,46,446,400,494,278,2021-06-02,2021-01-29
SKBM,11,36,360,324,735,276,2021-10-27,2021-02-01
AGRS,11,16,159,143,603,136,2021-03-05,2021-02-15
BMRI,11,350,3512,3162,3750,2800,2021-11-22,2021-05-20
TPMA,11,38,388,350,1,336,2021-03-08,2021-12-02
SFAN,11,140,1470,1330,1525,1250,2021-11-22,2021-02-01
CMRY,10,320,3400,3080,3550,2870,2021-12-23,2021-12-06
BJTM,10,70,750,680,970,680,2021-01-15,2021-01-04
MFIN,10,100,1,990,1,980,2021-02-24,2021-01-04
BIPP,10,5,55,50,72,50,2021-03-08,2021-01-04
BUKK,10,110,1215,1105,1790,800,2021-11-24,2021-01-29
SPTO,9,55,640,585,700,432,2021-01-12,2021-06-08
BALI,9,75,875,800,1,535,2021-11-16,2021-06-18
BBNI,9,287,3375,3087,3787,2280,2021-10-25,2021-06-29
KLBF,9,135,1615,1480,1960,1240,2021-01-12,2021-08-09
BUVA,9,5,60,55,91,50,2021-04-15,2021-01-21
RUNS,9,22,276,254,915,260,2021-09-27,2021-12-27
SIMP,9,36,456,420,595,370,2021-05-03,2021-02-01
SIDO,8,66,865,799,935,700,2021-11-23,2021-07-01
CITA,8,240,3220,2980,4100,2500,2021-12-20,2021-02-17
JECC,8,450,6050,5600,1000,4710,2021-07-02,2021-03-18
BBCA,8,530,7300,6770,8250,5905,2021-10-13,2021-08-02
RMKE,8,16,222,206,246,192,2021-12-21,2021-12-07
ASDM,7,32,477,445,572,427,2021-06-14,2021-01-18
TSPC,7,100,1500,1400,2390,1290,2021-01-12,2021-01-29
SMRA,7,55,835,780,1037,649,2021-03-12,2021-01-29
MTLA,7,30,460,430,545,310,2021-11-15,2021-08-18
CFIN,7,16,250,234,378,214,2021-04-12,2021-01-27
BINO,7,9,147,138,186,135,2021-11-25,2021-12-07
