Kode
'MERK',
'HEXA',
'UNIC',
'ITMG',
'BFIN',
'CLPI',
'ADMF',
'BJTM',
'JTPE',
'SMDR',
'MBAP',
'PANS',
'DMAS',
'BSSR',
'ASDM',
'HMSP',
'MFIN',
'INDS'
