Kode
ABMM
ACES
ADHI
ADMR
ADRO
AGRO
AKRA
AMRT
ANTM
ARTO
ASII
ASSA
AUTO
BBCA
BBNI
BBRI
BBTN
BFIN
BMRI
BMTR
BRIS
BRMS
BRPT
BSDE
BTPS
BUKA
CFIN
CPIN
CTRA
DOID
DRMA
DSNG
ELSA
EMTK
ENRG
ERAA
ESSA
EXCL
GGRM
GOTO
GTRA
HEAL
HRTA
HRUM
ICBP
IMAS
INCO
INDF
INDY
INKP
INTP
ISAT
ITMG
JPFA
JSMR
KLBF
LPPF
MAPA
MAPI
MARK
MBMA
MDKA
MEDC
MIKA
MNCN
MPMX
MTEL
MTMH
MYOR
NISP
PGAS
PGEO
PNLF
PTBA
PTMP
PTPP
PTRO
PWON
RAJA
SCMA
SIDO
SILO
SMGR
SMIL
SMRA
SMSM
SRTG
SSIA
SSMS
TBIG
TINS
TKIM
TLKM
TOWR
TPIA
TRON
UNTR
UNVR
WIFI
WIIM
