date,text
2020-07-15T09:12:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTPW\nBuy at: 1450\nSL: < 1378\nTP:1523\nAlert Date: 2020-07-15\nAlert Time: 09:12:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:17:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nIKAN\nBuy at: 665\nSL: < 632\nTP:698\nAlert Date: 2020-07-15\nAlert Time: 09:17:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:36:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)TPMA\nBuy at: 336\nSL: < 319\nTP:353\nAlert Date: 2020-07-15\nAlert Time: 09:36:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-15T09:40:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PNSE\nBuy at: 1045\nSL: < 993\nTP:1097\nAlert Date: 2020-07-15\nAlert Time: 09:40:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-16T09:16:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)KBAG\nBuy at: 416\nSL: < 395\nTP:437\nAlert Date: 2020-07-16\nAlert Time: 09:16:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-17T09:02:03,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)MERK\nBuy at: 3980\nSL: < 3781\nTP:4179\nAlert Date: 2020-07-17\nAlert Time: 09:02:03\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-17T09:04:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\nTIFA\nBuy at: 320\nSL: < 304\nTP:336\nAlert Date: 2020-07-17\nAlert Time: 09:04:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-17T09:23:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTPW\nBuy at: 1525\nSL: < 1449\nTP:1601\nAlert Date: 2020-07-17\nAlert Time: 09:23:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-17T09:52:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)EKAD\nBuy at: 1225\nSL: < 1164\nTP:1286\nAlert Date: 2020-07-17\nAlert Time: 09:52:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-17T10:30:03,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTRO\nBuy at: 1760\nSL: < 1672\nTP:1848\nAlert Date: 2020-07-17\nAlert Time: 10:30:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-17T10:53:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PYFA\nBuy at: 685\nSL: < 651\nTP:719\nAlert Date: 2020-07-17\nAlert Time: 10:53:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-20T09:05:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PYFA\nBuy at: 725\nSL: < 689\nTP:761\nAlert Date: 2020-07-20\nAlert Time: 09:05:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-20T09:26:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)APII\nBuy at: 330\nSL: < 314\nTP:347\nAlert Date: 2020-07-20\nAlert Time: 09:26:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-20T09:35:01,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)CENT\nBuy at: 103\nSL: < 98\nTP:108\nAlert Date: 2020-07-20\nAlert Time: 09:35:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-20T09:56:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTRO\nBuy at: 1775\nSL: < 1686\nTP:1864\nAlert Date: 2020-07-20\nAlert Time: 09:56:01\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-20T10:33:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)EKAD\nBuy at: 1300\nSL: < 1235\nTP:1365\nAlert Date: 2020-07-20\nAlert Time: 10:33:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
2020-07-20T14:22:02,"['Berikut ini adalah saham-saham yang potensial untuk strategy buy high sell higher berdasarkan HQ-52W-High Algorithm (klik: ', {'type': 'mention', 'text': '@HQSahamIDX_bot'}, ').\nTanda *) artinya saham tersebut adalah saham syariah \n\n*)PTPW\nBuy at: 1575\nSL: < 1496\nTP:1654\nAlert Date: 2020-07-20\nAlert Time: 14:22:02\n\n\nDisclaimer: Trade Your Own Risks and always stick to the tight trading plan.']"
