Kode
ACES
ADRO
AKRA
AMRT
ANTM
ARTO
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BRIS
BRPT
BUKA
CPIN
EMTK
ESSA
EXCL
GGRM
GOTO
HRUM
ICBP
INCO
INDF
INKP
INTP
ITMG
KLBF
MAPI
MBMA
MDKA
MEDC
MTEL
PGAS
PGEO
PTBA
PTMP
SIDO
SMGR
SRTG
TLKM
TOWR
UNTR
UNVR
