Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ADMR,Energy,A121,Coal Production,Adaro Minerals Indonesia Tbk,S,06/30/2022,Dec,LR,0,16960.16,10885.54,6074.62,6483.46,3926.35,3037.55,3006.19,115.51,148.59,15.8,12.11,1.79,28.0,78.0,73.0
ADRO,Energy,A121,Coal Production,Adaro Energy Indonesia Tbk,S,06/30/2022,Dec,LR,0,130793.6,48844.18,81949.41,52702.34,30378.02,20022.27,18046.78,563.32,2562.04,6.28,1.38,0.6,22.0,35.0,55.0
AIMS,Energy,A121,Coal Production,Akbar Indo Makmur Stimec Tbk,S,06/30/2022,Dec,U,0,34.62,16.73,17.88,20.46,2.49,2.49,2.49,20.9,81.28,11.87,2.98,0.94,13.0,26.0,22.0
AKRA,Energy,A112,Oil & Gas Storage & Distribution,AKR Corporindo Tbk,S,06/30/2022,Dec,U,0,27834.66,15843.1,11991.55,22109.45,1175.72,927.41,955.46,75.56,597.38,17.8,2.26,1.32,5.0,13.0,7.0
APEX,Energy,A131,Oil & Gas Drilling Service,Apexindo Pratama Duta Tbk,S,06/30/2022,Dec,U,0,5279.11,3295.42,1983.69,695.5,44.06,31.95,31.95,20.53,709.27,17.92,0.49,1.66,1.0,3.0,8.0
ARII,Energy,A121,Coal Production,Atlas Resources Tbk,S,06/30/2022,Dec,U,0,5263.5,4411.02,852.47,1371.76,296.49,254.57,219.2,15.05,272.27,14.36,0.79,5.17,4.0,28.0,17.0
ARTI,Energy,A132,"Oil, Gas & Coal Equipment & Services",Ratu Prabu Energi Tbk,S,03/31/2022,Dec,U,0,637.2,741.61,-104.41,1.52,-6.55,-6.04,-5.99,-14.02,-13.32,-3.57,-3.75,-7.1,-17.0,0.0,-7227.0
BBRM,Energy,A122,Coal Distribution,Pelayaran Nasional Bina Buana Raya Tbk,S,06/30/2022,Dec,U,0,532.81,162.08,370.73,63.61,-2.37,-3.17,-3.17,0.58,43.72,85.9,1.14,0.44,1.0,1.0,8.0
BESS,Energy,A122,Coal Distribution,Batulicin Nusantara Maritim Tbk,S,06/30/2022,Dec,U,0,724.35,262.85,461.49,211.26,30.53,28.94,28.94,21.8,134.43,9.36,1.47,0.57,10.0,16.0,35.0
BIPI,Energy,A111,Oil & Gas Production & Refinery,Astrindo Nusantara Infrastruktur Tbk,S,06/30/2022,Dec,LR,0,13716.73,7862.12,5854.61,201.15,52.42,34.49,17.2,2.25,101.08,63.69,1.4,1.34,1.0,2.0,65.0
BOSS,Energy,A121,Coal Production,Borneo Olah Sarana Sukses Tbk,S,06/30/2022,Dec,U,0,674.12,732.14,-58.03,192.15,19.99,19.99,19.99,-61.87,-41.45,-1.33,-2.0,-12.62,-13.0,0.0,-45.0
