Kode,P,Current,L,H,OpMargin,DevPR,RoE
HRUM,7,1180,1120,1945,15,38,21
HUMI,4,80,68,312,25,0,0
IATA,0,50,50,108,20,0,348
IBFN,1,16,15,97,128,0,0
IBOS,97,675,110,690,12,0,2
IBST,0,4820,4820,6575,39,0,0
ICBP,86,11575,9275,11925,15,26,16
ICON,0,50,50,85,0,0,-7
IDEA,9,57,45,177,17,0,1
IDPR,40,145,117,187,-3,0,-3
IFII,28,162,140,216,20,23,7
IFSH,9,930,865,1540,25,27,33
IGAR,41,436,406,478,3,0,6
IIKP,0,50,50,50,0,0,0
IKAI,0,50,50,52,0,0,0
IKAN,0,50,50,73,0,0,1
IKBI,34,464,196,970,3,14,10
IKPM,-154,0,164,270,0,0,0
IMAS,18,1350,895,3370,13,8,4
IMJS,10,278,254,488,0,3,1
IMPC,2,380,287,3760,25,178,21
INAF,4,428,406,880,-78,0,-397
INAI,17,198,183,270,2,0,-39
INCF,0,50,50,55,21,0,0
INCI,25,540,495,670,13,0,4
INCO,2,3890,3810,7375,20,23,10
INDF,23,6400,6050,7550,17,25,12
INDO,37,93,80,115,3,0,2
INDR,7,3010,2800,5775,-6,0,-10
INDS,25,2380,1915,3750,11,24,9
INDX,7,114,101,264,-51,0,-23
INDY,0,1305,1300,2800,6,31,18
INET,1,69,66,314,11,0,0
INKP,26,8125,6775,11850,14,3,9
INOV,8,122,115,198,5,0,-14
INPC,34,70,61,87,11,0,2
INPP,80,780,390,875,26,0,3
INPS,17,162,105,426,13,0,-28
INRU,8,730,685,1235,-2,0,-34
INTA,0,50,50,74,8,0,0
INTD,13,145,127,256,0,0,1
INTP,0,8925,8900,11850,13,25,11
IOTF,98,224,76,226,6,0,0
IPAC,8,94,89,149,-12,0,9
IPCC,39,690,575,865,45,58,16
IPCM,49,278,250,306,15,66,14
IPOL,35,135,121,161,2,0,0
IPPE,0,50,50,67,20,0,0
IPTV,0,50,50,70,-13,0,-3
IRRA,9,498,436,1065,8,0,4
IRSX,0,50,50,274,2,0,0
ISAP,1,10,9,67,2,0,0
ISAT,75,9625,5800,10850,18,53,14
ISSP,54,286,232,332,13,11,8
ITIC,56,304,250,346,19,0,6
ITMA,60,680,376,880,52,0,9
ITMG,21,26225,22125,41500,20,138,39
JARR,43,226,143,332,4,0,4
JAST,0,50,50,120,-9,0,-10
JATI,0,50,50,244,0,0,3
JAWA,39,127,62,228,-3,0,-294
JAYA,26,114,102,148,19,41,9
JECC,0,1885,1885,4940,6,16,12
JGLE,0,50,50,50,24,0,-48
JIHD,45,392,302,498,8,0,4
JKON,10,86,78,153,7,26,6
JKSW,0,60,60,60,0,0,0
JMAS,1,51,50,110,5,0,1
JPFA,21,1100,1015,1410,9,62,6
JRPT,72,690,480,770,47,28,11
JSKY,0,52,52,52,-267,0,-37
JSMR,88,4950,3030,5200,37,7,23
JSPT,98,1340,785,1350,26,0,2
JTPE,52,294,200,378,15,17,23
KAEF,18,920,685,1935,0,0,0
KARW,68,70,50,79,1,0,0
KAYU,0,52,50,685,-15,0,1
KBAG,0,50,50,50,-18,0,0
KBLI,60,330,284,360,7,12,5
KBLM,19,260,228,396,2,0,2
KBLV,9,70,63,135,-61,0,0
KBRI,0,50,50,50,0,0,0
KDSI,55,1855,1005,2540,11,0,12
KDTN,12,104,94,177,14,0,0
KEEN,46,785,515,1095,58,9,10
KEJU,26,1175,1100,1385,6,207,8
KETR,52,230,160,294,34,0,9
KIAS,7,14,11,50,-2,0,-3
KICI,2,116,113,218,-8,0,-3
KIJA,8,121,115,190,18,0,5
KING,23,165,84,426,2,0,0
KINO,0,1145,1140,1780,6,0,-33
KIOS,0,50,50,115,1,0,0
KJEN,6,85,76,218,-2,0,0
KKES,0,50,50,130,0,0,6
KKGI,6,360,343,593,0,20,29
KLAS,14,81,54,238,0,0,0
KLBF,7,1540,1475,2360,9,59,13
KLIN,2,21,20,55,-24,0,-10
KMDS,6,422,402,690,19,0,26
KMTR,70,284,226,308,0,0,-4
KOBX,9,167,147,352,3,0,-4
KOCI,0,50,50,142,26,0,0
KOIN,14,77,65,148,0,0,-1277
KOKA,23,79,50,174,21,0,0
KONI,2,965,900,3680,7,0,12
KOPI,1,310,300,840,7,0,4
KOTA,0,50,50,50,-33,0,-1
KPAL,0,50,50,50,-16,0,-11
KPAS,0,62,62,63,-1595,0,-25
KPIG,24,63,56,84,3,0,1
KRAH,0,436,436,436,0,0,0
KRAS,1,136,133,334,-1,0,-20
KREN,0,50,50,50,0,0,-4
KRYA,3,55,50,206,36,0,-1
KUAS,7,51,50,63,6,0,5
LABA,0,50,50,94,8,0,-8
LAJU,1,54,50,430,7,0,0
LAND,26,22,12,50,-5,0,-1
LAPD,-11,0,5,50,0,0,0
LCGP,0,114,114,114,0,0,0
LCKM,66,296,260,314,3,0,0
LEAD,26,62,50,95,-4,0,-26
LFLO,17,51,44,83,1,0,10
LIFE,50,6025,5550,6500,-3,145,3
LINK,0,1090,1080,2420,-3,990,-5
LION,6,535,500,1040,14,0,0
LMAS,0,50,50,50,40,0,4
LMAX,18,170,122,380,8,0,26
LMPI,6,109,103,194,1,0,-14
LMSH,4,410,400,605,-17,0,-5
LOPI,17,61,54,93,11,0,0
LPCK,5,665,635,1150,25,0,2
LPGI,10,3430,3010,7025,-2,3030,-4
LPIN,13,350,336,442,12,0,8
LPKR,30,80,67,110,16,0,2
LPLI,17,226,202,340,679,0,21
LPPF,14,2080,1530,5400,3,125,443
LPPS,45,71,60,84,97,0,2
LRNA,18,179,151,300,-7,0,0
LSIP,1,840,835,1135,26,49,6
LTLS,37,1175,975,1510,4,81,5
LUCK,7,71,66,132,4,0,0
LUCY,38,145,111,199,-2,0,0
MABA,0,50,50,50,0,0,0
MAGP,0,50,50,50,-16,0,-91
MAHA,14,181,159,306,19,0,0
MAIN,43,486,402,595,9,0,5
MAMI,0,50,50,50,-11,0,-2
MANG,70,95,60,110,7,0,0
MAPA,94,990,400,1025,15,8,29
MAPB,22,1995,1800,2650,8,0,11
MAPI,87,1975,1305,2070,10,6,24
MARI,0,50,50,143,-103,0,-66
MARK,82,775,436,845,30,107,15
MASA,39,3700,2220,6000,21,26,20
MASB,84,3540,3010,3640,41,0,7
MAXI,0,50,50,95,-5,0,0
MAYA,4,175,149,695,3,0,0
MBAP,4,4260,4130,6875,4,188,19
MBMA,44,700,496,955,7,0,1
MBSS,25,1085,940,1500,24,0,15
MBTO,15,98,84,173,4,0,-6
MCAS,15,3800,2700,9800,0,0,0
MCOL,59,5825,4030,7050,26,86,49
MCOR,40,76,67,89,38,0,3
MDIA,0,50,50,55,-47,0,-4
MDKA,17,2550,2060,4830,9,0,0
MDKI,40,202,184,228,10,0,5
MDLN,8,57,53,102,28,0,15
MDRN,0,5,5,50,30,0,0
MEDC,36,1155,840,1705,38,10,21
MEDS,0,50,50,220,-109,0,-14
MEGA,31,4990,4300,6500,54,80,21
MENN,0,11,10,134,24,0,4
MERK,3,4090,4050,5100,18,89,21
META,61,238,105,322,17,0,-4
MFIN,96,3140,1605,3190,39,53,15
MFMI,0,540,540,845,30,0,19
MGLV,18,53,38,120,17,0,16
MGNA,4,10,8,50,34,0,-2
MGRO,11,585,545,880,3,0,-23
MICE,2,500,490,945,8,7,5
MIDI,33,398,332,530,4,25,17
MIKA,50,2820,2430,3200,29,54,16
MINA,0,50,50,67,3,0,-2
MIRA,2,7,6,50,0,0,-17
MITI,6,183,149,635,23,0,18
MKNT,2,2,1,50,2,0,0
MKPI,19,27750,25550,37000,45,48,13
MKTR,10,134,111,330,20,27,0
MLBI,1,7050,7000,9700,39,60,96
MLIA,2,406,400,605,18,29,13
MLPL,3,63,61,117,1,0,0
MLPT,10,1520,1450,2140,11,96,56
MMIX,0,122,117,710,26,0,0
MMLP,17,314,276,494,71,0,2
MNCN,5,364,344,720,12,5,6
MOLI,55,340,118,515,8,0,5
MORA,48,464,430,500,37,0,10
MPMX,11,1015,970,1360,4,93,10
MPOW,15,58,50,103,-34,0,-6
MPPA,2,55,53,150,-4,0,-135
MPRO,23,2060,1245,4750,-80,0,-2
MPXL,33,174,104,312,16,0,13
MRAT,6,356,320,890,1,0,23
MREI,1,1685,1610,5700,2,19,2
MSIE,4,24,21,90,18,0,147
MSIN,43,3000,1655,4760,2,0,5
MSJA,32,356,282,510,13,0,0
MSKY,33,170,94,320,-77,0,-18
MSTI,-284,0,1250,1690,0,0,0
MTDL,58,540,450,605,4,28,20
MTEL,47,680,600,770,41,65,5
MTFN,0,50,50,50,-8,0,0
MTLA,61,396,342,430,32,18,10
MTMH,6,1310,1285,1685,7,0,2
MTPS,1,9,8,96,0,0,-49
MTRA,0,244,244,244,0,0,0
MTSM,10,191,146,580,-33,0,-13
MTWI,10,76,68,142,7,0,6
MUTU,15,89,66,214,19,0,0
MYOH,57,1800,1360,2130,13,44,10
MYOR,14,2360,2270,2900,13,27,22
MYRX,0,50,50,50,0,0,0
MYTX,11,55,50,92,-11,0,0
NANO,16,18,16,28,12,0,0
NASA,11,19,15,50,36,0,0
NASI,22,67,50,126,0,0,1
NATO,22,187,91,525,80,0,0
NAYZ,1,16,14,181,1,0,5
NCKL,20,900,750,1470,33,0,33
NELY,54,505,292,680,52,0,36
NETV,1,54,51,210,-85,0,0
NFCX,5,3490,3270,7400,0,0,-12
NICE,28,570,438,895,10,0,0
NICK,72,260,148,302,116,0,-48
NICL,18,193,145,400,-4,19,24
NIKL,3,264,248,660,-5,0,-5
NINE,7,10,7,47,-8,0,0
NIPS,0,282,282,282,0,0,0
NIRO,67,140,119,150,13,0,-3
NISP,83,1225,730,1320,52,32,11
NOBU,88,875,406,935,22,0,5
NPGF,0,50,50,75,96,0,-1
NRCA,40,328,294,378,5,113,7
NSSS,65,196,114,240,21,0,0
NTBK,0,50,50,93,4,0,4
NUSA,0,50,50,50,0,0,0
NZIA,2,77,71,292,-2,0,0
OASA,18,140,107,286,7,0,2
OBMD,66,258,140,318,55,0,0
OCAP,0,159,159,159,0,0,0
