Kode,P,Current,L,H,OpMargin,DevPR,RoE
SONA,14,790,605,1900,7,0,0
SOSS,36,448,366,590,1,0,16
SOTS,57,326,82,510,-16,0,-5
SOUL,66,36,18,45,-24,0,-2
SPMA,14,360,328,545,9,0,10
SPTO,18,550,535,615,11,59,11
SQMI,12,53,50,75,-425,0,-17
SRAJ,58,575,202,840,6,0,-2
SRIL,10,146,145,155,-55,1,0
SRSN,35,61,50,81,13,7,11
SRTG,12,1525,1405,2380,97,17,-23
SSIA,38,408,322,545,10,0,3
SSMS,24,1155,935,1820,29,178,12
SSTM,0,0,0,775,0,0,-3
STAA,13,830,795,1050,28,68,18
STAR,5,99,95,167,-34,0,0
STRK,0,50,50,462,186,0,0
STTP,28,9775,6975,16900,22,0,21
SUGI,0,50,50,50,0,0,0
SULI,29,130,92,220,-36,0,1621
SUNI,43,378,260,530,18,0,18
SUPR,79,39900,33900,41450,71,0,19
SURE,32,1315,1100,1760,-34,0,-30
SURI,-30,0,135,585,0,0,0
SWAT,0,50,50,68,-2,0,-27
SWID,22,75,65,109,37,0,14
TALF,12,290,264,476,4,0,3
TAMA,5,18,16,50,28,0,-9
TAMU,6,8,5,50,7,0,-8
TAPG,29,560,505,690,25,43,17
TARA,4,9,7,50,-65,0,0
TAXI,0,50,50,50,-107,0,-7
TAYS,13,99,62,332,-4,0,0
TBIG,34,1960,1780,2300,63,52,13
TBLA,20,660,600,900,10,48,9
TBMS,50,2480,1440,3490,1,0,6
TCID,7,2670,2600,3500,-2,92,0
TCPI,39,7425,5875,9800,12,29,7
TDPM,33,119,118,121,-384,0,-112
TEBE,20,770,715,980,45,68,32
TECH,0,50,50,1380,-381,0,1
TELE,0,50,50,50,0,0,0
TFAS,0,515,476,5350,1,0,0
TFCO,82,665,595,680,-1,0,0
TGKA,27,6650,6150,8000,3,59,24
TGRA,0,50,50,72,3,0,1
TGUK,6,94,84,242,4,0,0
TIFA,100,650,370,650,58,0,4
TINS,0,565,565,1245,-2,92,-2
TIRA,69,400,171,500,3,0,1
TIRT,0,50,50,53,-34976,0,0
TKIM,17,6450,5600,10375,4,2,11
TLDN,42,456,376,565,28,68,11
TLKM,54,3990,3390,4500,33,70,20
TMAS,39,159,43,339,23,52,43
TMPO,23,88,78,121,4,0,0
TNCA,6,184,169,400,3,0,4
TOBA,12,264,216,610,0,65,6
TOOL,31,61,50,85,28,0,12
TOPS,0,5,5,50,-6,0,-19
TOTL,57,398,300,470,-1,252,12
TOTO,12,228,222,272,12,76,11
TOWR,33,925,820,1130,65,35,22
TOYS,0,50,50,73,-81,0,-3
TPIA,84,5475,1995,6125,-3,12,-2
TPMA,63,640,374,790,30,58,20
TRAM,0,50,50,50,0,0,0
TRGU,31,184,163,230,3,27,-1
TRIL,0,50,50,50,0,0,0
TRIM,87,280,181,294,24,0,8
TRIN,17,145,110,314,-473586,0,-6
TRIO,0,426,426,426,0,0,0
TRIS,4,195,188,334,4,0,9
TRJA,18,276,246,410,13,0,9
TRON,19,248,190,482,-10,0,0
TRST,13,474,430,750,-3,0,-3
TRUE,0,50,50,54,-13,0,-8
TRUK,29,90,70,138,0,0,-6
TRUS,47,394,310,486,64,0,7
TSPC,88,2100,1340,2200,12,39,19
TUGU,34,1080,870,1480,7,13,13
TYRE,20,120,90,236,8,0,11
UANG,52,615,270,930,9,0,119
UCID,6,935,910,1320,4,18,6
UDNG,-66,0,49,123,0,0,0
UFOE,48,230,170,294,1,0,6
ULTJ,47,1720,1350,2130,19,29,17
UNIC,13,7975,7650,9975,9,48,6
UNIQ,79,220,54,264,19,0,10
UNIT,42,316,300,338,24,0,0
UNSP,20,105,96,140,7,0,0
UNTR,17,22850,20925,31700,19,110,27
UNVR,7,3170,3010,5050,17,107,88
URBN,28,139,105,224,-186,0,-3
UVCR,54,133,64,191,2,0,18
VAST,13,64,52,141,64,0,4
VICI,58,660,466,800,19,19,22
VICO,14,114,89,258,31,0,5
VINS,63,169,79,220,13,0,8
VIVA,0,50,50,50,-47,0,0
VKTR,28,117,105,147,-8,0,0
VOKS,88,222,131,234,9,0,6
VRNA,16,88,83,113,17,0,6
VTNY,1,173,162,900,-15,0,0
WAPO,8,102,84,308,0,0,-3
WEGE,6,76,71,152,2,14,6
WEHA,71,166,100,192,18,0,14
WGSH,3,81,75,232,19,0,6
WICO,4,119,105,448,-9,0,-487
WIDI,6,37,19,282,3,0,0
WIFI,20,156,124,280,15,0,11
WIIM,31,1695,695,3850,31,29,32
WIKA,9,240,183,760,-41,0,-45
WINE,26,410,274,795,23,14,19
WINR,0,50,50,50,17,0,7
WINS,33,384,232,680,13,0,4
WIRG,9,96,86,197,3,0,9
WMPP,0,50,50,105,-36,0,-28
WMUU,0,50,50,65,-16,0,-13
WOMF,40,356,260,500,24,27,14
WOOD,20,302,250,500,17,0,-1
WOWS,0,50,50,50,17,0,-1
WSBP,0,50,50,95,-24,0,-181
WSKT,3,202,195,380,1,0,-36
WTON,3,101,98,198,8,31,3
YELO,0,50,50,73,1,0,0
YPAS,0,412,410,720,4,0,9
YULE,33,2350,2000,3060,-949,0,1
ZATA,0,50,50,106,-17,0,1
ZBRA,16,456,440,535,2,0,-10
ZINC,0,50,50,50,6,0,-14
ZONE,26,1090,1015,1300,6,0,15
ZYRX,3,167,160,368,18,0,34
