kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p;date
CITY;56.0;50.0;147.0;-1.1860399;0.0;-0.02484;0.0;0.0;0.36208224;154.661;none;983820.0;5405190144.0;63.69;58.76;302690664448.0;34581585920.0;541607040.0;45671776256.0;5197067776.0;6.398;6.185567010309279;2024-03-07 18:46:58
CLAY;330.0;86.0;560.0;0.22391;0.0;0.0;0.0;0.0;444.1454;0.743;none;1020.0;2569999872.0;208.005;146.34;848099934208.0;12514750464.0;47494643712.0;210806489088.0;380435824640.0;4.87;51.47679324894514;2024-03-07 18:46:58
CLEO;740.0;452.0;795.0;0.26732;0.0805;0.19864;0.0;0.0;6.455327;114.634;none;2767140.0;11960000512.0;649.8;689.2;8850400870400.0;2655845888.0;253887397888.0;1497158647808.0;283575681024.0;0.222;83.96501457725947;2024-03-07 18:46:58
CLPI;980.0;925.0;1050.0;0.08914;0.44619998;0.0796;0.0;0.0;0.5536354;1770.118;none;57490.0;306337984.0;985.85;985.7;300211208192.0;239885090816.0;82271748096.0;794658013184.0;62754361344.0;783.072;44.0;2024-03-07 18:46:58
CMNP;1540.0;1480.0;1870.0;32.40918;0.0;0.096379995;0.0;0.0;0.73683685;2090.015;none;57100.0;5436789760.0;1606.9;1541.5;8372656013312.0;425869967360.0;1838125940736.0;4453058478080.0;4801576828928.0;78.338;15.384615384615385;2024-03-07 18:46:58
CMNT;1070.0;755.0;1200.0;0.11653;0.0;0.027309999;0.0;0.0;4.977508;214.967;none;43502650.0;17125499904.0;987.0;1114.5;18324285030400.0;434328010752.0;1946408976384.0;9638297731072.0;9910406348800.0;25.361;70.78651685393258;2024-03-07 18:46:58
CMPP;118.0;111.0;185.0;-0.14495;0.0;0.0;0.0;0.0;0.0;-1046.568;none;327020.0;10685100032.0;135.985;120.22;1260841861120.0;54198677504.0;618798448640.0;6206550179840.0;7269245779968.0;5.072;9.45945945945946;2024-03-07 18:46:58
CMRY;4400.0;3520.0;4870.0;0.2036;0.48360002;0.2138;0.0;0.0;6.1580663;714.51;strong_buy;1229010.0;7934680064.0;4021.05;4078.8;34912591675392.0;2482555060224.0;1379802939392.0;7363223879680.0;0.0;312.874;65.18518518518519;2024-03-07 18:46:58
CNKO;50.0;50.0;50.0;0.069409996;0.0;0.0;0.0;0.0;0.0;-132.513;none;1390.0;115000000.0;50.0;50.0;447817973760.0;107465302016.0;158652743680.0;1598198251520.0;556940591104.0;11.999;0.0;2024-03-07 18:46:58
CNMA;246.0;220.0;340.0;0.15678;0.0;0.15268;15.119852;16.27;7.432249;33.099;buy;5986840.0;83344998400.0;273.69934;258.2;20502869442560.0;0.0;1303719968768.0;4401050157056.0;0.0;0.0;21.666666666666668;2024-03-07 18:46:58
CNTX;123.0;122.0;248.0;-0.0521;0.0;0.0;0.0;0.0;0.0;-0.094;none;10.0;70000000.0;123.37;122.04;8609999872.0;656797.0;1332285.0;38251816.0;44300000.0;0.003;0.7936507936507936;2024-03-07 18:46:58
COAL;50.0;50.0;173.0;0.02641;0.0;0.10625;0.0;0.0;0.9493791;52.666;none;2939990.0;6249999872.0;61.43;50.16;312499994624.0;71719854080.0;114002919424.0;673015332864.0;155062976512.0;11.475;0.0;2024-03-07 18:46:58
COCO;162.0;145.0;270.0;-0.00669;0.0;-0.06505;0.0;0.0;0.7606455;212.977;none;24900.0;889864000.0;185.85;165.18;144157966336.0;136789581824.0;-65172803584.0;216601706496.0;361559949312.0;153.72;13.6;2024-03-07 18:46:58
COWL;50.0;50.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;none;0.0;0.0;50.0;50.0;243560497152.0;0.0;0.0;0.0;0.0;0.0;0.0;2024-03-07 18:46:58
CPIN;5100.0;4330.0;5800.0;0.11015;0.0;0.08698;23.181818;220.0;2.8836777;1768.575;buy;7225860.0;16398000128.0;5107.0;4782.4;84141840269312.0;3601240948736.0;3813761875968.0;60557520535552.0;9095946960896.0;219.615;52.38095238095239;2024-03-07 18:46:58
CPRI;50.0;50.0;51.0;-0.08567;0.0;-0.0198;0.0;0.0;0.6637462;75.33;none;0.0;2433380096.0;50.0;50.0;121669001216.0;1130449664.0;272459008.0;3425947648.0;21514065920.0;0.465;0.0;2024-03-07 18:46:58
CPRO;54.0;50.0;91.0;0.09342;0.0;0.123330005;0.0;0.0;0.9197438;58.712;none;59134770.0;40470700032.0;53.575;51.4;3216909533184.0;128600997888.0;420877991936.0;8831134334976.0;2162573049856.0;2.159;9.75609756097561;2024-03-07 18:46:58
CRAB;220.0;212.0;334.0;0.0127;0.0;0.049099997;0.0;0.0;2.3027487;95.538;none;4566400.0;1950000000.0;249.65;262.28;428999999488.0;14224048128.0;12763141120.0;551407779840.0;71986290688.0;7.294;6.557377049180328;2024-03-07 18:46:58
CRSN;105.0;91.0;168.0;0.10782;0.0;0.0;0.0;0.0;1.4648029;71.682;none;524130.0;2892000000.0;109.14706;110.42;303660007424.0;52385337344.0;44439580672.0;427465801728.0;21306388480.0;18.114;18.18181818181818;2024-03-07 18:46:58
CSAP;600.0;430.0;845.0;0.037839998;0.2307;0.08349;0.0;0.0;1.0442338;574.584;none;8490.0;5683169792.0;609.6347;601.6;3409901780992.0;154369671168.0;468423344128.0;16121923108864.0;3927187128320.0;27.163;40.963855421686745;2024-03-07 18:46:58
CSIS;50.0;50.0;74.0;0.101780005;0.0;0.03647;0.0;0.0;0.40937302;122.138;none;123780.0;1307000064.0;55.265;50.2;65350004736.0;14978410496.0;-22339313664.0;53143896064.0;24540452864.0;11.46;0.0;2024-03-07 18:46:58
CSMI;2860.0;2520.0;3190.0;0.38942;0.0;-0.54525;0.0;0.0;287.2351;9.957;none;0.0;816062016.0;3066.7;2813.0;2333937238016.0;340742496.0;-2532527104.0;10454522880.0;39645470720.0;0.418;50.74626865671642;2024-03-07 18:46:58
CSRA;440.0;400.0;670.0;0.33792;0.0;0.118319996;0.0;0.0;0.83357644;527.846;none;178010.0;2050000000.0;484.295;472.36;902000017408.0;68615610368.0;177555161088.0;881713676288.0;562207653888.0;33.471;14.814814814814813;2024-03-07 18:46:58
CTBN;1010.0;990.0;2570.0;0.12548;0.0;0.08672;0.0;0.0;8559.322;0.118;none;130.0;800371968.0;1605.375;1200.4;808375681024.0;12382222.0;13427169.0;189256976.0;754226.0;0.015;1.2658227848101264;2024-03-07 18:46:58
CTRA;1235.0;920.0;1330.0;0.3129;0.1822;0.07557;9.788381;126.17;1.1795765;1046.986;buy;17457210.0;18535700480.0;1128.15;1229.6;22891590582272.0;9536643530752.0;3419402928128.0;8489022259200.0;8074182000640.0;514.502;76.82926829268294;2024-03-07 18:46:58
CTTH;15.0;12.0;52.0;0.19576;0.0;-0.15258999;0.0;0.0;0.10998519;136.382;none;158340.0;1230840064.0;38.835;14.04;18462601216.0;3071490304.0;3011130368.0;90393362432.0;337662443520.0;2.495;7.5;2024-03-07 18:46:58
CUAN;6850.0;320.0;13750.0;0.08068;0.0;0.0;0.0;0.0;47.058342;145.564;none;10035870.0;11241900032.0;5144.1;9492.5;77007018786816.0;552007106560.0;42315341824.0;1761141325824.0;325000000.0;49.103;48.62248696947133;2024-03-07 18:46:58
CYBR;216.0;130.0;282.0;-0.03563;0.0;0.0;0.0;0.0;0.0;0.0;none;2145540.0;6449569792.0;205.33557;208.1;1393107140608.0;0.0;-8797095936.0;187020279808.0;0.0;0.0;56.578947368421055;2024-03-07 18:46:58
DADA;7.0;5.0;50.0;-19.33341;0.0;0.00316;0.0;0.0;0.14871784;47.069;none;20249260.0;7176999936.0;37.36;8.18;50239000576.0;7217159168.0;6875813376.0;30064207872.0;97254506496.0;0.971;4.444444444444445;2024-03-07 18:46:58
DART;139.0;115.0;218.0;0.12021;0.0;-0.18672001;0.0;0.0;0.24197057;574.45;none;21280.0;3141390080.0;138.105;135.5;436653228032.0;36425060352.0;34586189824.0;400183263232.0;3472651714560.0;11.595;23.300970873786408;2024-03-07 18:46:58
DAYA;312.0;168.0;382.0;-0.01047;0.0;-1.72572;0.0;0.0;123.02839;2.536;none;57600.0;2420549888.0;253.36;303.16;755211567104.0;175372976128.0;270559608832.0;1406120230912.0;249405849600.0;72.452;67.28971962616822;2024-03-07 18:46:58
DCII;34800.0;32525.0;59050.0;0.51177;0.0;0.27429;0.0;0.0;42.41833;820.4;none;1430.0;2383749888.0;37005.375;38835.0;82954499915776.0;362488987648.0;754211028992.0;1254999064576.0;1179808038912.0;152.067;8.576814326107446;2024-03-07 18:46:58
DEAL;6.0;3.0;50.0;-0.85373;0.0;0.0;0.0;0.0;0.0;-49.686;none;0.0;1146169984.0;37.39;8.3;6877020160.0;4743128576.0;-19568414720.0;58004180992.0;144532094976.0;4.138;6.382978723404256;2024-03-07 18:46:58
DEFI;1455.0;1455.0;1610.0;-1.7403301;0.0;-0.22518998;0.0;0.0;21.856035;66.572;none;0.0;676000000.0;1455.0;1455.0;999973519360.0;13664528384.0;-2746263040.0;-8370322432.0;0.0;20.214;0.0;2024-03-07 18:46:58
DEPO;374.0;336.0;480.0;0.02177;0.2945;0.08853;0.0;0.0;2.0891404;179.021;none;52800.0;6790000128.0;408.42;376.48;2539459969024.0;275445874688.0;86417588224.0;2669408681984.0;57517109248.0;40.566;26.38888888888889;2024-03-07 18:46:58
DEWA;59.0;50.0;93.0;0.01754;0.0;-0.03198;0.0;0.0;0.39682806;148.679;none;71491600.0;21853700096.0;64.065;60.4;1289368371200.0;440468045824.0;597172617216.0;7378943082496.0;1590513893376.0;20.155;20.930232558139537;2024-03-07 18:46:58
DEWI;72.0;50.0;394.0;0.17954001;0.0;0.05737;0.0;0.0;0.9311349;77.325;none;36734700.0;2000000000.0;87.72;61.26;143999991808.0;20069056512.0;-78188863488.0;90876469248.0;20796178432.0;10.035;6.395348837209302;2024-03-07 18:46:58
DFAM;52.0;50.0;92.0;0.063140005;0.0;-0.33344;0.0;0.0;2.2970226;22.638;none;1249050.0;1899849984.0;64.585;56.06;98792202240.0;1782909568.0;5234511360.0;70616506368.0;153413648384.0;0.938;4.761904761904762;2024-03-07 18:46:58
DGIK;94.0;72.0;149.0;0.05506;0.0;0.057740003;0.0;0.0;0.7734143;121.539;none;13655310.0;5140950016.0;102.495;91.92;483249291264.0;5854430720.0;-88623357952.0;396112101376.0;87379607552.0;1.139;28.57142857142857;2024-03-07 18:46:58
DGNS;326.0;160.0;338.0;-0.084750004;0.0;-0.049039997;0.0;0.0;2.0397692;159.822;none;3794320.0;1250000000.0;234.515;262.32;407499997184.0;22237970432.0;19500267520.0;156172763136.0;36272238592.0;17.79;93.25842696629213;2024-03-07 18:46:58
DIGI;17.0;8.0;50.0;-0.09345;0.0;0.0;0.0;0.0;0.0;-4.939;none;628100.0;1624999936.0;38.9;13.58;27624998912.0;1001196032.0;1317084928.0;54929678336.0;12400587776.0;0.616;21.42857142857143;2024-03-07 18:46:58
DILD;188.0;158.0;292.0;0.3192;0.0;0.15135;26.857143;7.0;0.37242177;504.804;none;8092010.0;10365899776.0;208.535;194.56;1948789112832.0;776678932480.0;-521978150912.0;4579258793984.0;5058624225280.0;74.927;22.388059701492537;2024-03-07 18:46:58
DIVA;175.0;171.0;900.0;-1.0000001e-05;0.0;-0.44684;0.0;0.0;0.18297133;956.434;none;106540.0;1399990016.0;325.125;203.1;244998258688.0;891563474944.0;-59713806336.0;4110382530560.0;121950044160.0;636.837;0.5486968449931413;2024-03-07 18:46:58
DKFT;103.0;76.0;141.0;0.10939;0.0;0.0683;0.0;0.0;0.91783994;112.22;none;4141570.0;5513489920.0;107.89;106.98;567889494016.0;629805219840.0;368189538304.0;737867988992.0;823583965184.0;114.23;41.53846153846154;2024-03-07 18:46:58
DLTA;3350.0;3330.0;4150.0;0.30778998;1.2646;0.22251;0.0;0.0;2.9997413;1116.763;none;45430.0;800659008.0;3621.8;3460.2;2682207600640.0;600625250304.0;188269297664.0;734082891776.0;0.0;750.164;2.439024390243903;2024-03-07 18:46:58
DMAS;162.0;158.0;179.0;-1.64968;1.139;0.17873;6.6886873;24.22;1.3354107;121.311;buy;16212660.0;48198098944.0;168.865;161.22;7808092209152.0;948887552000.0;1154370895872.0;1659807858688.0;1081101824.0;19.687;19.047619047619047;2024-03-07 18:46:58
DMMX;182.0;175.0;875.0;0.01658;0.0;-0.093760006;0.0;0.0;1.5538821;117.126;strong_buy;10069970.0;7259440128.0;362.415;267.62;1321218080768.0;395159011328.0;60327387136.0;2146390638592.0;37749358592.0;54.434;1.0;2024-03-07 18:46:58
DMND;810.0;755.0;890.0;0.02578;0.0;0.061440002;0.0;0.0;1.3660535;592.949;none;19030.0;9468359680.0;817.275;808.2;7669371371520.0;1007259025408.0;199753007104.0;9090765946880.0;347362000896.0;106.382;40.74074074074074;2024-03-07 18:46:58
DNAR;118.0;107.0;168.0;0.16264999;0.0;0.00713;0.0;0.0;0.5578273;211.535;none;1223720.0;16892399616.0;124.84;120.62;1993303130112.0;619436965888.0;-1029606080512.0;368408231936.0;508479700992.0;36.67;18.0327868852459;2024-03-07 18:46:58
DNET;4540.0;3890.0;4770.0;0.37437;0.0;0.08236;0.0;0.0;5.05479;898.158;none;12920.0;14183999488.0;4448.85;4622.4;64395359027200.0;5138903203840.0;102848004096.0;1413690949632.0;6579779796992.0;362.303;73.86363636363636;2024-03-07 18:46:58
DOID;362.0;276.0;570.0;0.11707;0.0646;0.11529;1.9624851;184.46;10055.556;0.036;strong_buy;10631850.0;7336670208.0;386.485;362.44;2655874711552.0;207754320.0;288283104.0;1767851904.0;936627072.0;0.028;29.25170068027211;2024-03-07 18:46:58
DOOH;81.0;50.0;252.0;0.0825;0.0;0.0171;0.0;0.0;2.7930071;29.001;none;427480200.0;7737549824.0;89.68;81.72;626741542912.0;20154202112.0;-131615113216.0;152353357824.0;9122704384.0;2.605;15.346534653465346;2024-03-07 18:46:58
DPNS;424.0;378.0;585.0;0.123409994;0.0;0.04598;0.0;0.0;0.4623955;916.964;none;30370.0;331129984.0;435.145;412.96;140399116288.0;165373722624.0;14849856512.0;127909675008.0;40818470912.0;499.422;22.222222222222225;2024-03-07 18:46:58
DPUM;23.0;15.0;50.0;-0.0053600003;0.0;-0.05249;0.0;0.0;0.17089063;134.589;none;193740.0;4164539904.0;31.755;27.42;95784419328.0;8546149888.0;4847043584.0;931195518976.0;738533376000.0;2.052;22.857142857142858;2024-03-07 18:46:58
DRMA;1150.0;700.0;1815.0;0.1451;0.14850001;0.42236;0.0;0.0;2.9884646;384.813;buy;7879150.0;4705880064.0;1401.075;1289.6;5411762077696.0;312983683072.0;769719795712.0;5492235567104.0;538055999488.0;66.509;40.35874439461883;2024-03-07 18:46:58
DSFI;56.0;53.0;96.0;0.03373;0.0;0.05948;0.0;0.0;0.41922444;133.58;none;820330.0;1857139968.0;71.735;63.0;103999840256.0;12839805952.0;-5365702144.0;540735209472.0;88167768064.0;6.914;6.976744186046512;2024-03-07 18:46:58
DSNG;590.0;490.0;730.0;0.19594;0.3786;0.09873;0.0;0.0;0.7175276;822.268;hold;34948580.0;10599799808.0;565.375;529.0;6253881851904.0;389745999872.0;1874371936256.0;9498749042688.0;5576886059008.0;36.769;41.66666666666667;2024-03-07 18:46:58
DSSA;119975.0;33950.0;163000.0;0.12984;0.0;0.54972;0.0;0.0;58183.8;2.062;none;950.0;770552000.0;66864.625;116582.0;92446973231104.0;413437600.0;1613611136.0;5894026240.0;467906112.0;0.671;66.66020922123208;2024-03-07 18:46:58
DUCK;176.0;173.0;190.0;-0.20611;0.0;0.04634;0.0;0.0;0.24846931;708.337;none;0.0;1283330048.0;176.0;176.0;225866088448.0;701357293568.0;-60002893824.0;336859004928.0;46183415808.0;546.514;17.64705882352941;2024-03-07 18:46:58
DUTI;4500.0;4200.0;4950.0;0.41282;0.0;0.13005;0.0;0.0;0.8225038;5471.099;none;2210.0;1850000000.0;4663.4;4667.4;8324999806976.0;2897468719104.0;602069073920.0;3799645159424.0;3076732160.0;1566.199;40.0;2024-03-07 18:46:58
DVLA;1490.0;1400.0;2110.0;0.00149;1.6080999;0.058480002;0.0;0.0;1.1807928;1261.864;none;39380.0;1120000000.0;1848.4;1659.6;1668800053248.0;340970110976.0;164007804928.0;1739188862976.0;1579144960.0;304.438;12.67605633802817;2024-03-07 18:46:58
DWGL;106.0;83.0;242.0;0.0924;0.0;0.28548;0.0;0.0;3.9298558;26.973;none;30230.0;9252819968.0;124.89;111.5;980798930944.0;179436945408.0;41247113216.0;2835844169728.0;452544495616.0;19.393;14.465408805031446;2024-03-07 18:46:58
DYAN;80.0;73.0;143.0;0.039419997;0.0;0.13944;0.0;0.0;0.6250244;127.995;none;3700980.0;4272960000.0;100.955;80.94;341836791808.0;180262764544.0;205888389120.0;1460065140736.0;263497777152.0;42.187;10.0;2024-03-07 18:46:58
EAST;136.0;95.0;184.0;0.50637;0.0;0.108;0.0;0.0;1.214264;112.002;none;1596230.0;4126409984.0;141.01;143.7;561191780352.0;7279559680.0;46825836544.0;106354483200.0;2449990144.0;1.764;46.067415730337075;2024-03-07 18:46:58
ECII;278.0;242.0;450.0;-0.02049;0.38459998;0.011569999;0.0;0.0;0.2705554;1027.516;none;62950.0;1168000000.0;338.27;274.68;327039188992.0;452191158272.0;28530464768.0;2427362738176.0;32589914112.0;372.21;17.307692307692307;2024-03-07 18:46:58
EDGE;4330.0;3300.0;11550.0;0.32633;0.0;0.19883;0.0;0.0;6.316133;685.546;none;59060.0;2020249984.0;4272.725;4596.4;8747682365440.0;148330004480.0;218700005376.0;911529017344.0;128983998464.0;73.422;12.484848484848484;2024-03-07 18:46:58
EKAD;252.0;240.0;294.0;0.17599002;0.0;0.062129997;0.0;0.0;0.80495495;313.061;none;115960.0;3493870080.0;255.42;250.16;880455254016.0;297800269824.0;75198685184.0;536447614976.0;25182566400.0;85.235;22.22222222222222;2024-03-07 18:46:58
ELIT;90.0;76.0;330.0;0.02644;0.0;0.0;0.0;0.0;1.6445866;54.725;none;7069340.0;2031640064.0;110.29;88.64;182847602688.0;10155827200.0;8320793600.0;290398797824.0;26513559552.0;4.999;5.511811023622047;2024-03-07 18:46:58
ELPI;268.0;212.0;338.0;0.24562;0.191;0.09846;0.0;0.0;1.1263628;237.934;none;8587960.0;7411999744.0;260.84;279.6;1986415951872.0;264584003584.0;196941004800.0;981490991104.0;286480990208.0;35.697;44.44444444444444;2024-03-07 18:46:58
ELSA;382.0;292.0;460.0;0.03364;0.38259998;0.11792;7.701613;49.6;0.6314154;604.99;none;47562810.0;7298500096.0;391.49;398.8;2788027006976.0;2077725032448.0;1389989986304.0;12564391002112.0;1243217002496.0;284.745;53.57142857142858;2024-03-07 18:46:58
ELTY;50.0;50.0;50.0;0.03674;0.0;-0.10498;0.0;0.0;0.3247407;153.969;none;94090.0;1400000000.0;50.0;50.0;2176095092736.0;116569997312.0;-135959003136.0;1209959055360.0;806962987008.0;2.678;0.0;2024-03-07 18:46:58
EMDE;131.0;101.0;206.0;-0.35714;0.0;-0.03745;0.0;0.0;0.27974117;468.29;none;66580.0;3350000128.0;124.015;127.76;438850027520.0;55857057792.0;-25092702208.0;163277979648.0;965025136640.0;16.674;28.57142857142857;2024-03-07 18:46:58
EMTK;460.0;450.0;905.0;-0.01556;0.26590002;-0.01181;39.86135;11.54;0.79570323;578.105;buy;20947040.0;61072801792.0;592.72;510.5;28093488037888.0;9623850450944.0;3307240947712.0;15311605596160.0;1002540564480.0;157.774;2.197802197802198;2024-03-07 18:46:58
ENAK;1250.0;1080.0;1560.0;-0.01671;0.8604;0.11881;0.0;0.0;10.527645;118.735;strong_buy;160730.0;2166670080.0;1301.1;1285.4;2708337590272.0;28062134272.0;128263790592.0;1366234497024.0;466358796288.0;12.952;35.41666666666667;2024-03-07 18:46:58
ENRG;222.0;193.0;302.0;0.26124;0.0;0.12952;0.0;0.0;8538.461;0.026;none;31867360.0;24821200896.0;231.055;216.9;5510306725888.0;38596044.0;138977344.0;404328480.0;132465616.0;0.002;26.605504587155963;2024-03-07 18:46:58
ENVY;50.0;50.0;51.0;-367.45148;0.0;-1.6925701;0.0;0.0;3.1148767;16.052;none;0.0;1800000000.0;50.0;50.0;89999998976.0;20715572.0;-74541152.0;272500000.0;0.0;0.012;0.0;2024-03-07 18:46:58
ENZO;65.0;50.0;67.0;0.02191;0.0;0.00068000006;0.0;0.0;0.8719215;74.548;none;11149060.0;2162550016.0;50.38;51.52;140565757952.0;511641952.0;-30507145216.0;430840152064.0;110959763456.0;0.237;88.23529411764706;2024-03-07 18:46:58
EPAC;8.0;6.0;50.0;-0.103690006;0.0;-0.32099998;0.0;0.0;0.24741758;32.334;none;59280.0;3303399936.0;13.345;8.44;26427199488.0;3210196736.0;11582779392.0;103334453248.0;133407055872.0;0.972;4.545454545454546;2024-03-07 18:46:58
EPMT;2400.0;2390.0;3200.0;0.037469998;0.7739;0.10108;0.0;0.0;0.91588444;2620.418;none;26540.0;2708640000.0;2687.9;2604.4;6500736040960.0;489044115456.0;496007806976.0;28328513765376.0;219686436864.0;180.55;1.234567901234568;2024-03-07 18:46:58
ERAA;424.0;326.0;560.0;0.01743;0.36270002;0.124110006;6.6771655;63.5;0.9697635;437.22;strong_buy;48279230.0;15783499776.0;442.03;434.4;6692203921408.0;1473413120000.0;-593691344896.0;57346705326080.0;8231592132608.0;93.352;41.88034188034188;2024-03-07 18:46:58
ERAL;328.0;242.0;480.0;0.07839;0.0;0.22356;0.0;0.0;1.4873598;220.525;none;32004500.0;5187500032.0;329.36914;315.08;1701500026880.0;0.0;101190336512.0;3037345873920.0;0.0;0.0;36.134453781512605;2024-03-07 18:46:58
ERTX;266.0;122.0;446.0;0.03779;0.0;0.16549999;0.0;0.0;14000.0;0.019;none;304020.0;1286540032.0;300.465;254.72;342219653120.0;3845273.0;3506726.0;120798776.0;42966416.0;0.003;44.44444444444444;2024-03-07 18:46:58
ESIP;50.0;50.0;55.0;0.02108;0.0;-0.0035899999;0.0;0.0;0.57874393;86.394;none;2740.0;1109939968.0;50.4;50.0;55496998912.0;1913961472.0;8788493312.0;59938607104.0;487008992.0;1.724;0.0;2024-03-07 18:46:58
ESSA;545.0;480.0;1035.0;0.41025;1.4727;0.09134;11.522199;47.3;24772.727;0.022;buy;32214630.0;17226999808.0;607.605;539.44;9388714622976.0;107934168.0;151299680.0;344961632.0;161148608.0;0.006;11.711711711711713;2024-03-07 18:46:58
ESTA;76.0;62.0;136.0;0.13129;0.0;0.02819;0.0;0.0;1.1453719;66.354;none;15885510.0;2425349888.0;85.26;77.8;184326586368.0;37827166208.0;11340152832.0;48424108032.0;106530529280.0;15.597;18.91891891891892;2024-03-07 18:46:58
ESTI;50.0;50.0;65.0;0.06497;0.0;0.02789;0.0;0.0;7142.857;0.007;none;2090.0;2015209984.0;50.28;50.14;100760502272.0;91940.0;2453010.0;22383774.0;30350540.0;0.0;0.0;2024-03-07 18:46:58
ETWA;70.0;70.0;372.0;-964.2735;0.0;0.0;0.0;0.0;0.0;-92.299;none;0.0;4668669952.0;109.27;81.8;326806896640.0;313751456.0;-6401762816.0;35066432.0;979881033728.0;0.067;0.0;2024-03-07 18:46:58
EURO;112.0;65.0;320.0;0.08886;0.0;0.0;0.0;0.0;4.7889857;23.387;none;55356090.0;2548829952.0;170.72;122.18;285468950528.0;29470244864.0;-6746487808.0;27385501696.0;0.0;11.562;18.43137254901961;2024-03-07 18:46:58
EXCL;2410.0;1695.0;2640.0;0.13533;0.4319;0.04914;15.970842;150.9;1.1951045;2016.56;buy;37058520.0;13071899648.0;2192.4;2253.4;31503278931968.0;966026985472.0;16095537790976.0;32322650898432.0;45918032232448.0;73.901;75.66137566137567;2024-03-07 18:46:58
FAPA;5300.0;4330.0;5375.0;0.12009;0.0;0.075;0.0;0.0;5.030673;1053.537;none;14110.0;3629410048.0;5180.4;5300.0;19235872964608.0;412237955072.0;1425848401920.0;4877438156800.0;3345187602432.0;113.583;92.82296650717704;2024-03-07 18:46:58
FAST;730.0;645.0;995.0;-0.1145;0.0;-0.21080999;0.0;0.0;3.216511;226.954;none;9160.0;3987069952.0;775.45;729.5;2910560976896.0;213040185344.0;443193294848.0;6161173577728.0;1013644853248.0;53.433;24.285714285714285;2024-03-07 18:46:58
FASW;5550.0;5550.0;6350.0;-0.068280004;2.4587;-0.13352;0.0;0.0;3.1518207;1760.887;none;10.0;2477890048.0;5870.875;5795.0;13752290246656.0;75685003264.0;284187983872.0;7723193204736.0;6360432902144.0;30.544;0.0;2024-03-07 18:46:58
FILM;4140.0;610.0;6250.0;0.27298;0.0;0.05718;0.0;0.0;24.31661;170.254;none;3022540.0;9511220224.0;3685.05;4920.2;39376453107712.0;470582001664.0;51388542976.0;348066283520.0;992889792.0;49.477;62.5886524822695;2024-03-07 18:46:58
FIMP;51.0;43.0;76.0;-0.09399;0.0;0.0684;0.0;0.0;0.69673085;73.199;none;29740.0;400000992.0;62.99;62.06;20400050176.0;3996680192.0;4207493376.0;10899999744.0;760210304.0;9.992;24.242424242424242;2024-03-07 18:46:58
FIRE;102.0;53.0;210.0;0.19473;0.0;-0.38092;0.0;0.0;0.7470502;136.537;none;73897550.0;1475360000.0;99.825;106.92;150486712320.0;15950871552.0;32022218752.0;185714229248.0;39784042496.0;10.811;31.210191082802545;2024-03-07 18:46:58
FISH;5550.0;5450.0;7300.0;0.02305;0.5445;0.17229;0.0;0.0;16567.164;0.335;none;10.0;480000000.0;5789.875;5543.0;2664000126976.0;57885104.0;34606112.0;1423305088.0;173396416.0;0.121;5.405405405405405;2024-03-07 18:46:58
FITT;590.0;442.0;665.0;-0.27503002;0.0;-0.23167999;0.0;0.0;15.214812;38.778;none;251300.0;726129984.0;596.95;564.6;428416696320.0;2859729920.0;-3908017664.0;11833525248.0;27803099136.0;3.938;66.3677130044843;2024-03-07 18:46:58
FLMC;28.0;26.0;79.0;-0.27209;0.0;0.0;0.0;0.0;0.24356087;114.961;none;68900.0;781249984.0;70.46;44.84;21874999296.0;23018737664.0;28458061824.0;52751560704.0;4492007936.0;29.464;3.773584905660377;2024-03-07 18:46:58
FMII;199.0;147.10368;688.7514;0.45747003;0.0;0.03339;0.0;0.0;1.9082872;104.282;none;35550.0;6400000000.0;304.73468;263.18;1273600016384.0;1689716736.0;1933829120.0;54451392512.0;65111633920.0;0.264;9.581194212356328;2024-03-07 18:46:58
FOLK;68.0;50.0;135.0;-0.06842;0.0;0.0;0.0;0.0;0.0;0.0;none;8072340.0;3948140032.0;67.89333;61.32;268473516032.0;15919088640.0;-33674029056.0;27743985664.0;1121339264.0;4.032;21.176470588235293;2024-03-07 18:46:58
FOOD;111.0;79.0;166.0;-0.35002;0.0;-0.55806;0.0;0.0;3.3543863;33.091;none;147140.0;650000000.0;101.3;114.28;72149999616.0;15257590784.0;-19325790208.0;79744770048.0;2213718016.0;23.473;36.7816091954023;2024-03-07 18:46:58
FORU;810.0;130.0;810.0;-0.11018;0.0;-0.08194;0.0;0.0;10.851945;74.641;none;390260.0;465224000.0;207.4;345.06;376831442944.0;30647754752.0;-1843038080.0;49657430016.0;1798796544.0;65.877;100.0;2024-03-07 18:46:58
FORZ;50.0;50.0;50.0;-0.18260999;0.0;0.044260003;0.0;0.0;0.34070852;146.753;none;0.0;1984009984.0;50.0;50.0;99200499712.0;2099393024.0;-1181112192.0;61399998464.0;70705324032.0;1.058;0.0;2024-03-07 18:46:58
FPNI;189.0;177.0;246.0;0.01602;0.0;0.03127;0.0;0.0;9450.0;0.02;none;888810.0;5566410240.0;199.0;194.84;1052051505152.0;28097000.0;5339000.0;397126016.0;62000.0;0.005;17.39130434782609;2024-03-07 18:46:58
