kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p;date
AWAN;290.0;135.0;460.0;0.2375;0.0;0.0080699995;0.0;0.0;10.946288;26.493;none;700780.0;3435000064.0;277.9;277.56;996150018048.0;43192725504.0;-14690541568.0;28727314432.0;1764258944.0;12.574;47.69230769230769;2024-03-07 18:46:58
AXIO;218.0;107.0;252.0;0.16375;0.0;0.25090998;0.0;0.0;2.4008017;90.803;none;2003770.0;5840130048.0;173.45;197.32;1273148342272.0;60504289280.0;196475699200.0;1486451113984.0;106745290752.0;10.36;76.55172413793103;2024-03-07 18:46:58
AYAM;0.0;92.0;182.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;26411530.0;0.0;110.95522;110.66;423999995904.0;0.0;0.0;0.0;0.0;0.0;-102.22222222222221;2024-03-07 18:46:58
AYLS;50.0;50.0;102.0;-0.21406999;0.0;-0.08153;0.0;0.0;0.95776266;52.205;none;744460.0;853422976.0;60.85;50.36;42671149056.0;160311488.0;-68905936.0;4711688704.0;0.0;0.188;0.0;2024-03-07 18:46:58
BABP;51.0;50.0;102.0;0.18558;0.0;0.0178;0.0;0.0;0.4833482;105.514;none;12949510.0;44014301184.0;70.26;57.32;2244729372672.0;2877154918400.0;701896982528.0;686748008448.0;748148031488.0;85.226;1.923076923076923;2024-03-07 18:46:58
BABY;151.0;143.0;332.0;-0.058330003;0.0;0.122370005;0.0;0.0;0.7717351;195.663;none;1981450.0;2668590080.0;205.44095;173.58;402957107200.0;11371066368.0;-54171205632.0;991849807872.0;117788966912.0;4.393;4.2328042328042335;2024-03-07 18:46:58
BACA;130.0;128.0;154.0;0.27774;0.0;0.023359999;0.0;0.0;0.7716873;168.462;none;4439340.0;19953000448.0;130.91;130.32;2593889976320.0;1429955936256.0;-1529341935616.0;530451005440.0;1037655015424.0;71.666;7.692307692307692;2024-03-07 18:46:58
BAIK;0.0;70.0;346.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;80310920.0;0.0;116.6;116.6;103499997184.0;0.0;0.0;0.0;0.0;0.0;-25.36231884057971;2024-03-07 18:46:58
BAJA;113.0;103.0;222.0;-0.01905;0.0;-0.42161998;0.0;0.0;2.022806;55.863;none;323260.0;1800000000.0;143.09;121.36;203400003584.0;14142735360.0;7813619200.0;981912911872.0;352397197312.0;7.857;8.403361344537815;2024-03-07 18:46:58
BALI;1040.0;600.0;1435.0;0.45733002;0.6753;0.07725;0.0;0.0;1.6405363;633.939;none;49890.0;3934589952.0;871.6;1085.3;4091973468160.0;45903233024.0;646917259264.0;954825310208.0;2484614725632.0;11.667;52.69461077844311;2024-03-07 18:46:58
BANK;985.0;930.0;1495.0;-0.85797995;0.0;-0.1037;-253.86597;-3.88;4.687753;210.122;buy;3488960.0;14621899776.0;1158.75;1145.0;14402570944512.0;1688527044608.0;-2566070992896.0;163492003840.0;33009000448.0;115.214;9.734513274336283;2024-03-07 18:46:58
BAPA;54.0;50.0;105.0;-0.90414;0.0;-0.014249999;0.0;0.0;0.28016;192.747;none;2037830.0;661785024.0;67.64;60.68;35736391680.0;195294512.0;87845776.0;8613294080.0;3197986048.0;0.295;7.2727272727272725;2024-03-07 18:46:58
BAPI;50.0;50.0;50.0;-0.62588;0.0;-0.00317;0.0;0.0;0.655059;76.329;none;0.0;5591750144.0;50.0;50.0;279598006272.0;385437024.0;-5003079168.0;2101784576.0;153636339712.0;0.069;0.0;2024-03-07 18:46:58
BATA;104.0;76.0;740.0;-0.123830006;0.0;-0.51752;0.0;0.0;0.5701536;182.407;none;611740.0;1300000000.0;281.415;112.52;135199997952.0;4080133120.0;59910918144.0;641352400896.0;129629339648.0;3.139;4.216867469879518;2024-03-07 18:46:58
BAUT;50.0;50.0;50.0;0.0;0.0;0.0;0.0;0.0;1.2119449;41.256;none;6150.0;4800130048.0;50.0;50.0;240006496256.0;293764640.0;0.0;0.0;18072117248.0;0.061;0.0;2024-03-07 18:46:58
BAYU;1370.0;830.0;1750.0;0.0398;0.0;0.18676001;0.0;0.0;1.1668055;1174.146;none;444590.0;353220992.0;1363.325;1398.7;483912744960.0;471043407872.0;87462141952.0;2287993094144.0;16267543.0;1333.566;58.69565217391305;2024-03-07 18:46:58
BBCA;10125.0;8250.0;10175.0;0.59766996;0.538;0.20986;21.528812;470.3;5.150103;1965.98;buy;61545000.0;123275001856.0;9213.375;9659.5;1248159372148736.0;140672342425600.0;-5488170237952.0;97666457403392.0;6921684254720.0;1141.126;97.40259740259741;2024-03-07 18:46:58
BBHI;1205.0;995.0;2230.0;0.46206;0.0;0.06687;0.0;0.0;3.8031456;316.843;none;435550.0;21730299904.0;1424.775;1223.5;26185010511872.0;1619717128192.0;1820078637056.0;1111388192768.0;636927016960.0;74.537;17.004048582995953;2024-03-07 18:46:58
BBKP;79.0;72.0;116.52227;4.1037703;0.0;-0.42333;0.5743366;137.55;0.88487643;89.278;none;29827430.0;187866005504.0;89.625;79.92;14843151122432.0;10302882054144.0;2604443107328.0;-3737604063232.0;22673195270144.0;54.835;15.722468777984588;2024-03-07 18:46:58
BBLD;530.0;466.0;1100.0;0.29183;0.2486;0.08023;0.0;0.0;0.6432968;823.881;none;194930.0;1645799936.0;687.75;594.8;872273936384.0;519175012352.0;-917276983296.0;384276004864.0;3934171955200.0;315.455;10.094637223974763;2024-03-07 18:46:58
BBMD;2050.0;1680.0;2050.0;0.5824;0.3214;0.09517;0.0;0.0;1.7339276;1182.287;none;150.0;4027069952.0;1933.175;1937.6;8255493373952.0;1231053127680.0;-791119659008.0;1001684467712.0;199533510656.0;305.695;100.0;2024-03-07 18:46:58
