kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;m;cash;opcash;ph;ut;tcs
AGRO;284.0;216.0;440.0;0.098850004;0.0;-0.00219;45.079365;6.3;2.0658;137.477;hold;11485340.0;321.25;1476464214016.0;2236212314112.0;770624126976.0;729461030912.0;59.678
AGRS;76.0;72.0;102.0;0.36449;0.0;0.05132;0;0.0;0.6630085;114.629;none;3539980.0;85.52;2466008006656.0;-2095990046720.0;540527001600.0;5643487936512.0;65.302
AHAP;122.0;50.0;188.0;-0.12999;0.0;-0.08337;0;0.0;3.0516021;39.979;none;138417220.0;86.685;16010927104.0;-44426530816.0;270350155776.0;1076870400.0;3.268
AIMS;760.0;179.0;1365.0;-0.27462998;0.0;-0.2305;0;0.0;10.884198;69.826;none;6455430.0;451.33;362486368.0;-1329700352.0;11513166848.0;52405188.0;1.648
AISA;131.0;105.0;184.0;0.05957;0.0;-0.010670001;0;0.0;1.5256507;85.865;none;8592900.0;135.685;59342999552.0;137373999104.0;1850141048832.0;323670016000.0;6.373
AKKU;50.0;50.0;55.0;-0.60985;0.0;-0.09284;0;0.0;0.7477642;66.866;none;100050.0;50.0;6921487360.0;-3633960704.0;6347784704.0;79742066688.0;1.073
AKPI;695.0;630.0;1350.0;-0.00983;0.5;-0.01245;0;0.0;0.24928273;2787.999;none;1770.0;834.225;59244584960.0;140079038464.0;2709788557312.0;1116400254976.0;96.766
AKRA;1790.0;1255.0;1810.0;0.079569995;0.77410007;0.2206;12.459974;143.66;3.3037167;541.814;buy;36017980.0;1465.85;6481187962880.0;2752341344256.0;42935559127040.0;4611341025280.0;328.375
AKSI;139.0;130.0;286.0;-0.0765;0.0;-0.05684;0;0.0;0.56336886;246.73;none;568150.0;172.14;58545242112.0;21081083904.0;425119219712.0;77680418816.0;81.313
ALDO;745.0;580.0;935.0;0.04824;0.0887;0.01885;0;0.0;1.2335582;603.944;buy;128560.0;711.55;98147680256.0;-41345847296.0;1509563170816.0;557506756608.0;72.683
ALII;0.0;268.0;895.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;157579200.0;587.2941;0.0;0.0;0.0;0.0;0.0
ALKA;442.0;312.0;1015.0;0.021760002;0.0;0.28566;0;0.0;1.1691699;378.046;none;56110.0;557.315;333560184832.0;277680914432.0;3167455281152.0;3284030976.0;657.048
ALMI;120.0;118.0;300.0;-0.15444;0.0;-0.27707002;0;0.0;17142.857;0.007;none;441970.0;205.865;633110.0;-14889482.0;58927384.0;27830870.0;0.0
ALTO;50.0;50.0;50.0;0.00514;0.0;-0.081379995;0;0.0;0.32364133;154.492;none;1550.0;50.0;1126067072.0;-10668519424.0;318824939520.0;574050074624.0;0.514
AMAG;300.0;280.0;396.0;0.18574;0.65699995;0.087790005;0;0.0;0.8951082;335.155;none;21130.0;325.83;1224943599616.0;280375754752.0;870035488768.0;0.0;245.672
AMAN;112.0;105.0;820.0;0.37342998;0.0;0.09696999;0;0.0;0.62660146;178.742;none;600840.0;130.27;10021816320.0;63579217920.0;175138603008.0;67128049664.0;2.587
AMAR;250.0;197.0;350.0;0.45333;0.0;0.068959996;0;0.0;1.3774257;181.498;none;762760.0;296.57;1537397227520.0;-428888784896.0;620465291264.0;11200091136.0;83.64
AMFG;5850.0;4700.0;6650.0;0.18962;0.0922;0.09432;0;0.0;0.614267;9523.546;none;40200.0;5693.25;123438997504.0;815839969280.0;5864441774080.0;2010759954432.0;284.422
AMIN;147.0;88.0;208.0;0.06979;0.0;0.11173;0;0.0;0.94325095;155.844;none;27140.0;141.22;19076794368.0;19905267712.0;290443427840.0;52098785280.0;17.664
AMMN;8400.0;1700.0;8750.0;0.33121;0.0;0.0;0;0.0;140000.0;0.06;none;37783110.0;5847.4116;1226334976.0;86144000.0;2003949952.0;2682129920.0;0.017
AMMS;32.0;30.0;61.0;0.12482;0.0;0.0;0;0.0;0.55543983;57.612;none;233330.0;41.095;24262023168.0;1822715904.0;9898323968.0;0.0;20.218
AMOR;965.0;850.0;1500.0;0.30102;0.9535;0.34464002;18.847656;51.2;7.419881;130.056;strong_buy;97080.0;1026.05;170760994816.0;93555998720.0;321476001792.0;15454999552.0;77.147
AMRT;2750.0;2490.0;3030.0;0.028989999;0.3033;0.28094998;26.790064;102.65;9.423941;291.81;buy;22606720.0;2793.9;3199497928704.0;7332608081920.0;104810212753408.0;1867156029440.0;77.051
ANDI;50.0;50.0;53.0;-0.046409998;0.0;-0.19042999;0;0.0;2.1553583;23.198;none;1570.0;50.0;2198658048.0;18271997952.0;241953390592.0;160094928896.0;0.235
ANJT;715.0;625.0;1025.0;0.082559995;2.305;0.00448;0;0.0;5181.1597;0.138;none;1850390.0;750.975;6342855.0;36645328.0;236511696.0;151267408.0;0.002
ANTM;1525.0;1405.0;2160.0;0.10882;0.47259998;0.0;10.208863;149.38;1.8013229;846.6;buy;39590390.0;1787.55;7540335181824.0;5935015133184.0;35301665800192.0;3508869005312.0;313.788
APEX;166.0;127.0;340.0;0.01016;0.0;-0.00341;0;0.0;6916.6665;0.024;none;2414990.0;188.85;13378386.0;7187746.0;63047688.0;132898240.0;0.005
APIC;1080.0;995.0;1545.0;-0.03565;0.0;0.08274;0;0.0;5.5159736;195.795;none;3392290.0;1132.2;1807705571328.0;-316086091776.0;1913359826944.0;1531811594240.0;153.634
APII;189.0;174.0;218.0;0.074939996;0.0;0.03805;0;0.0;0.54318464;347.948;none;13300.0;190.445;13044425728.0;25161728000.0;304674930688.0;121577046016.0;12.126
APLI;580.0;250.0;690.0;0.17103;0.0;0.19699;0;0.0;2.4529293;236.452;none;21450.0;504.41;104825257984.0;88443576320.0;481719058432.0;84954406912.0;76.926
APLN;117.0;116.0;175.0;0.3497;0.0;0.07732;1.8489255;63.28;0.24372664;480.046;none;8471010.0;138.91;986824048640.0;-53538930688.0;5192950480896.0;7419521925120.0;43.474
ARCI;354.0;308.0;484.0;0.061100002;0.0;0.0419;0;0.0;35400.0;0.01;strong_buy;10593190.0;365.5;17855504.0;18140724.0;223151888.0;405948896.0;0.001
ARGO;945.0;450.0;1000.0;-0.078839995;0.0;0.0;0;0.0;21.304417;44.357;none;17360.0;721.7;10301479936.0;-17883039744.0;85554774016.0;573593616384.0;3.245
ARII;300.0;142.0;434.0;-0.09137;0.0;-0.07185;0;0.0;15789.475;0.019;none;1767630.0;239.67;3526000.0;22955000.0;281023008.0;90910000.0;0.001
ARKA;50.0;50.0;50.0;0.07951;0.0;0.050890002;0;0.0;0.90269005;55.39;none;731230.0;50.0;3350246144.0;-21161697280.0;203168038912.0;231303544832.0;1.675
ARKO;1180.0;510.0;1315.0;0.29772;0.0;0.13217;0;0.0;7.7775874;151.718;none;8982520.0;719.275;72685338624.0;-52018319360.0;192344031232.0;511216582656.0;24.82
ARMY;50.0;50.0;50.0;0.0;0.0;0.0;0;0.0;0.0;0.0;none;0.0;50.0;0.0;0.0;0.0;0.0;0.0
ARNA;710.0;630.0;1045.0;0.19990999;0.89739996;0.24351999;6.7548285;105.11;2.8176394;251.984;buy;4448690.0;755.65;440664948736.0;344011374592.0;2447441920000.0;172981829632.0;60.894
ARTA;2700.0;1415.0;3000.0;-0.00361;0.0;0.020580001;0;0.0;7.583673;356.028;none;29140.0;2076.35;32596293632.0;23377879040.0;69129617408.0;224141584.0;72.976
ARTI;4.0;4.0;50.0;0.58096004;0.0;0.0;0;0.0;0.0;-20.526;none;2464170.0;35.725;2399642880.0;-30763497472.0;155776008192.0;15151505408.0;0.306
ARTO;2910.0;1530.0;3860.0;0.05401;0.0;0.00308;190.69463;15.26;4.838211;601.462;hold;13597320.0;2683.15;3358986076160.0;-2419508903936.0;1260689948672.0;56177999872.0;242.417
ASBI;720.0;430.0;750.0;0.37684;0.0;0.0306;0;0.0;0.64345235;1118.964;none;86700.0;610.85;20571430912.0;-71077183488.0;224678871040.0;1341757952.0;59.048
ASDM;498.0;446.0;555.0;0.03909;0.6111;0.058179997;0;0.0;0.5291399;941.15;none;161460.0;481.425;125317693440.0;33353349120.0;196610359296.0;4870256128.0;326.348
ASGR;845.0;835.0;1125.0;0.04972;0.32509997;0.08096;0;0.0;0.6360404;1328.532;none;8186270.0;945.95;1270583001088.0;97101996032.0;2968951980032.0;30645999616.0;942.024
ASHA;50.0;50.0;185.0;-0.108509995;0.0;-0.00102;0;0.0;1.3851182;36.098;none;15910.0;74.165;973108928.0;-3974838528.0;453581733888.0;11990539264.0;0.195
ASII;5175.0;4900.0;7000.0;0.16228001;0.8269;0.18011999;6.7004166;772.34;1.0546838;4906.684;hold;76493410.0;6045.025;41984001572864.0;33746000543744.0;316564993736704.0;93310001610752.0;1037.063
ASJT;117.0;100.0;136.0;-0.0152199995;0.0;0.00187;0;0.0;0.51269245;228.207;none;154770.0;118.94;104918212608.0;-4493892608.0;118553600000.0;461466016.0;74.942
ASLC;108.0;76.0;131.0;0.050359998;0.0;0.035550002;0;0.0;2.0222068;53.407;buy;22245070.0;99.04;393137094656.0;63539105792.0;625181327360.0;12639030272.0;30.843
ASLI;50.0;50.0;133.0;0.17216;0.0;0.0;0;0.0;0.0;0.0;none;507180.0;53.525;10286669824.0;23745200128.0;190017798144.0;24275744768.0;2.057
ASMI;50.0;50.0;82.0;-0.11557999;0.0;-0.03521;0;0.0;1.1470784;43.589;none;24440.0;50.58;304675651584.0;27760443392.0;366573453312.0;5021840384.0;34.01
ASPI;142.0;101.0;492.0;-0.39763;0.0;-0.05184;0;0.0;1.5641524;90.784;none;37770.0;256.21;1342697984.0;-12061037568.0;8615999488.0;23192524800.0;1.969
ASRI;154.0;144.0;202.0;0.42791;0.0;0.117180005;9.447853;16.3;0.28188917;546.314;hold;3134230.0;173.475;1349313626112.0;2088093351936.0;4233712893952.0;6385141547008.0;68.669
ASRM;1600.0;1505.0;1710.0;0.01197;0.2241;0.14354;0;0.0;0.75351846;2123.372;none;80.0;1623.225;350078304256.0;7204544000.0;1987230171136.0;9286256640.0;1150.499
ASSA;765.0;685.0;1420.0;0.01424;0.0;0.00021;18.676758;40.96;1.515848;504.668;hold;8527380.0;968.5;932179279872.0;99459047424.0;4700354641920.0;4060710174720.0;252.545
ATAP;50.0;50.0;84.0;0.101739995;0.0;0.02869;0;0.0;0.7831467;63.845;none;42310.0;58.04;12274309120.0;10698277888.0;35932606464.0;28490799104.0;9.819
ATIC;378.0;332.0;565.0;0.06384;0.0;0.64952004;0;0.0;34.571064;10.934;none;48700.0;366.56;346931396608.0;-553727164416.0;8948866351104.0;2265496420352.0;149.839
AUTO;2250.0;1580.0;3620.0;0.07002;0.3351;0.14589;5.589923;402.51;0.8133314;2766.4;buy;8634670.0;2667.3;2743360028672.0;1836306006016.0;18649064669184.0;446773002240.0;569.193
AVIA;565.0;422.0;760.0;0.21398;0.89059997;0.14782;19.283278;29.3;3.471113;162.772;buy;23953440.0;571.285;6359800086528.0;1807330967552.0;6899922108416.0;46142001152.0;102.654
AWAN;290.0;135.0;460.0;0.2375;0.0;0.0080699995;0;0.0;10.946288;26.493;none;702810.0;277.81;43192725504.0;-14690541568.0;28727314432.0;1764258944.0;12.574
AXIO;218.0;107.0;252.0;0.16375;0.0;0.25090998;0;0.0;2.4008017;90.803;none;2022270.0;173.115;60504289280.0;196475699200.0;1486451113984.0;106745290752.0;10.36
AYAM;0.0;92.0;182.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;28498720.0;111.030304;0.0;0.0;0.0;0.0;0.0
AYLS;50.0;50.0;102.0;-0.21406999;0.0;-0.08153;0;0.0;0.95776266;52.205;none;741000.0;60.965;160311488.0;-68905936.0;4711688704.0;0.0;0.188
BABP;51.0;50.0;104.0;0.18558;0.0;0.0178;0;0.0;0.4833482;105.514;none;8678730.0;70.39;2877154918400.0;701896982528.0;686748008448.0;748148031488.0;85.226
BABY;152.0;143.0;332.0;-0.058330003;0.0;0.122370005;0;0.0;0.77684593;195.663;none;2876130.0;205.86508;11371066368.0;-54171205632.0;991849807872.0;117788966912.0;4.393
BACA;130.0;128.0;154.0;0.27774;0.0;0.023359999;0;0.0;0.7716873;168.462;none;4666330.0;130.91;1429955936256.0;-1529341935616.0;530451005440.0;1037655015424.0;71.666
BAIK;0.0;70.0;346.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;107407080.0;118.35714;0.0;0.0;0.0;0.0;0.0
BAJA;104.0;103.0;222.0;-0.01905;0.0;-0.42161998;0;0.0;1.8616974;55.863;none;326920.0;143.325;14142735360.0;7813619200.0;981912911872.0;352397197312.0;7.857
BALI;1035.0;600.0;1435.0;0.45733002;0.6753;0.07725;0;0.0;1.6326492;633.939;none;50600.0;870.3;45903233024.0;646917259264.0;954825310208.0;2484614725632.0;11.667
BANK;980.0;930.0;1495.0;-0.85797995;0.0;-0.1037;-252.57732;-3.88;4.663957;210.122;buy;3534010.0;1160.225;1688527044608.0;-2566070992896.0;163492003840.0;33009000448.0;115.214
BAPA;53.0;50.0;105.0;-0.90414;0.0;-0.014249999;0;0.0;0.27497187;192.747;none;3030800.0;67.78;195294512.0;87845776.0;8613294080.0;3197986048.0;0.295
BAPI;50.0;50.0;50.0;-0.62588;0.0;-0.00317;0;0.0;0.655059;76.329;none;0.0;50.0;385437024.0;-5003079168.0;2101784576.0;153636339712.0;0.069
BATA;103.0;76.0;740.0;-0.123830006;0.0;-0.51752;0;0.0;0.56467134;182.407;none;529650.0;283.875;4080133120.0;59910918144.0;641352400896.0;129629339648.0;3.139
BAUT;50.0;0.0;50.0;0.0;0.0;0.0;0;0.0;1.2119449;41.256;none;5250.0;50.0;293764640.0;0.0;0.0;18072117248.0;0.061
BAYU;1355.0;830.0;1750.0;0.0398;0.0;0.18676001;0;0.0;1.1540302;1174.146;none;434500.0;1360.875;471043407872.0;87462141952.0;2287993094144.0;16267543.0;1333.566
BBCA;9950.0;8250.0;10025.0;0.59766996;0.538;0.20986;21.15671;470.3;5.061089;1965.98;buy;62057940.0;9209.375;140672342425600.0;-5488170237952.0;97666457403392.0;6921684254720.0;1141.126
BBHI;1195.0;995.0;2230.0;0.46206;0.0;0.06687;0;0.0;3.7715843;316.843;none;359420.0;1423.8;1619717128192.0;1820078637056.0;1111388192768.0;636927016960.0;74.537
BBKP;79.0;72.0;116.52227;4.1037703;0.0;-0.42333;0.5743366;137.55;0.88487643;89.278;none;34212590.0;89.735;10302882054144.0;2604443107328.0;-3737604063232.0;22673195270144.0;54.835
BBLD;535.0;0.0;1100.0;0.29183;0.2486;0.08023;0;0.0;0.64936566;823.881;none;198190.0;687.9;519175012352.0;-917276983296.0;384276004864.0;3934171955200.0;315.455
BBMD;2050.0;0.0;2050.0;0.5824;0.3214;0.09517;0;0.0;1.7339276;1182.287;none;200.0;1932.425;1231053127680.0;-791119659008.0;1001684467712.0;199533510656.0;305.695
BBNI;5950.0;4312.5;6225.0;0.36615002;0.35009998;0.14313;8.275613;718.98;1.4765635;4029.627;buy;44169950.0;5006.2627;107511654907904.0;-27717921669120.0;48521235398656.0;53992918876160.0;2885.692
BBRI;6200.0;4640.0;6375.0;0.42594;0.9352;0.19496;12.54096;494.38;3.0026102;2064.87;buy;114816750.0;5515.3;159495338590208.0;-58039973445632.0;137058488156160.0;173625529335808.0;1057.726
BBRM;63.0;51.0;92.0;0.46084;0.0;0.11828;0;0.0;21000.0;0.003;none;1939250.0;66.2;5777495.0;4351171.0;10082693.0;1204362.0;0.001
BBSI;4510.0;2830.0;4510.0;0.67524004;0.0;0.04221;0;0.0;5.243485;860.115;none;25180.0;3552.35;1563543601152.0;-567592222720.0;237985660928.0;0.0;425.486
BBSS;98.0;50.0;147.0;-1.86078;0.0;-0.00693;0;0.0;1.8996665;51.588;none;1779080.0;80.885;1215163392.0;-755263488.0;354722208.0;0.0;0.253
BBTN;1385.0;1150.0;1500.0;0.51655;0.1743;0.12417;4.4172993;313.54;0.63773775;2171.739;buy;55564780.0;1282.75;38718819794944.0;-18721898758144.0;13550260060160.0;51333721751552.0;2758.842
BBYB;296.0;208.0;660.0;-0.84726995;0.0;-0.27499;0;0.0;1.1030988;268.335;strong_buy;55348070.0;369.52;2421385068544.0;-2788981997568.0;691693027328.0;59757998080.0;201.131
BCAP;50.0;50.0;68.0;0.17391;0.0;0.02627;0;0.0;0.39901683;125.308;none;565180.0;52.96;7254576201728.0;650548019200.0;1912261050368.0;2394505084928.0;170.22
BCIC;111.0;93.0;173.0;0.11156;0.0;0.03171;0;0.0;0.52701795;210.619;none;365140.0;122.365;4506788036608.0;-6628247076864.0;841792028672.0;324000000.0;248.857
BCIP;52.0;52.0;71.0;0.27562;0.0;0.03171;0;0.0;0.15845059;328.178;none;298400.0;62.06;19807848448.0;-1334490240.0;88494006272.0;27912054784.0;13.852
BDKR;520.0;224.0;620.0;0.17672001;0.0;0.0;0;0.0;3.2271879;161.131;none;15718770.0;474.54;115559964672.0;-22502791168.0;578411626496.0;208947380224.0;24.55
BDMN;2860.0;2600.0;3320.0;0.30747998;0.32990003;0.07508;6.3776646;448.44;0.56771487;5037.74;hold;2629550.0;2867.05;16710770884608.0;-20697019580416.0;15811416686592.0;15742291410944.0;1709.795
BEBS;50.0;50.0;595.0;-0.16283001;0.0;0.06677;0;0.0;2.661698;18.785;none;19690.0;62.74;1772253184.0;194745188352.0;379723087872.0;0.0;0.039
BEEF;264.0;58.0;290.0;0.08856;0.0;0.0;0;0.0;13.475575;19.591;none;853470.0;158.0;5193402368.0;25422465024.0;400991289344.0;594434752.0;0.739
BEER;262.0;220.0;414.0;0.04146;0.0;0.095;0;0.0;4.6208115;56.7;none;87040.0;309.82;32817244160.0;-129309728768.0;54109908992.0;2118035456.0;8.204
BEKS;50.0;50.0;50.0;0.59389997;0.0;0.01606;0;0.0;1.5538566;32.178;none;2017770.0;50.0;580958027776.0;258646999040.0;289301987328.0;153883000832.0;11.2
BELI;476.0;418.0;496.0;-0.23758;0.0;-0.48131;0;0.0;7.335039;64.894;hold;3024460.0;463.81;1962368958464.0;-3921362026496.0;16208036364288.0;1530601013248.0;16.561
BELL;72.0;65.0;144.0;0.036459997;0.0;0.026819998;0;0.0;2.2677166;31.75;none;2106130.0;94.195;8533056000.0;43450380288.0;508636332032.0;149006303232.0;1.179
BESS;216.0;124.0;260.0;0.17965001;0.0;0.14171;0;0.0;1.3728493;157.337;none;14552090.0;173.62;103598972928.0;127497175040.0;361213427712.0;109108396032.0;30.112
BEST;133.0;123.0;195.0;0.27214;0.0;0.0091699995;6.5517244;20.3;0.28969914;459.097;hold;12708590.0;151.195;496168894464.0;148785971200.0;547275571200.0;1450420731904.0;51.431
BFIN;1300.0;955.0;1535.0;0.46888;0.5505;0.18009001;8.754209;148.5;2.0582159;631.615;buy;16093950.0;1221.975;1796315938816.0;276677001216.0;4387709124608.0;13386635018240.0;119.441
BGTG;73.0;60.0;106.0;0.52461;0.0;0.02892;0;0.0;0.5467755;133.51;none;3544790.0;76.14;2065513054208.0;-453007015936.0;299346001920.0;18424000512.0;86.167
BHAT;412.0;366.0;860.0;0.0735;0.0;0.00421;0;0.0;3.881227;106.152;none;93061590.0;534.6;740950605824.0;-10854339584.0;163942268928.0;248519753728.0;148.19
BHIT;50.0;50.0;64.0;0.08133;0.0;0.0348;0;0.0;0.2422105;206.432;none;973560.0;51.345;8809473900544.0;2059077943296.0;16379844493312.0;12945424646144.0;105.449
BIKA;57.0;50.0;95.0;-0.0387;0.0;0.0;0;0.0;0.0;-205.647;none;16610.0;65.725;83958726656.0;-56853938176.0;538074251264.0;1407254265856.0;141.755
BIKE;422.0;189.0;530.0;0.01272;0.0;0.05598;0;0.0;4.6388917;90.97;none;10524650.0;362.245;14063373.0;3943643392.0;414532993024.0;11656844288.0;0.011
BIMA;88.0;56.0;165.0;-0.0046900003;0.0;-0.012920001;0;0.0;0.63516355;138.547;none;217180.0;92.95;2415779328.0;-9848576000.0;95840698368.0;118489161728.0;3.972
BINA;4200.0;3610.0;4400.0;0.39466998;0.0;0.07885;0;0.0;7.3526707;571.221;none;91210.0;4050.45;6358189998080.0;-4443498086400.0;656477978624.0;68541001728.0;1036.428
BINO;131.0;105.0;135.0;0.060760003;0.0;0.01944;0;0.0;0.64497703;203.108;none;541970.0;123.17;11319379968.0;5561546752.0;347628208128.0;53024587776.0;5.204
BIPI;82.0;70.0;169.0;0.15963;0.0;0.03993;5.17024;15.86;10250.0;0.008;buy;224198860.0;111.71;366443008.0;200903760.0;502054048.0;844444416.0;0.006
BIPP;50.0;50.0;51.0;0.25765;0.0;0.013660001;0;0.0;0.3191992;156.642;none;310.0;50.0;219936964608.0;40669192192.0;269711015936.0;579967909888.0;43.737
BIRD;1750.0;1595.0;2430.0;0.11908;0.38709998;0.08672;8.429672;207.6;0.80557257;2172.368;buy;1547630.0;1982.0;881849991168.0;1094235979776.0;4310668935168.0;870585991168.0;352.444
BISI;1725.0;1350.0;1775.0;0.31966;0.4678;0.14621;0;0.0;1.6686126;1033.793;none;377490.0;1566.175;1111835017216.0;295219003392.0;2047221956608.0;672000000.0;370.612
BJBR;1200.0;1105.0;1395.0;0.20735;0.6185;0.11135;5.8536587;205.0;0.8392935;1429.774;buy;2412460.0;1168.225;8614785843200.0;-2519378952192.0;8216451219456.0;29205490302976.0;0.0
BJTM;605.0;595.0;745.0;0.34072;0.5422;0.1246;6.8207445;88.7;0.7476197;809.235;strong_buy;16051280.0;639.1;22923704270848.0;-5366747758592.0;5009689804800.0;10319981182976.0;1526.67
BKDP;53.0;50.0;88.0;-0.23823999;0.0;-0.06533;0;0.0;1.0142958;52.253;none;1399000.0;53.53;3290061056.0;-34735824896.0;24909553664.0;149999992832.0;0.438
BKSL;54.0;50.0;60.0;0.01652;0.0;-0.0036300002;0;0.0;0.6485318;83.265;none;118560610.0;50.545;150624698368.0;-3933987930112.0;554113040384.0;2212352491520.0;0.898
BKSW;72.0;71.0;118.0;0.02884;0.0;0.01482;0;0.0;0.43306446;166.257;none;848290.0;83.685;4277754920960.0;4858562740224.0;573674029056.0;386888990720.0;151.596
BLTA;50.0;50.0;50.0;0.26642;0.0;0.35755002;0;0.0;24999.998;0.002;none;36620.0;50.0;9117233.0;9089098.0;37718584.0;26048492.0;0.0
BLTZ;1920.0;1800.0;3900.0;0.05091;0.0;-0.1712;0;0.0;3.8534715;498.252;none;760.0;2146.825;159305908224.0;174406811648.0;1061106155520.0;1468231057408.0;182.285
BLUE;366.0;276.0;525.0;0.20661;0.0;0.21284;0;0.0;1.6881608;216.804;none;64640.0;368.945;3588813568.0;19529207808.0;143839494144.0;0.0;8.586
BMAS;525.0;500.0;1150.0;0.083500005;0.0;0.03293;0;0.0;1.4117799;371.871;none;7940.0;672.10767;3862592487424.0;-3675435827200.0;461030424576.0;8412242944.0;448.08
BMBL;18.0;17.0;80.0;0.13167;0.0;0.0;0;0.0;0.23141007;77.784;none;988060.0;29.815;421658688.0;-27285356544.0;12748878848.0;1610999936.0;0.409
BMHS;302.0;268.0;414.0;0.052249998;0.7143;0.016549999;0;0.0;1.6350309;184.706;strong_buy;646250.0;359.43;632540299264.0;66365743104.0;1528827215872.0;1091851321344.0;73.522
BMRI;7075.0;4912.5;7400.0;0.58748;0.4486;0.22252001;10.4757395;675.37;2.5314407;2794.851;buy;87528400.0;5925.125;173659201208320.0;-155565342851072.0;127454572183552.0;192899178299392.0;1860.634
BMSR;324.0;244.0;745.0;0.06568;0.0;0.1476;0;0.0;0.4974422;651.332;none;36460.0;332.83;308712144896.0;-6274366976.0;4154763247616.0;146657935360.0;266.315
BMTR;234.0;220.0;388.0;0.05644;0.0;0.04397;3.1578948;74.1;0.24826296;942.549;none;50400870.0;286.33;1914547994624.0;1882831060992.0;10623132893184.0;7689553838080.0;117.08
BNBA;660.0;486.0;1425.0;0.28169;0.0;0.00963;0;0.0;0.7194394;917.381;none;375070.0;791.55;2655575343104.0;18881959936.0;316564635648.0;35457437696.0;783.818
BNBR;50.0;50.0;73.0;0.08287;0.0;0.15007;0;0.0;0.53215265;93.958;none;126501180.0;51.5;13930888953856.0;-958270013440.0;4369080123392.0;2157303037952.0;630.8
BNGA;1970.0;1180.0;2140.0;0.49313;0.4439;0.13849;7.0374737;279.93;1.0021467;1965.78;hold;20742550.0;1694.95;33591364943872.0;-9171745374208.0;16783983509504.0;29798051086336.0;1342.342
BNII;248.0;218.0;312.0;0.34118;0.35599998;0.06026;0;0.0;0.6400512;387.469;none;2849260.0;258.19;10868547911680.0;-6150355943424.0;8205533970432.0;15046763610112.0;0.0
BNLI;935.0;895.0;1035.0;0.25693;0.21129999;0.06662;0;0.0;0.8459004;1105.331;none;64280.0;940.025;61739815141376.0;-25160679686144.0;9052527525888.0;14086278479872.0;1706.401
BOBA;161.0;132.0;248.0;0.17256;0.0;0.07913;0;0.0;1.2757124;126.204;none;35530.0;154.02;8003901440.0;15590018048.0;146204393472.0;569202816.0;6.925
BOGA;1115.0;1050.0;1265.0;-0.0315;0.0;0.01831;0;0.0;8.657841;128.785;none;142654080.0;1187.475;393169862656.0;15530174464.0;900254007296.0;268056182784.0;103.37
BOLA;130.0;120.0;244.0;-0.12218001;0.0;-0.01594;0;0.0;1.1634672;111.735;none;872140.0;175.21;400599351296.0;27006908416.0;333406339072.0;12177893376.0;66.767
BOLT;800.0;550.0;1060.0;0.15311;0.3662;0.15841;0;0.0;2.265307;353.153;none;225600.0;814.15;11588012032.0;79615172608.0;1513882255360.0;289445281792.0;4.944
BOSS;50.0;50.0;72.0;-2.4944901;0.0;0.0;0;0.0;0.0;-119.099;none;0.0;50.46;958252480.0;-169472180224.0;195747168256.0;170361602048.0;0.684
BPFI;346.0;292.0;500.0;0.33053002;0.1627;0.06367;0;0.0;0.89432955;386.882;none;28980.0;412.8;18765600768.0;-450555478016.0;238638759936.0;601852018688.0;7.018
BPII;10450.0;10200.0;10850.0;0.21402;2.6795;0.08701;0;0.0;3.5241344;2965.267;none;6240.0;10446.25;605005873152.0;425697509376.0;853106884608.0;803578511360.0;1224.194
BPTR;63.0;50.0;187.0;0.24757999;0.0;0.0887;0;0.0;0.4436276;142.011;none;6448990.0;99.025;49589858304.0;226489466880.0;420822089728.0;803408707584.0;14.032
BRAM;5725.0;5625.0;8200.0;0.06348;0.78029996;0.09417;0;0.0;12078.059;0.474;none;1270.0;6499.25;34774676.0;73235344.0;271608928.0;6701891.0;0.077
BREN;6000.0;975.0;8200.0;0.0;0.0;0.0;0;0.0;2999999.8;0.002;none;12931630.0;5566.0576;271407008.0;0.0;0.0;2075396992.0;0.002
BRIS;2470.0;1450.0;2550.0;0.40977;0.0747;0.1579;14.556813;169.68;2.941194;839.795;buy;31740650.0;1762.6;22914453733376.0;636789981184.0;17840562241536.0;12023248191488.0;496.744
BRMS;154.0;114.0;226.0;0.28789;0.0;0.01869;0;0.0;19250.0;0.008;hold;148888580.0;172.71;9711406.0;11144908.0;36069868.0;62172376.0;0.0
BRNA;965.0;800.0;1100.0;-0.01643;0.0;-0.16490999;0;0.0;1.5909207;606.567;none;70.0;949.5;50431090688.0;113332436992.0;1004513067008.0;768511508480.0;51.507
BRPT;980.0;710.0;1950.0;0.1058;0.375;0.02182;Infinity;0.0;57647.055;0.017;hold;76334250.0;1050.55;1806157952.0;66719000.0;2696792064.0;4327389184.0;0.019
BSBK;54.0;50.0;64.0;0.3159;0.0;0.01282;0;0.0;0.81362057;66.37;none;11374830.0;51.57;13217284096.0;78568210432.0;319507759104.0;421317050368.0;0.527
BSDE;1015.0;935.0;1235.0;0.33056998;0.0;0.09405;8.074139;125.71;0.5889828;1723.31;buy;9848680.0;1075.975;13852389408768.0;723138576384.0;10398231166976.0;15166098898944.0;662.369
